"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","MI010","MI020","MI025","MI026","MI030","MI040","MI045","MI046","MI050","MI051","MI052","MI053","MI054","MI055","MI056","MI057","MI058","MI060","MI065","MI066","MI075","MI076","MI085","MI086","MI090","MI095","MI100","MI110","MI111","MI112","MI113","MI114","MI120","MI121","MI122","MI123","MI124","MI125","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2008","EE",259,"2","2008","20",2520,772,0,0,,,,,,,,0,0,0,0,0,,0,,0,1748,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","3","1","3","3","1917.35","2","2","2","2","1","1","4","1","2","1","1","NA","NA","91.07","NA","3","NA","1","1","NA","NA","NA","2","NA","NA","NA","2","2","1","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",263,"1","2008","28",1664,1653,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,11,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","3","958.67","2","NA","2","2","2","2","4","1","2","2","1","NA","NA","131.98","NA","3","NA","3","1","2","NA","NA","2","NA","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",299,"1","2008","18",2520,2507,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,13,"NA","NA","NA","3","NA","NA","1","1","2","1","1","2","2","1","2","1597.79","2","2","2","2","2","2","4","1","4","2","1","31.96","NA","28.12","NA","1","NA","3","1","2","NA","NA","2","2","NA","NA","2","2","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",336,"1","2008","13",2966,2965,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,"NA","NA","NA","2","NA","NA","2","1","1","2","1","1","1","1","5","958.67","2","NA","2","2","2","1","4","2","3","2","1","NA","NA","119.45","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",338,"1","2008","20",10255,10253,0,0,,,,,,,,0,0,0,0,0,,1,,0,2,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","2","4","958.67","2","NA","2","2","2","2","2","1","2","2","1","NA","NA","41.8","NA","1","NA","3","1","2","NA","NA","2","2","NA","NA","2","2","1","2","2","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",400,"1","2008","15",4370,2988,0,0,,,,,,,,0,0,0,0,0,,2,,0,31,0,,1351,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","3","4","191.73","2","NA","2","2","2","1","4","1","4","2","1","NA","NA","91.46","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",407,"2","2008","25",3234,3230,0,0,,,,,,,,0,0,0,0,0,,0,,0,3,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","3","4","255.65","2","NA","2","2","1","2","4","1","3","2","1","NA","NA","71.01","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",454,"1","2008","14",1961,1880,0,0,,,,,,,,0,0,0,0,0,,1,,0,81,0,,0,"NA","NA","NA","3","NA","NA","1","1","2","1","1","3","3","3","2","351.51","2","1","2","2","2","2","3","1","1","2","1","NA","NA","132.3","NA","1","NA","1","2","2","NA","NA","2","NA","NA","NA","1","NA","NA","NA","2","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",461,"2","2008","22",6617,6327,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,290,"NA","NA","NA","3","NA","NA","2","1","1","1","1","3","1","1","3","1278.23","1","NA","2","2","2","2","4","1","3","2","1","NA","NA","122.52","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","1","NA","NA","NA","2","2","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",467,"1","2008","19",0,-15,0,0,,,,,,,,0,0,0,0,0,,0,,0,15,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","958.67","2","NA","1","2","2","1","1","1","5","2","1","NA","NA","89.48","NA","3","NA","1","1","2","NA","NA","1","2","NA","NA","2","NA","NA","NA","NA","NA","2","NA","2","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",473,"1","2008","7",574,561,0,0,,,,,,,,0,0,0,0,0,,0,,0,13,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","3","4","639.12","2","NA","2","2","2","1","4","1","1","2","1","NA","NA","58.54","NA","1","NA","1","1","2","NA","NA","1","NA","NA","2","2","NA","NA","1","2","2","2","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",475,"2","2008","9",12462,10638,0,0,,,,,,,,0,0,0,0,0,,7,,0,1823,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","2","3","1022.59","3","NA","2","2","1","2","4","1","3","2","1","NA","NA","543.25","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","1","2","2","2","NA","NA","2","2","NA","2","NA","NA","NA","NA","NA","NA","1","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",489,"1","2008","16",2972,2968,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","2","2","1917.35","1","NA","2","1","2","1","3","1","2","2","1","NA","NA","51.96","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","2","2","NA","NA","2","NA","NA","1","2","2","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","1",1,,,,,,
"2008","EE",504,"2","2008","21",1408,781,0,0,,,,,,,,0,0,0,0,0,,0,,0,626,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","1597.79","2","NA","2","2","1","2","1","1","3","2","1","NA","NA","90.31","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","1","NA","1","2","2","2","2","2","1","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",518,"1","2008","6",2850,2843,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1278.23","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","54.32","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1",1,,,,,,
"2008","EE",532,"1","2008","55",5323,5309,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,14,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1278.23","2","2","2","2","2","2","4","1","3","1","1","NA","NA","102.9","NA","1","NA","1","1","2","NA","NA","1","NA","NA","NA","1","2","2","NA","2","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",540,"1","2008","29",0,-562,0,0,,,,,,,,0,0,0,0,0,,0,,0,4,0,,558,"NA","NA","NA","3","NA","NA","2","1","2","1","1","1","2","1","4","958.67","2","NA","2","2","2","2","1","1","2","2","1","NA","NA","58.16","NA","1","NA","1","1","2","NA","NA","NA","2","NA","NA","2","2","2","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",571,"1","2008","21",1864,1853,0,0,,,,,,,,0,0,0,0,0,,0,,0,11,0,,0,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","3","383.47","2","NA","1","2","2","1","4","1","3","2","1","NA","NA","127.82","NA","1","NA","1","1","NA","NA","NA","1","2","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",598,"1","2008","41",2795,2287,0,0,,,,,,,,0,0,0,0,0,,0,,0,508,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1278.23","2","NA","1","2","2","2","4","1","1","2","1","NA","NA","52.41","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","1","2","1","2","2","2","NA","2","NA","2","NA","5","NA","NA","NA","NA","2","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",623,"1","2008","17",2786,2684,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,102,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","1278.23","3","NA","2","2","2","2","1","1","2","2","1","NA","NA","78.1","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",663,"1","2008","13",2516,2302,0,0,,,,,,,,0,0,0,0,0,,1,,0,213,0,,0,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","2","766.94","1","NA","2","2","1","2","1","1","4","2","1","NA","NA","476.59","NA","3","NA","1","1","2","NA","NA","1","NA","NA","NA","2","NA","2","NA","NA","2","NA","2","2","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","1",1,,,,,,
"2008","EE",670,"2","2008","22",589,-761,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1350,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1597.79","2","NA","2","2","2","2","1","1","2","2","1","NA","NA","139.2","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","1","2","1","NA","NA","2","2","2","2","2","NA","NA","NA","5","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",676,"1","2008","9",8703,7885,0,0,,,,,,,,0,0,0,132,0,,8,,0,0,0,,818,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1278.23","1","NA","2","2","2","1","4","1","4","2","1","NA","NA","81.81","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","1","NA","NA","NA","NA","2","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",703,"1","2008","16",15040,15006,0,0,,,,,,,,0,0,0,0,0,,0,,0,34,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","3","3","1150.41","3","2","2","2","1","1","4","1","3","2","1","NA","NA","356.18","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","2","NA","1","2","2","NA","2","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",707,"1","2008","28",8851,5096,0,0,,,,,,,,0,0,0,0,0,,0,,0,25,391,,3339,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1597.79","2","NA","2","2","1","2","1","1","3","2","1","NA","NA","154.73","NA","1","NA","1","1","2","NA","NA","1","NA","NA","NA","1","2","NA","NA","NA","2","2","NA","2","2","NA","NA","NA","NA","NA","NA","2","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",709,"2","2008","13",21960,20758,0,0,,,,,,,,0,0,0,0,0,,3,,0,1202,0,,0,"NA","3","NA","3","NA","3","2","1","1","1","1","1","1","1","3","1086.5","2","NA","2","1","2","2","1","1","4","2","1","NA","NA","140.67","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","2","2","1","NA","2","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",711,"1","2008","21",3747,2769,0,0,,,,,,,,0,0,0,0,0,,9,,0,979,0,,0,"NA","3","NA","3","NA","NA","2","2","1","1","1","1","1","1","4","1278.23","3","1","2","2","2","2","3","1","4","2","1","NA","NA","90.05","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","2","2","NA","2","2","2","2","2","2","2","NA","1","NA","5","NA","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1",1,,,,,,
"2008","EE",715,"1","2008","8",1790,1773,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,16,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1278.23","2","NA","2","2","2","1","4","1","3","2","1","NA","NA","114.4","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","1","2","NA","NA","2","2","2","2","2","2","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",723,"1","2008","23",2745,2740,0,0,,,,,,,,0,0,0,0,0,,13,,0,1,0,,5,"NA","NA","NA","3","NA","NA","2","1","1","1","2","1","3","2","4","319.56","2","2","2","2","2","2","1","1","6","2","1","NA","NA","67.75","NA","3","NA","1","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","2","2","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",727,"1","2008","16",1720,1695,0,0,,,,,,,,0,0,0,0,0,,0,,0,25,0,,0,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","4","958.67","2","NA","2","1","2","2","4","3","1","1","1","NA","NA","54.01","NA","1","NA","1","1","2","NA","NA","1","NA","NA","NA","1","NA","NA","NA","2","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",737,"1","2008","16",2704,2702,0,0,,,,,,,,0,0,0,0,0,,0,,0,2,0,,0,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","1789.53","2","NA","2","1","2","2","4","1","3","2","1","NA","NA","109.29","NA","1","NA","1","1","2","NA","NA","1","NA","NA","1","1","2","NA","NA","2","2","2","2","NA","2","NA","NA","NA","NA","NA","NA","1","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",769,"2","2008","31",1583,1581,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","1278.23","2","2","2","2","1","2","4","1","5","2","1","NA","NA","110.57","NA","1","NA","1","1","1","NA","NA","1","NA","NA","NA","2","2","1","2","2","2","2","2","NA","2","NA","NA","NA","NA","NA","NA","1","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",819,"1","2008","19",5528,5195,0,0,,,,,,,,0,0,0,0,0,,0,,0,1,0,,332,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","2","4","958.67","2","NA","2","2","1","1","4","2","2","2","1","63.91","NA","356.18","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","2","2","NA","1","2","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","2","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1",1,,,,,,
"2008","EE",853,"1","2008","13",12300,11281,0,0,,,,,,,,0,0,0,0,0,,0,,0,1019,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","1597.79","2","3","2","2","2","2","1","1","4","2","1","NA","NA","158.5","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","2","1","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",862,"2","2008","5",9456,7596,0,0,,,,,,,,0,0,0,0,0,,0,,0,152,0,,1708,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","5","3195.58","2","NA","2","2","2","2","1","1","6","2","1","NA","NA","361.1","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","1","NA","NA","2","2","NA","2","2","2","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",878,"2","2008","13",2764,2762,0,0,,,,,,,,0,0,0,0,0,,0,,0,2,0,,0,"NA","NA","NA","2","NA","3","2","1","1","1","1","2","1","1","4","383.47","1","2","2","1","2","1","3","1","3","2","1","NA","NA","95.87","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","1","NA","2","2","NA","NA","2","NA","NA","2","NA","5","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",886,"1","2008","22",1911,1899,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,12,"NA","3","NA","3","NA","NA","2","1","1","1","1","1","1","1","4","1917.35","3","2","2","1","2","2","1","1","5","2","1","NA","NA","127.82","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","2","NA","2","2","NA","NA","NA","2","2","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",944,"2","2008","26",18126,16832,0,0,,,,,,,,0,0,0,0,0,,0,,0,1295,0,,0,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","3","4","639.12","2","NA","2","2","2","2","2","1","3","2","1","44.74","NA","49.98","NA","1","NA","2","1","2","NA","NA","2","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",1002,"2","2008","14",2616,2599,0,0,,,,,,,,0,0,0,0,0,,0,,0,17,0,,0,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","2","3","1278.23","2","NA","2","2","1","1","1","1","2","2","1","83.09","NA","97.59","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",1053,"1","2008","18",23064,22922,0,0,,,,,,,,0,0,0,0,0,,0,,0,10,0,,132,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","5","1597.79","2","NA","2","2","2","2","4","1","4","2","1","NA","NA","159.46","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","2","2","1","1","2","2","2","2","2","2","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",1059,"1","2008","20",3039,3021,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,18,"NA","NA","NA","3","NA","NA","1","2","1","1","1","1","1","3","2","1278.23","2","NA","2","2","2","2","1","1","1","2","1","NA","NA","66.15","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","1","2","NA","1","NA","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",1067,"1","2008","12",7284,6243,0,0,,,,,,,,0,0,0,0,0,,0,,0,9,0,,1031,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1597.79","2","NA","2","2","2","1","1","1","1","1","1","NA","NA","119.51","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","1","2","1","1","NA","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
