"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH080","HH081","HH090","HH091","HA010","HA020","HA030","HA040","HA050","HA060","HA070","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010","R_HA030","R_HA040","R_HA050","R_HA060","R_HA070"
"2010","EE",460,"1","2010","8",5587,4809,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,778,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","1","3","3195.58","1","2","2","1","2","1","1","1","NA","4","2","1","NA","NA","194.61","0","NA","1","NA","1","2","1","569802","569801","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",467,"1","2010","28",7487,6597,0,0,,,,,,,,,0,0,0,0,1831,,1,,0,3,0,,888,,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","1","1278.23","2","2","2","2","2","2","1","1","NA","2","2","1","NA","NA","235.39","173.26","NA","1","NA","1","1","1","NA","405202","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",473,"1","2010","17",4504,4388,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,115,,"NA","3","NA","3","NA","3","1","2","2","1","1","1","1","3","3","639.12","3","NA","2","2","2","2","4","1","NA","3","2","1","NA","NA","235.39","173.26","NA","1","NA","1","NA","1","405201","451302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",475,"2","2010","15",3000,1583,645,645,,,,,,,,,645,0,0,0,0,,0,,0,0,0,,1417,,"NA","NA","NA","2","NA","NA","2","1","2","1","1","1","1","1","4","639.12","2","NA","2","1","2","2","1","1","NA","5","1","1","NA","NA","115.04","0","NA","1","NA","1","1","NA","NA","272402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",489,"1","2010","19",0,-379,0,0,,,,,,,,,0,0,0,0,0,,0,,0,35,0,,344,,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","4","766.94","1","NA","2","2","2","2","4","1","NA","4","2","1","NA","NA","100.98","207.78","NA","1","NA","1","2","1","439201","225302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",504,"2","2010","22",9481,7236,0,0,,,,,,,,,0,0,0,0,0,,17,,0,2245,0,,0,,"NA","3","NA","3","NA","NA","1","1","1","1","1","3","1","1","3","511.29","2","1","2","2","2","2","4","4","NA","4","1","1","NA","NA","67.11","71.13","NA","1","NA","1","NA","NA","2102","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",518,"2","2010","13",6678,6675,0,0,,,,,,,,,0,0,0,0,719,,5,,0,3,0,,0,,"NA","NA","NA","2","NA","3","1","2","1","1","1","1","1","1","3","958.67","3","2","2","2","2","2","1","1","NA","2","2","1","NA","NA","170.77","0","NA","1","NA","1","2","1","335202","544602","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",532,"1","2010","17",24814,23825,0,0,,,,,,,,,0,0,0,0,0,,0,,0,24,0,,964,,"NA","NA","NA","2","NA","3","1","1","2","1","1","1","1","1","3","383.47","1","3","2","1","1","2","4","1","NA","1","2","1","NA","NA","152.75","0","NA","1","NA","1","1","1","108101","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",540,"1","2010","14",5823,5791,0,0,,,,,,,,,0,0,0,0,0,,0,,0,32,0,,0,,"NA","NA","NA","3","NA","3","1","1","1","1","1","2","1","3","1","511.29","3","1","2","2","2","2","4","1","NA","4","2","1","NA","NA","107.69","0","NA","1","NA","1","NA","NA","NA","319201","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",571,"1","2010","21",9635,8198,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1437,,"NA","3","NA","3","NA","NA","1","2","2","1","1","1","1","1","5","1086.5","3","3","2","2","2","2","1","1","NA","2","2","2","NA","NA","69.34","155.05","NA","1","NA","1","2","1","451301","451302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",598,"1","2010","10",1851,768,0,0,,,,,,,,,0,0,0,0,0,,0,,0,24,0,,1059,,"NA","3","NA","3","NA","3","1","1","2","1","1","1","1","1","4","1917.35","1","3","2","2","1","2","1","1","NA","3","2","1","147","NA","281.47","120.92","NA","1","NA","1","2","1","398102","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",623,"2","2010","12",2,-21,0,0,,,,,,,,,0,0,0,0,0,,2,,0,4,0,,19,,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","2","3","1661.7","2","1","2","2","2","2","4","1","NA","3","1","1","NA","NA","75.42","0","NA","1","NA","1","3","1","NA","NA","4","NA","NA","1",1,,,,,,,,,,,
"2010","EE",663,"2","2010","20",3140,3138,0,0,,,,,,,,,0,0,0,0,0,,20,,0,2,0,,0,,"NA","NA","NA","2","NA","3","2","1","1","1","1","1","1","1","3","958.67","3","NA","2","2","2","2","3","1","NA","3","2","1","NA","NA","85","0","NA","1","NA","1","2","1","124202","555802","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",670,"1","2010","26",5217,5211,0,0,,,,,,,,,0,0,0,0,0,,6,,0,0,6,,0,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","2","1","319.56","1","2","1","2","2","2","4","1","NA","2","2","1","NA","NA","116.96","0","NA","1","NA","1","2","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",676,"1","2010","8",7140,6625,0,0,,,,,,,,,0,0,0,0,0,,0,,0,97,0,,418,,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","3","3","703.03","2","2","2","2","2","2","3","1","NA","2","2","1","NA","NA","181.64","141.76","NA","1","NA","1","2","NA","405201","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",678,"1","2010","21",4084,3005,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1079,,"NA","3","NA","3","NA","3","2","1","2","1","1","1","1","1","4","958.67","1","2","2","2","1","2","4","1","NA","4","2","1","NA","NA","158.5","0","NA","1","NA","1","1","1","50701","189302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",703,"2","2010","8",4101,4092,0,0,,,,,,,,,0,0,0,0,0,,6,,0,0,0,,9,,"NA","NA","NA","3","NA","NA","2","2","1","1","1","1","1","2","1","1917.35","2","2","2","2","2","2","4","1","NA","2","2","1","NA","NA","85.64","0","NA","1","NA","1","NA","1","409801","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",707,"1","2010","12",7544,6932,0,0,,,,,,,,,0,0,0,0,0,,1,,0,4,0,,608,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","1917.35","1","1","2","2","1","2","3","1","NA","3","2","1","NA","NA","306.65","83.15","NA","1","NA","1","3","1","244902","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",709,"1","2010","13",16270,12724,0,0,,,,,,,,,0,0,0,0,0,,0,,0,3545,0,,0,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","3","4","1278.23","2","1","2","2","2","2","1","1","NA","6","2","1","NA","NA","425.01","0","NA","1","NA","1","2","1","321701","321702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",711,"2","2010","36",2972,2894,0,0,,,,,,,,,0,0,0,0,0,,0,,0,78,0,,0,,"NA","NA","NA","3","NA","3","2","1","2","1","1","1","1","2","4","1469.97","2","3","2","2","2","1","1","1","NA","2","1","1","NA","NA","122.2","119.2","NA","1","NA","1","2","1","404901","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",715,"2","2010","8",3164,3130,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,33,,"NA","NA","NA","3","NA","NA","2","1","2","1","1","1","3","1","4","830.85","2","NA","1","2","2","2","4","1","NA","1","2","1","NA","NA","92.35","0","NA","3","NA","1","1","NA","12202","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",723,"1","2010","13",6841,5573,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1268,,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","1278.23","3","NA","2","2","2","2","3","1","NA","3","2","1","NA","NA","365.89","0","NA","1","NA","1","3","1","398102","87702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",727,"2","2010","22",4949,4940,0,0,,,,,,,,,0,0,0,0,0,,0,,0,9,0,,0,,"NA","NA","NA","2","NA","NA","2","2","1","1","1","1","1","1","3","NA","2","NA","2","2","2","2","4","1","NA","1","2","1","NA","NA","105.52","0","NA","1","NA","3","1","1","157801","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",737,"1","2010","11",2488,2429,0,0,,,,,,,,,0,0,0,0,0,,0,,0,5,0,,54,,"NA","3","NA","3","NA","3","2","1","2","1","1","1","1","2","3","958.67","2","2","2","2","2","2","4","1","NA","2","1","1","NA","NA","86.92","255.45","NA","1","NA","1","3","1","14201","564702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",769,"1","2010","4",2877,-674,0,0,,,,,,,,,0,0,0,0,0,,1,,0,5,2144,,1403,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","1","4","1150.41","3","NA","2","2","1","2","4","4","NA","4","2","1","NA","NA","79.89","0","NA","1","NA","1","1","1","248601","234502","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",819,"2","2010","6",10036,2710,0,0,,,,,,,,,0,0,0,0,0,,0,,0,456,0,,6870,,"NA","NA","NA","3","NA","NA","2","2","2","1","1","2","1","1","2","639.12","2","2","2","2","2","2","2","1","NA","2","2","1","NA","NA","123.54","0","NA","1","NA","1","2","NA","294901","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",853,"2","2010","19",6188,1587,0,0,,,,,,,,,0,0,0,0,0,,0,,0,24,0,,4577,,"NA","3","NA","3","NA","3","1","2","1","1","1","1","1","1","3","1278.23","2","3","2","1","2","2","4","1","NA","2","2","1","NA","NA","181.64","0","NA","1","NA","1","1","1","383801","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",862,"2","2010","15",17427,16884,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,541,,"NA","3","NA","3","NA","3","2","1","1","1","1","1","1","1","3","1278.23","3","2","2","2","2","2","4","1","NA","3","2","1","12.78","NA","169.05","0","NA","1","NA","1","1","1","244902","NA","7","NA","NA","1",1,,,,,,,,,,,
"2010","EE",877,"2","2010","24",14673,4658,0,0,,,,,,,,,0,0,0,0,0,,0,,0,10015,0,,0,,"NA","NA","NA","3","NA","NA","2","2","2","1","1","3","1","3","3","1278.23","1","2","2","2","2","1","1","3","NA","2","2","1","NA","NA","39.63","0","NA","1","NA","1","NA","NA","350502","190302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",886,"1","2010","12",7128,7097,0,0,,,,,,,,,0,0,0,0,0,,0,,0,31,0,,0,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","3","4","639.12","2","NA","2","2","2","2","1","4","NA","4","2","1","NA","NA","104.18","0","NA","1","NA","1","2","1","466601","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",944,"1","2010","12",3134,145,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2989,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","1","4","447.38","2","3","2","2","2","2","4","2","NA","3","2","1","NA","NA","125.27","0","NA","1","NA","1","1","NA","88201","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",946,"2","2010","30",5163,5096,0,0,,,,,,,,,0,0,45,0,0,,0,,0,2,0,,65,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","1","1","383.47","2","NA","2","2","2","1","1","1","NA","5","2","1","NA","NA","141.5","0","NA","1","NA","1","2","1","NA","324002","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1002,"2","2010","20",2895,2885,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10,,"NA","3","NA","3","NA","NA","2","1","1","2","1","2","1","1","3","1278.23","2","NA","2","2","2","1","4","4","NA","5","2","1","12.78","NA","85.64","0","NA","1","NA","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1053,"1","2010","15",1894,1892,425,425,,,,,,,,,425,0,0,0,0,,0,,0,0,0,,2,,"NA","3","NA","3","NA","2","2","1","1","1","1","1","1","1","6","958.67","2","2","1","2","2","2","2","1","NA","5","2","1","NA","NA","194.61","0","NA","1","NA","1","2","1","NA","33402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1059,"1","2010","18",8008,6803,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1205,,"NA","2","NA","3","NA","NA","1","1","1","1","1","1","1","1","5","958.67","3","3","2","2","2","2","1","1","NA","3","2","1","NA","NA","173.9","0","NA","1","NA","1","2","1","57801","198902","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1067,"2","2010","39",4238,4213,0,0,,,,,,,,,0,0,0,0,0,,1,,0,24,0,,0,,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","2","4","958.67","2","NA","2","2","2","1","2","1","NA","2","2","1","NA","NA","52.09","168.98","NA","1","NA","1","NA","1","222801","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1080,"1","2010","11",7721,6405,0,0,,,,,,,,,0,0,0,0,0,,2,,0,0,0,,1316,,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","4","3195.58","3","3","2","2","2","2","1","1","NA","5","2","1","NA","NA","180.23","0","NA","1","NA","1","1","1","307402","321702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1118,"1","2010","17",2907,2905,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","3","1","1","3","1597.79","2","NA","2","2","2","2","1","1","NA","3","2","1","NA","NA","114.02","0","NA","1","NA","1","NA","NA","375001","327002","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1128,"2","2010","14",11806,10500,0,0,,,,,,,,,0,0,0,0,0,,27,,0,1306,0,,0,,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","5","1278.23","2","2","2","1","2","2","3","1","NA","2","2","1","NA","NA","69.34","113.76","NA","1","NA","1","2","1","383801","160402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1161,"2","2010","19",7962,7443,17,17,,,,,,,,,17,0,0,0,0,,0,,0,519,0,,0,,"NA","NA","NA","3","NA","NA","2","2","2","1","1","1","3","1","3","511.29","2","NA","2","2","2","2","4","1","NA","2","2","1","NA","NA","130.32","0","NA","1","NA","1","NA","1","NA","490803","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1164,"2","2010","17",0,-4,0,0,,,,,,,,,0,0,0,0,0,,0,,0,4,0,,0,,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","3","511.29","2","NA","2","2","2","2","4","1","NA","2","2","1","NA","NA","114.15","0","NA","1","NA","1","1","1","86702","397602","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1199,"1","2010","39",3330,3316,0,0,,,,,,,,,0,0,0,0,0,,0,,0,14,0,,0,,"NA","NA","NA","3","NA","NA","1","2","1","1","1","3","1","3","3","958.67","2","NA","2","2","2","2","1","1","NA","2","1","1","NA","NA","170.45","0","NA","1","NA","1","NA","1","199702","119302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1222,"2","2010","9",8332,5719,325,325,,,,,,,,,325,0,0,0,0,,0,,0,29,0,,2583,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","3","1","2","3","447.38","2","NA","2","1","2","2","4","4","NA","4","1","1","NA","NA","143.16","106.48","NA","1","NA","1","1","1","406901","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1224,"2","2010","10",7772,4304,0,0,,,,,,,,,0,0,0,0,0,,0,,0,11,2280,,1176,,"NA","NA","NA","3","NA","3","2","1","1","1","1","1","1","1","3","1917.35","1","NA","2","2","2","2","2","1","NA","2","2","1","85","NA","317.45","0","NA","1","NA","1","2","1","422701","457202","7","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1229,"2","2010","15",17352,15793,0,0,,,,,,,,,0,0,0,0,0,,0,,0,6,422,,1132,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","5","965.07","3","NA","2","2","2","2","3","1","NA","4","1","1","NA","NA","69.34","141.76","NA","1","NA","3","3","1","204101","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1241,"1","2010","11",2370,2343,0,0,,,,,,,,,0,0,0,0,0,,0,,0,27,0,,0,,"NA","3","NA","3","NA","NA","2","2","1","1","1","1","1","3","4","319.56","1","3","2","2","2","2","3","1","NA","3","2","1","NA","NA","58.8","0","NA","1","NA","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1275,"2","2010","12",7842,6190,0,0,,,,,,,,,0,0,0,0,0,,27,,0,1652,0,,0,,"NA","NA","NA","3","NA","3","2","1","2","1","1","1","1","3","3","965.07","2","2","2","2","2","2","1","1","NA","2","2","1","NA","NA","79.89","0","NA","1","NA","1","NA","1","NA","405202","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1307,"2","2010","15",2379,1584,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,846,,-50,,"NA","NA","NA","3","NA","3","2","1","1","1","1","1","1","1","2","639.12","2","NA","2","2","2","2","3","1","NA","4","2","1","63.91","NA","70.81","0","NA","1","NA","1","2","NA","246101","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1308,"1","2010","21",0,-10,0,0,,,,,,,,,0,0,0,0,0,,0,,0,10,0,,0,,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","3","1","2","1597.79","3","NA","2","2","2","2","1","4","NA","2","2","1","NA","NA","141.88","0","NA","1","NA","1","NA","NA","255102","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1326,"1","2010","19",15179,14214,0,0,,,,,,,,,0,0,0,0,0,,0,,0,965,0,,0,,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","1","6","703.03","1","NA","2","2","2","2","3","1","NA","2","2","1","NA","NA","123.99","0","NA","1","NA","1","1","1","226001","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1345,"2","2010","20",3365,2918,0,0,,,,,,,,,0,0,0,0,0,,0,,0,446,0,,0,,"NA","NA","NA","2","NA","3","2","1","1","1","1","3","2","1","4","NA","1","2","1","2","2","1","1","4","NA","3","2","1","NA","NA","0","0","NA","1","NA","1","2","NA","443602","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1355,"1","2010","27",5639,5627,0,0,,,,,,,,,0,0,0,0,939,,0,,0,13,0,,0,,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","5","958.67","1","NA","2","2","1","2","4","1","NA","2","2","1","NA","NA","93.95","0","NA","1","NA","1","1","1","20202","324801","4","NA","NA","1",1,,,,,,,,,,,
"2010","EE",1357,"2","2010","29",4091,3723,0,0,,,,,,,,,0,0,0,0,0,,0,,0,368,0,,0,,"NA","NA","NA","3","NA","3","2","1","1","1","2","3","3","2","3","958.67","2","NA","2","2","2","2","3","1","NA","4","2","1","NA","NA","112.68","0","NA","1","NA","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
