"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PY021G","PY030G","PX020","PX050","PX010","PL110","PL111"
"2008","EE",2591,123.100758853288,"NA","2","2008","12","4",1961,"1","2","3","EE","2","NA","NA","NA","NA","2","2","NA","3",,"NA","0","0","NA","NA","NA","1","2","2","NA","4","NA","1","6","6","6","8","6","8","1","8","1","6","6","3","2","1","2","NA","2","1",0,0,0,2520,0,1,0,0,0,0,0,0,0,0,0,0,1,259,"1",0,1228,46,"7","1","","NA"
"2008","EE",2631,123.100758853288,"NA","2","2008","12","4",1930,"2","2","3","EE","2","NA","5","5","NA","1","2","NA","NA","2","NA","0","0","NA","NA","NA","1","2","NA","NA","3","NA","3","5","3","8","8","7","7","7","2","7","1","3","2","2","1","2","NA","2","NA",0,154,25,0,0,1,0,0,87,0,0,1664,0,0,0,0,1,263,"1",0,2326,77,"1","1","","NA"
"2008","EE",2991,123.100758853288,"NA","2","2008","9","4",1933,"2","4","1","EE","2","NA","3","5","NA","1","2","NA","3","9","NA","5","0","NA","NA","NA","1","2","NA","NA","NA","15","6","5","6","6","6","6","6","1","8","6","6","1","4","2","1","2","NA","1","NA",0,0,58,0,0,1,320,0,50,0,0,2520,0,0,0,0,1,299,"1",0,0,74,"1","1","","NA"
"2008","EE",3361,123.100758853288,"NA","1","2008","15","1",1938,"2","4","3","Other","2","NA","1","5","NA","1","2","NA","3","7","48","0","6","NA","NA","NA","1","2","NA","NA","NA","19","6","6","8","8","1","6","6","6","3","1","6","6","4","2","2","2","NA","2","NA",0,0,8,0,0,1,0,0,0,0,0,2966,0,0,0,0,1,336,"1",0,0,69,"6","1","","NA"
"2008","EE",3381,123.100758853288,"NA","1","2008","14","2",1943,"1","5","1","EE","2","5","2","5","NA","NA","NA","NA","3","7","NA","12","0","NA","NA","13","1","2","2","NA","NA","20","1","1","1","1","3","1","1","1","1","1","1","1","NA","2","3","2","NA","2","NA",0,0,54,0,0,1,0,0,0,0,0,10254,0,0,0,0,1,338,"1",0,2820,64,"6","1","f","NA"
"2008","EE",4001,123.100758853288,"NA","1","2008","3","3",1982,"1","1","1","Other","2","NA","3","1","NA","NA","NA","NA","3","2","40","0","0","NA","NA","11","1","2","2","NA","NA","18","1","1","1","1","3","1","1","1","1","1","1","1","2","1","3","2","NA","2","NA",0,0,11,4368,1388,1,0,0,0,0,0,0,0,0,0,0,1,400,"1",0,0,25,"7","1","h","r-u"
"2008","EE",4071,123.100758853288,"NA","1","2008","12","2",1940,"2","4","1","Other","2","NA","2","5","NA","NA","NA","NA","3","9","40","0","0","NA","NA","NA","1","NA","2","NA","NA","18","1","2","1","1","6","6","8","1","1","1","6","1","3","2","3","2","NA","2","NA",0,0,16,0,0,1,0,505,10,0,0,2728,0,0,0,0,1,407,"1",0,0,67,"1","1","l","NA"
"2008","EE",4541,123.100758853288,"NA","1","2008","12","3",1927,"2","2","3","EE","2","NA","2","5","NA","1","NA","NA","3","8","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","15","6","6","8","6","6","6","6","6","6","6","6","6","3","1","1","2","NA","2","NA",288,0,6,0,0,1,0,0,7,0,0,1960,0,0,0,0,1,454,"1",0,1169,80,"1","1","","NA"
"2008","EE",4611,123.100758853288,"NA","1","2008","19","1",1963,"1","1","1","EE","2","NA","4","1","NA","NA","NA","NA","3","7","40","12","0","NA","NA","3","1","1","1","NA","NA","17","1","1","1","2","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",1956,0,7,5426,1191,1,0,0,0,0,0,0,0,0,0,0,1,461,"1",1191,0,44,"6","1","l","r-u"
"2008","EE",4671,123.100758853288,"NA","2","2008","22","1",1985,"2","1","2","EE","2","5","3","4","NA","2","2","1","NA","5","20","0","0","NA","NA","NA","1","2","NA","NA","NA","NA","7","7","8","7","8","8","8","8","7","7","6","8","NA","2","3","1","NA","2","NA",0,0,156,0,0,1,0,0,0,0,0,0,0,0,0,0,1,467,"1",0,1029,22,"1","1","","NA"
"2008","EE",4731,123.100758853288,"NA","2","2008","28","1",1985,"2","1","1","EE","2","NA","3","4","NA","2","2","NA","NA","5","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","20","7","8","8","7","8","8","8","8","7","7","8","7","2","2","2","2","NA","2","NA",0,0,0,574,0,1,0,0,7,0,0,0,0,0,0,0,1,473,"1",0,3564,22,"1","1","","NA"
"2008","EE",4751,123.100758853288,"NA","2","2008","8","1",1950,"2","2","3","EE","2","NA","3","1","NA","NA","NA","NA","3","3","40","12","0","NA","NA","11","1","2","2","NA","NA","18","1","1","1","1","2","1","1","1","1","1","1","1","NA","2","3","2","NA","2","NA",0,0,0,12454,487,1,224,0,0,0,0,0,0,0,0,0,1,475,"1",0,8592,57,"7","1","","r-u"
"2008","EE",4891,123.100758853288,"NA","1","2008","13","3",1930,"2","4","1","EE","2","NA","2","5","NA","1","2","NA","3","4","NA","0","0","NA","NA","NA","NA","2","NA","NA","NA","22","6","6","2","6","6","1","6","6","6","6","6","6","2","1","2","2","NA","1","NA",0,0,0,0,0,1,0,0,0,0,0,2972,0,0,0,0,1,489,"1",0,0,77,"1","1","","NA"
"2008","EE",5041,123.100758853288,"NA","2","2008","16","2",1966,"1","1","1","EE","1","3","3","1","NA","2","2","1","3","5","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","NA","1","2","NA","7","5","7","7","7","2","7","7","NA","2","2","2","2","NA","2","NA",0,0,0,1408,42,1,0,0,156,0,0,0,0,0,0,0,1,504,"1",0,0,41,"1","1","","i"
"2008","EE",5181,123.100758853288,"NA","3","2008","10","4",1941,"1","2","1","EE","2","NA","3","5","NA","NA","2","NA","3","7","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","18","1","6","6","7","6","6","8","6","6","6","6","1","4","1","2","2","NA","2","NA",0,0,0,0,0,1,0,0,0,0,0,2850,0,0,0,0,1,518,"1",0,3214,66,"1","1","","NA"
"2008","EE",5321,123.100758853288,"NA","2","2008","8","4",1927,"2","4","1","EE","2","NA","1","5","NA","NA","NA","NA","3","0 - 1","40","0","0","NA","NA","13","1","2","2","NA","NA","26","1","1","1","1","1","1","6","6","1","6","1","1","3","1","3","2","NA","2","NA",0,0,20,0,0,1,0,0,0,0,0,5323,0,0,0,0,1,532,"1",0,0,80,"1","1","","NA"
"2008","EE",5401,123.100758853288,"NA","2","2008","16","2",1947,"2","4","3","EE","2","3","3","3","NA","2","2","1","NA","9","NA","0","0","NA","NA","1","1","NA","NA","NA","NA","NA","7","7","7","7","6","8","8","6","8","5","8","8","3","2","2","2","NA","2","NA",0,0,0,0,0,1,0,0,52,0,0,0,0,0,0,0,1,540,"1",0,1173,60,"1","1","","NA"
"2008","EE",5711,123.100758853288,"NA","1","2008","6","1",1932,"2","1","3","EE","2","NA","3","5","NA","1","2","NA","NA","4","NA","9","0","NA","NA","13","1","2","2","NA","NA","16","6","4","6","6","6","6","5","6","7","6","6","6","3","2","3","2","NA","2","NA",0,0,23,0,0,1,0,0,0,0,0,1864,0,0,0,0,1,571,"1",0,1538,75,"1","1","","NA"
"2008","EE",5981,123.100758853288,"NA","1","2008","11","4",1969,"1","1","2","EE","2","NA","3","1","NA","NA","2","NA","3","7","NA","0","3","NA","NA","NA","1","2","NA","NA","NA","17","6","6","6","6","6","6","6","6","1","6","1","6","3","2","2","2","NA","2","NA",1023,0,10,2795,0,1,0,0,17,0,0,0,0,0,0,0,1,598,"1",0,1455,38,"7","1","","a"
"2008","EE",6231,123.100758853288,"NA","2","2008","5","2",1939,"2","4","2","EE","2","NA","2","5","NA","1","2","NA","3","9","40","0","0","NA","NA","NA","1","2","NA","NA","NA","17","6","1","6","6","6","6","6","8","8","6","6","6","3","1","2","2","NA","1","NA",0,0,6,0,0,1,415,0,5,0,0,0,0,0,2786,0,1,623,"1",0,0,68,"1","1","","NA"
"2008","EE",6631,123.100758853288,"NA","1","2008","15","2",1933,"1","2","3","EE","2","NA","3","5","NA","1","2","NA","3","0 - 1","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","23","6","6","6","6","6","6","6","6","5","6","8","4","3","1","2","1","NA","2","NA",0,0,58,0,0,1,0,0,0,0,0,2515,0,0,0,0,1,663,"1",0,2373,74,"7","1","","NA"
"2008","EE",6701,123.100758853288,"NA","1","2008","29","4",1984,"1","1","3","EE","2","NA","3","1","NA","NA","1","NA","NA","7","NA","0","0","NA","NA","NA","1","2","NA","NA","11","NA","7","3","8","8","3","7","3","2","8","7","7","7","NA","2","3","2","NA","2","NA",0,0,13,589,0,1,0,0,8,0,0,0,0,0,0,0,1,670,"1",0,0,23,"1","1","a+b","b-e"
"2008","EE",6761,123.100758853288,"NA","2","2008","15","3",1954,"2","4","1","EE","2","NA","3","1","NA","NA","NA","NA","3","5","40","12","0","NA","NA","13","1","2","2","1","NA","18","1","1","1","1","1","1","1","1","1","3","1","1","3","2","3","2","NA","2","NA",0,0,0,8563,0,1,0,0,2,0,0,0,0,0,0,0,1,676,"1",0,766,53,"1","1","f","i"
"2008","EE",7031,123.100758853288,"NA","1","2008","4","3",1962,"1","2","3","EE","2","NA","3","1","NA","NA","NA","1","3","7","40","12","0","NA","NA","13","1","2","2","NA","NA","23","1","1","1","1","1","3","1","1","1","1","1","1","NA","2","3","2","NA","2","NA",0,0,82,15040,108,1,383,0,0,0,0,0,0,0,0,0,1,703,"1",0,0,45,"7","1","j","f"
"2008","EE",7071,123.100758853288,"NA","2","2008","12","1",1956,"2","2","1","EE","2","NA","3","1","NA","1","NA","NA","2","5","NA","12","0","NA","NA","8","1","1","2","1","NA","21","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","1","NA","2","NA",0,0,0,8851,0,1,0,0,174,0,0,0,0,0,0,0,1,707,"1",0,1028,51,"1","1","m","l-n"
"2008","EE",7091,123.100758853288,"NA","2","2008","19","2",1982,"2","2","1","EE","2","NA","5","1","NA","NA","NA","NA","3","3","NA","12","0","NA","NA","13","NA","1","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,456,27,21957,1252,1,0,0,0,0,0,0,0,0,0,0,1,709,"1",0,2541,25,"1","1","f","q"
"2008","EE",7111,123.100758853288,"NA","2","2008","5","2",1935,"2","4","1","EE","2","NA","3","1","NA","1","NA","NA","3","8","44","0","0","NA","NA","5","1","2","2","NA","NA","18","1","1","1","1","1","1","6","6","1","6","2","6","2","2","3","2","NA","1","1",0,0,40,2236,16,1,0,0,7,0,0,1503,0,0,0,0,1,711,"1",0,0,72,"7","1","c+d+e","h"
"2008","EE",7151,123.100758853288,"NA","2","2008","8","2",1927,"2","4","3","EE","1","NA","4","5","NA","1","1","NA","NA","3","NA","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","3","7","1","8","8","8","7","3","7","7","8","7","3","2","2","2","NA","2","NA",0,0,0,0,0,1,0,0,0,0,0,1790,0,0,0,0,1,715,"1",0,1660,80,"7","1","","NA"
"2008","EE",7231,123.100758853288,"NA","1","2008","27","1",1948,"1","2","1","EE","2","NA","3","6","NA","1","2","NA","3","8","NA","0","0","NA","NA","NA","1","2","2","NA","NA","17","6","7","6","8","6","8","1","6","6","6","6","6","2","1","1","2","2","2","NA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,2732,0,1,723,"1",0,399,59,"1","1","","NA"
"2008","EE",7271,123.100758853288,"NA","2","2008","14","1",1931,"1","2","1","EE","1","3","1","5","NA","2","2","NA","2","7","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","20","7","8","7","8","7","8","8","7","8","5","7","7","2","1","3","2","NA","2","NA",288,0,23,0,0,1,537,0,20,0,0,1720,0,0,0,0,1,727,"1",0,2291,76,"6","1","f","NA"
"2008","EE",7371,123.100758853288,"NA","1","2008","22","2",1932,"2","5","3","Other","2","NA","1","5","NA","NA","2","NA","3","5","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","18","6","6","8","6","6","6","6","6","6","6","6","6","4","2","3","1","NA","2","NA",0,0,0,0,0,1,0,0,119,0,0,2704,0,0,0,0,1,737,"1",0,0,75,"5","1","","NA"
"2008","EE",7691,123.100758853288,"NA","2","2008","18","2",1940,"2","5","3","Other","1","5","5","5","NA","2","NA","NA","3","0 - 1","NA","0","0","NA","NA","NA","NA","NA","1","NA","10","18","7","7","8","7","7","6","7","7","5","8","8","5","3","2","1","1","NA","2","NA",0,0,0,0,0,1,0,0,0,0,0,1583,0,0,0,0,1,769,"1",0,0,67,"7","1","","NA"
"2008","EE",8191,123.100758853288,"NA","1","2008","9","1",1936,"2","2","1","EE","2","NA","1","2","NA","NA","NA","NA","3","9","40","12","0","NA","NA","11","1","2","2","NA","NA","21","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",256,0,0,1994,0,1,0,0,200,0,0,3535,0,0,0,0,1,819,"1",0,2980,71,"6","1","g","a"
"2008","EE",8531,123.100758853288,"NA","1","2008","16","3",1982,"1","1","3","Other","2","5","5","1","NA","NA","NA","NA","3","5","50","12","0","NA","NA","3","1","2","2","NA","NA","17","3","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",96,0,18,12300,0,1,0,0,164,0,0,0,0,0,0,0,1,853,"1",0,5676,25,"6","1","i","l-n"
"2008","EE",8621,123.100758853288,"NA","2","2008","6","4",1978,"2","2","2","EE","2","NA","5","1","NA","NA","NA","NA","3","0 - 1","45","12","0","NA","NA","13","1","2","2","1","NA","21","1","NA","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",77,0,0,9456,389,1,0,0,76,0,0,0,0,0,0,0,1,862,"1",0,4180,29,"1","1","k","k"
"2008","EE",8781,123.100758853288,"NA","2","2008","6","3",1940,"2","5","1","EE","2","NA","5","5","NA","NA","2","NA","3","2","NA","0","7","NA","NA","NA","1","2","NA","NA","NA","18","8","6","6","6","6","6","NA","6","6","1","8","6","2","2","1","2","NA","2","NA",0,0,0,0,0,1,0,0,2,0,0,2764,0,0,0,0,1,878,"1",0,1197,67,"6","1","","NA"
"2008","EE",8861,123.100758853288,"NA","2","2008","7","1",1927,"2","4","3","EE","2","NA","3","5","NA","1","2","NA","3","9","NA","0","0","NA","NA","11","1","2","NA","NA","NA","20","6","3","6","6","6","6","6","1","6","6","6","6","4","1","1","2","NA","2","NA",0,320,0,0,0,1,0,0,105,0,0,1911,0,0,0,0,1,886,"1",0,1701,80,"7","1","","NA"
"2008","EE",9441,123.100758853288,"NA","1","2008","18","2",1956,"1","1","1","EE","2","NA","3","1","NA","NA","NA","NA","3","6","40","12","0","NA","NA","3","1","1","2","NA","NA","21","1","1","6","1","1","1","1","1","3","1","1","1","2","1","3","2","NA","2","NA",0,0,51,17820,0,1,0,0,0,0,0,0,0,306,0,0,1,944,"1",0,1869,51,"1","1","g","a"
"2008","EE",10021,123.100758853288,"NA","1","2008","16","1",1941,"1","5","3","EE","2","NA","2","5","NA","2","2","NA","3","5","40","0","0","NA","NA","NA","1","2","NA","NA","NA","22","6","6","6","6","8","6","1","6","NA","6","6","6","2","1","3","2","NA","2","1",0,0,0,1754,0,1,0,0,0,0,0,862,0,0,0,0,1,1002,"1",0,2839,66,"7","1","","NA"
"2008","EE",10531,123.100758853288,"NA","2","2008","5","4",1973,"1","1","1","EE","2","NA","3","1","NA","NA","NA","NA","3","9","40","12","0","NA","NA","13","1","1","2","NA","NA","18","1","1","2","1","1","1","1","1","1","1","1","1","3","2","3","2","NA","2","NA",0,0,0,22644,0,1,0,0,5,0,0,0,0,420,0,0,1,1053,"1",0,3204,34,"1","1","c+d+e","b-e"
"2008","EE",10591,123.100758853288,"NA","2","2008","15","2",1928,"2","4","2","EE","2","NA","3","5","NA","1","2","NA","3","9","32","0","8","NA","NA","NA","1","2","NA","NA","NA","21","1","1","6","6","6","1","6","6","6","6","6","6","3","1","1","1","NA","2","NA",0,0,0,0,0,1,0,0,0,0,0,3039,0,0,0,0,1,1059,"1",0,2490,79,"7","1","l","NA"
"2008","EE",10671,123.100758853288,"NA","2","2008","18","3",1982,"1","1","2","Other","2","NA","3","1","NA","NA","2","NA","3","7","24","12","0","3","NA","13","1","2","2","NA","NA","18","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","NA","2","NA",0,0,0,7284,623,1,0,0,0,0,0,0,0,0,0,0,1,1067,"1",0,3270,25,"1","1","j","f"
"2008","EE",10801,123.100758853288,"NA","1","2008","21","2",1945,"2","4","1","EE","2","NA","3","5","NA","1","2","NA","3","3","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","19","6","6","6","6","1","8","6","6","8","6","6","6","3","1","2","2","7","2","NA",0,0,0,0,0,1,0,0,0,0,0,2833,0,0,0,0,1,1080,"1",0,2505,62,"6","1","","NA"
"2008","EE",11181,123.100758853288,"NA","1","2008","10","3",1929,"2","2","3","EE","2","NA","3","5","NA","NA","2","1","3","3","NA","1","0","NA","NA","NA","1","2","NA","NA","NA","16","1","6","1","8","6","1","1","1","6","1","8","1","2","1","1","2","NA","1","NA",0,224,4,0,0,1,0,0,4,0,0,3195,0,0,0,0,1,1118,"1",0,0,78,"1","1","a+b","NA"
"2008","EE",11291,123.100758853288,"NA","2","2008","10","1",1980,"2","2","3","EE","1","NA","3","1","NA","NA","2","NA","3","2","NA","12","0","NA","NA","11","1","2","NA","NA","NA","20","1","1","6","1","1","1","1","2","1","3","6","1","4","1","2","2","NA","2","NA",0,0,21,3626,0,1,0,0,3,0,0,0,0,23,0,0,1,1129,"1",0,1197,27,"1","1","g","p"
"2008","EE",11611,123.100758853288,"NA","2","2008","24","3",1966,"1","2","1","EE","2","NA","5","1","NA","NA","NA","NA","3","5","NA","12","0","NA","NA","NA","1","2","2","NA","NA","18","8","1","1","3","3","3","1","1","1","1","1","1","NA","2","2","2","NA","2","NA",0,0,0,7981,74,1,0,0,132,0,0,0,0,34,0,0,1,1161,"1",0,1966,41,"1","1","i","g"
"2008","EE",11651,123.100758853288,"NA","2","2008","15","2",1937,"1","4","3","EE","2","NA","3","1","NA","NA","NA","NA","3","9","45","12","0","NA","NA","13","1","2","2","NA","NA","19","1","1","3","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",1534,0,15,5988,0,1,0,0,265,0,0,3467,0,0,0,0,1,1165,"1",0,2695,70,"6","1","f","h"
"2008","EE",11991,123.100758853288,"NA","2","2008","8","2",1940,"2","2","1","Other","2","NA","3","5","NA","2","2","NA","3","9","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","18","6","6","6","6","8","6","8","6","6","1","6","8","4","1","1","2","NA","2","NA",0,0,67,0,0,1,0,0,36,0,0,3068,0,0,0,0,1,1199,"1",0,0,67,"7","1","","NA"
"2008","EE",12221,123.100758853288,"NA","2","2008","6","4",1948,"1","5","1","EE","2","NA","3","1","NA","1","NA","NA","3","7","40","12","0","NA","NA","15","1","2","2","NA","NA","18","1","1","1","3","1","1","8","1","1","1","1","1","NA","2","3","2","NA","2","NA",0,0,0,13031,0,1,0,0,0,0,0,0,0,0,0,0,1,1222,"1",0,1025,59,"1","1","i","f"
"2008","EE",12241,123.100758853288,"NA","2","2008","9","4",1930,"2","4","1","EE","2","NA","5","5","NA","1","2","NA","3","2","40","10","0","NA","NA","15","1","2","NA","NA","NA","18","1","6","1","1","1","2","1","1","1","1","6","6","2","1","3","1","4","1","1",0,0,3,0,0,1,0,0,0,0,0,3173,0,0,0,0,1,1224,"1",0,2970,77,"1","1","","NA"
"2008","EE",12291,123.100758853288,"NA","2","2008","5","4",1951,"1","2","3","EE","2","NA","4","5","NA","1","2","NA","3","7","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","20","6","6","6","6","6","1","6","6","6","6","8","6","3","2","1","2","NA","2","1",0,0,31,0,0,1,0,0,0,0,0,2649,0,0,0,0,1,1229,"1",0,2231,56,"1","1","","NA"
"2008","EE",12411,123.100758853288,"NA","1","2008","19","3",1927,"2","4","3","EE","2","NA","3","5","NA","1","2","NA","3","9","40","0","0","NA","NA","NA","1","NA","NA","NA","NA","19","6","6","6","8","1","6","6","6","6","6","6","6","4","1","2","2","NA","1","1",0,0,14,0,0,1,0,0,0,0,0,2563,0,0,0,0,1,1241,"1",0,1656,80,"1","1","","NA"
"2008","EE",12751,123.100758853288,"NA","1","2008","14","1",1958,"1","1","1","EE","1","NA","5","1","NA","NA","2","NA","NA","3","NA","0","0","NA","NA","NA","NA","2","NA","NA","NA","NA","7","NA","2","7","7","7","7","7","8","8","7","7","2","1","3","2","NA","2","NA",0,0,1,763,0,1,0,0,5,0,0,0,0,17,0,0,1,1275,"1",0,1503,49,"6","1","l","r-u"
"2008","EE",13071,123.100758853288,"NA","1","NA","15","2",1927,"2","2","3","EE","2","NA","5","5","NA","1","2","NA","3","0 - 1","NA","12","0","NA","NA","NA","1","1","NA","NA","4","NA","7","6","8","6","6","1","1","6","6","6","6","6","4","1","2","2","2","2","NA",835,0,64,0,0,1,0,0,0,0,0,3083,0,0,0,0,1,1307,"1",0,4257,80,"6","1","","NA"
"2008","EE",13081,123.100758853288,"NA","1","2008","14","1",1980,"1","1","3","EE","2","NA","2","1","NA","1","NA","NA","3","7","40","12","4","NA","NA","3","1","2","NA","NA","NA","15","1","1","1","1","6","6","1","6","1","6","1","1","4","2","3","1","NA","2","NA",383,383,75,3938,0,1,0,0,0,0,0,0,0,0,0,0,1,1308,"1",0,2820,27,"7","1","o+p+q","b-e"
"2008","EE",13261,123.100758853288,"NA","1","2008","5","2",1970,"2","2","1","EE","2","NA","3","8","NA","NA","NA","NA","3","5","40","12","0","NA","NA","12","1","NA","2","1","NA","18","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","2","NA","2","NA",0,703,65,10250,0,1,0,0,57,0,0,0,0,0,0,0,1,1326,"1",0,5784,37,"1","1","f","NA"
"2008","EE",13451,123.100758853288,"NA","2","2008","5","2",1966,"1","5","3","EE","2","NA","3","3","NA","NA","2","1","3","7","NA","0","0","NA","NA","11","NA","NA","NA","NA","NA","NA","7","8","7","7","NA","7","7","7","8","7","7","7","NA","2","3","1","NA","2","NA",0,230,0,759,0,1,0,0,0,0,0,0,0,0,0,0,1,1345,"1",0,0,41,"1","1","","NA"
"2008","EE",13551,123.100758853288,"NA","1","2008","18","2",1952,"1","2","1","EE","2","NA","3","1","NA","NA","NA","NA","3","3","40","12","0","NA","NA","11","1","1","2","NA","NA","18","1","1","1","1","1","1","1","1","1","1","1","4","4","2","3","1","NA","2","NA",0,0,0,6848,99,1,0,0,3,0,0,0,0,0,0,0,1,1355,"1",0,0,55,"1","1","","i"
