"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","MH010","MH020","MH030","MH040","MH050","MH060","MH070","MH080","MH090","MH100","MH110","MH120","MH130","MH140","MH150","MH160","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010","HY081N","HY131N","HY081G","HY131G"
"2007","EE",464,"3","2007","38",1380,1370,0,0,,,,,,0,0,0,0,0,0,,0,10,0,0,"2","2","NA","1","1","1","1","1","1","1","1","5","1597.79","3","3","2","2","2","2","1","1","3","2","1","NA","NA","127.82","1","1","2","1","1","1","1","2","1","4","4","4","3","3","3","4","1","NA","1",1,,,,,,,,,,
"2007","EE",466,"2","2007","18",2269,1010,0,0,,,,,,0,0,0,0,0,3,,0,17,0,1242,"2","2","NA","2","2","1","1","1","1","1","1","3","639.12","2","NA","2","2","1","2","4","1","3","2","1","NA","NA","43.46","1","1","1","1","1","1","1","2","2","1","3","3","4","3","1","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",480,"2","2007","19",1045,997,0,0,,,,,,0,0,0,0,0,0,,0,48,0,0,"NA","2","NA","2","1","2","1","1","1","1","1","4","447.38","2","2","2","2","2","2","1","4","3","2","1","7.99","NA","35.15","1","1","2","1","1","1","1","2","1","3","3","3","3","1","1","NA","2","1","1",1,,,,,,,,,,
"2007","EE",495,"3","2007","26",2340,2340,0,0,,,,,,0,0,0,0,0,0,,0,1,0,0,"NA","2","2","2","1","1","1","1","1","1","1","2","1278.23","2","NA","2","2","1","2","1","1","4","1","1","NA","NA","63.91","1","1","1","1","1","1","1","2","2","3","2","1","3","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",508,"2","2007","15",2607,2604,0,0,,,,,,0,0,0,0,0,0,,0,2,0,0,"NA","2","NA","2","1","1","1","1","1","1","1","3","639.12","2","3","2","2","1","2","1","1","2","2","1","NA","NA","140.61","1","1","2","1","1","1","1","2","1","4","3","3","3","1","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",522,"1","2007","10",4352,4348,0,0,,,,,,0,0,0,0,0,0,,0,0,0,4,"NA","2","NA","2","2","1","1","1","1","1","1","3","447.38","3","NA","2","2","2","1","4","1","1","2","1","NA","NA","89.48","2","1","1","1","1","2","1","2","1","3","2","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",530,"2","2007","15",8074,7337,0,0,,,,,,0,0,0,0,0,0,,0,0,0,737,"2","2","2","1","1","1","1","1","1","1","1","3","1278.23","2","2","2","2","2","1","3","1","2","2","1","NA","NA","341.93","1","1","1","1","1","1","1","2","2","3","3","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",560,"2","2007","22",2113,2103,0,0,,,,,,0,0,0,0,0,0,,0,0,0,11,"2","2","2","2","1","2","1","1","2","1","2","3","766.94","3","NA","2","1","1","2","4","1","3","2","1","NA","NA","95.87","1","1","1","1","1","1","1","2","1","2","2","3","3","4","1","3","2","1","1",1,,,,,,,,,,
"2007","EE",587,"2","2007","22",7646,7429,0,0,,,,,,0,0,0,0,313,950,,0,0,0,217,"2","2","NA","1","1","1","1","1","1","1","1","3","1597.79","2","3","2","2","1","2","2","2","2","2","1","NA","NA","127.82","1","1","2","1","1","1","2","2","1","2","3","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",611,"1","2007","18",2467,2166,0,0,,,,,,0,0,0,0,0,0,,0,1,0,301,"NA","2","NA","2","1","1","1","1","2","1","1","4","1086.5","3","3","1","2","2","2","1","1","3","1","1","NA","NA","51.13","1","1","2","1","NA","2","2","2","1","3","4","3","4","4","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",651,"3","2007","16",2317,2309,0,0,,,,,,0,0,0,0,0,0,,0,5,0,3,"NA","2","NA","1","1","1","1","1","1","1","1","4","1278.23","3","NA","2","1","1","1","4","1","2","2","1","NA","NA","87.88","1","1","2","1","1","1","1","2","1","3","3","4","3","3","3","NA","2","2","1",1,,,,,,,,,,
"2007","EE",657,"2","2007","12",0,-2,0,0,,,,,,0,0,0,0,0,0,,0,0,0,2,"NA","2","NA","1","2","1","1","1","1","1","1","3","1278.23","2","2","2","2","1","2","3","1","2","2","1","NA","NA","127.82","2","1","1","1","1","1","1","2","1","2","4","4","3","2","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",663,"1","2007","41",2293,2290,0,0,,,,,,0,0,0,0,0,14,,0,0,0,3,"NA","2","NA","1","1","1","1","1","1","1","1","4","1725.61","2","2","2","2","1","2","4","1","3","1","1","NA","NA","127.82","1","2","2","1","1","1","2","2","1","2","4","3","3","3","3","3","2","NA","1",1,,,,,,,,,,
"2007","EE",665,"1","2007","13",9001,6434,0,0,,,,,,0,0,0,0,0,0,,0,2567,0,0,"1","2","2","1","1","2","1","1","1","1","1","3","383.47","3","2","2","2","2","2","4","2","1","2","1","NA","NA","35.79","1","1","2","1","1","1","1","2","1","2","4","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",690,"2","2007","9",6790,5176,0,0,,,,,,0,0,0,0,0,0,,0,1614,0,0,"NA","2","NA","1","1","2","1","1","3","1","1","4","1278.23","2","NA","2","2","2","2","1","1","2","2","1","NA","NA","63.91","1","1","1","1","1","1","2","2","2","3","4","3","1","3","2","NA","1","3","1",1,,,,,,,,,,
"2007","EE",694,"2","2007","29",4300,4164,0,0,,,,,,0,0,0,0,0,0,,0,53,0,84,"NA","2","2","2","1","1","1","1","1","1","1","6","1597.79","1","2","2","2","2","2","2","1","3","2","1","NA","NA","127.82","1","1","2","1","1","1","2","2","1","3","3","3","2","3","3","3","2","NA","1",1,,,,,,,,,,
"2007","EE",696,"1","2007","9",4297,4292,0,0,,,,,,0,0,0,0,0,2,,0,4,0,0,"2","2","2","1","1","1","1","1","1","1","1","3","766.94","3","NA","2","2","1","2","4","1","1","2","1","95.87","NA","63.91","1","1","2","1","1","1","1","2","2","2","1","2","3","4","4","NA","1","NA","1",1,,,,,,,,,,
"2007","EE",698,"2","2007","27",2390,2387,0,0,,,,,,0,0,0,0,0,0,,0,0,0,3,"2","2","NA","1","1","1","1","1","1","1","1","4","1278.23","3","NA","2","2","2","1","4","1","2","2","1","NA","NA","70.3","1","1","2","1","1","1","1","2","1","3","3","4","2","3","4","3","2","NA","1",1,,,,,,,,,,
"2007","EE",702,"2","2007","17",2217,2210,0,0,,,,,,0,0,0,0,0,0,,0,7,0,0,"2","2","NA","1","1","1","1","1","1","1","1","4","1597.79","2","3","2","2","2","1","2","1","2","2","1","NA","NA","127.82","1","1","1","1","1","1","2","2","1","3","3","4","3","3","3","NA","1","NA","1",1,,,,,,,,,,
"2007","EE",710,"2","2007","28",6556,6363,0,0,,,,,,0,0,0,0,0,0,,0,0,0,193,"NA","2","NA","2","1","1","1","1","3","1","1","3","383.47","3","NA","2","2","2","2","4","1","4","1","1","223.69","NA","95.87","1","1","2","1","1","1","1","2","2","4","4","3","3","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",714,"2","2007","16",2693,2508,0,0,,,,,,0,0,0,0,0,0,,0,185,0,0,"NA","2","NA","2","1","1","1","1","1","1","1","4","766.94","2","NA","2","2","2","2","1","1","3","2","1","NA","NA","95.87","1","1","1","1","2","2","2","2","1","3","3","2","3","3","3","3","1","NA","1",1,,,,,,,,,,
"2007","EE",724,"2","2007","23",2172,2170,0,0,,,,,,0,0,0,0,0,0,,0,0,0,2,"2","2","2","2","1","1","1","1","1","1","2","4","958.67","3","3","2","2","2","2","4","3","5","1","1","NA","NA","86.28","2","1","2","1","1","2","1","2","1","3","3","4","4","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",755,"1","2007","18",2221,2218,0,0,,,,,,0,0,0,0,0,0,,0,0,3,0,"NA","2","NA","2","1","1","1","1","3","1","1","3","1022.59","1","NA","2","2","1","1","2","1","4","2","1","NA","NA","63.91","2","2","2","1","1","1","1","2","1","3","3","2","3","2","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",804,"1","2007","21",4785,4779,0,0,,,,,,0,0,0,0,0,0,,0,0,0,7,"NA","2","NA","2","1","1","1","1","1","1","3","3","1406.06","3","2","2","2","2","1","4","1","3","2","1","NA","NA","178.95","1","1","2","1","1","1","1","2","1","4","3","3","3","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",837,"2","2007","25",2262,2255,0,0,,,,,,0,0,0,0,0,0,,0,0,0,7,"NA","2","NA","1","1","1","1","1","1","1","1","4","958.67","3","NA","1","2","2","2","1","1","2","1","1","NA","NA","83.09","1","1","2","1","1","1","1","2","1","2","3","1","3","1","3","4","1","3","1",1,,,,,,,,,,
"2007","EE",838,"1","2007","12",2693,1862,0,0,,,,,,0,0,0,0,0,3,,0,0,0,831,"NA","2","NA","2","1","1","1","1","3","1","2","4","511.29","2","NA","2","2","2","2","4","1","3","2","2","NA","NA","63.91","1","1","2","1","1","1","1","2","1","3","3","3","3","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",846,"2","2007","36",4230,4225,0,0,,,,,,0,0,0,0,0,0,,0,5,0,0,"NA","2","NA","2","1","1","1","1","1","1","2","4","319.56","3","NA","2","1","2","2","1","1","1","2","1","NA","NA","127.82","1","1","2","2","1","1","1","2","1","3","3","3","2","3","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",861,"2","2007","5",954,188,0,0,,,,,,0,0,0,0,0,4,,0,766,0,0,"NA","2","NA","1","1","1","1","1","1","1","2","3","1597.79","3","1","2","2","2","1","4","1","3","1","1","NA","NA","285.05","1","1","2","1","1","1","2","2","1","3","4","3","4","3","2","3","2","NA","1",1,,,,,,,,,,
"2007","EE",870,"2","2007","20",2406,2405,0,0,,,,,,0,0,0,0,0,0,,0,0,0,2,"2","2","NA","1","1","1","1","1","1","1","1","4","1278.23","3","NA","2","2","2","2","4","1","2","1","1","NA","NA","94.27","1","1","1","1","1","2","1","2","1","3","4","3","3","1","3","3","2","3","1",1,,,,,,,,,,
"2007","EE",927,"2","2007","20",746,738,0,0,,,,,,0,0,0,0,0,2,,0,8,0,0,"NA","2","NA","1","2","1","1","1","3","1","1","1","639.12","3","NA","2","2","2","1","1","1","2","2","1","63.91","NA","84.04","1","1","2","1","1","1","2","2","2","3","4","3","1","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",928,"2","2007","13",6991,6871,0,0,,,,,,0,0,0,0,0,4,,0,532,0,-412,"NA","2","2","1","1","1","1","1","1","1","1","4","958.67","3","2","2","2","2","2","4","1","4","2","1","NA","NA","83.09","1","1","2","1","1","1","1","2","1","3","4","3","3","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",984,"2","2007","20",2662,2638,0,0,,,,,,0,0,0,0,0,7,,0,24,0,0,"NA","2","NA","1","2","1","1","1","2","1","3","3","639.12","3","2","2","1","2","2","4","1","1","2","1","NA","NA","102.9","1","1","2","1","1","1","1","2","2","1","4","4","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1033,"2","2007","14",3728,3726,0,0,,,,,,0,0,0,0,0,0,,0,0,0,2,"NA","2","NA","2","2","2","1","1","3","1","2","3","639.12","2","2","2","2","2","2","4","1","2","2","1","NA","NA","102.26","1","2","2","1","1","1","1","2","2","2","2","3","NA","2","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1039,"2","2007","15",18553,15560,0,0,,,,,,0,0,0,0,0,0,,0,62,0,2931,"2","2","1","2","1","1","1","1","1","1","1","4","1278.23","2","3","2","2","2","2","4","1","3","1","1","NA","NA","35.79","1","1","2","1","1","1","1","2","1","3","4","2","3","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1047,"2","2007","27",2987,2098,0,0,,,,,,0,0,0,0,0,0,,0,889,0,0,"NA","2","2","2","1","2","2","1","1","1","3","2","958.67","2","NA","2","2","2","2","4","1","1","1","1","NA","NA","172.56","1","1","1","1","1","2","1","2","1","4","3","3","3","3","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1060,"1","2007","23",1951,1300,0,0,,,,,,0,0,0,0,0,0,,0,644,0,8,"2","2","2","1","1","2","1","1","1","1","1","4","1278.23","3","NA","2","2","2","2","1","4","3","2","1","319.56","NA","63.91","1","1","2","1","1","1","2","2","1","3","4","3","3","3","3","NA","2","1","1",1,,,,,,,,,,
"2007","EE",1098,"2","2007","16",8413,4259,0,0,,,,,,0,0,0,0,0,0,,0,4155,0,0,"NA","2","2","1","1","1","1","1","1","1","1","6","1597.79","2","2","2","2","2","2","4","1","2","2","1","NA","NA","341.93","1","1","2","2","1","1","2","2","1","3","3","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1107,"2","2007","26",3488,3481,0,0,,,,,,0,0,0,0,0,2,,0,0,0,6,"2","2","2","1","1","2","1","1","1","1","1","3","1597.79","3","NA","2","2","1","1","4","1","4","2","1","NA","NA","127.82","1","1","2","2","NA","1","1","2","2","3","3","3","3","4","2","3","2","NA","1",1,,,,,,,,,,
"2007","EE",1139,"1","2007","16",2650,1870,0,0,,,,,,0,0,0,0,0,0,,0,0,0,780,"NA","2","NA","1","1","1","1","1","1","1","2","4","639.12","1","NA","2","1","1","1","3","1","1","2","1","NA","NA","63.91","2","2","1","1","1","2","1","2","1","2","3","3","4","3","3","4","2","NA","1",1,,,,,,,,,,
"2007","EE",1143,"2","2007","13",4183,2982,0,0,,,,,,0,0,0,0,0,0,,0,0,0,1201,"NA","2","2","1","1","1","1","1","1","1","2","5","958.67","3","3","2","2","2","2","3","4","2","2","2","NA","NA","95.87","1","1","1","1","1","2","2","2","2","4","3","4","3","4","1","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1177,"3","2007","15",0,-1698,0,0,,,,,,0,0,0,0,0,0,,0,1308,0,390,"NA","2","2","2","1","1","1","1","1","1","2","3","447.38","2","NA","2","2","1","2","1","1","2","1","1","NA","NA","12.78","2","1","1","1","1","1","1","2","1","1","4","3","3","3","NA","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1199,"1","2007","15",5357,4991,0,0,,,,,,0,0,0,0,0,0,,0,366,0,0,"2","2","2","2","1","1","1","1","2","1","1","6","1917.35","2","2","2","2","2","2","4","1","2","2","1","NA","NA","1086.5","1","1","1","1","1","1","2","2","1","2","3","4","2","3","3","NA","2","1","1",1,,,,,,,,,,
"2007","EE",1201,"1","2007","13",2427,2415,0,0,,,,,,0,0,0,0,0,0,,0,0,0,12,"NA","2","2","2","1","2","1","1","3","1","3","3","639.12","2","NA","2","2","2","2","4","1","6","2","1","NA","NA","63.91","1","1","1","1","1","1","1","2","2","3","4","3","4","NA","1","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1206,"2","2007","7",2380,2278,0,0,,,,,,0,0,0,0,0,3,,0,0,0,102,"NA","2","NA","1","1","2","1","1","2","3","3","4","639.12","3","NA","2","2","1","2","1","2","4","1","1","NA","NA","101.62","2","2","2","1","NA","1","1","2","2","1","1","3","4","4","3","NA","1","NA","1",1,,,,,,,,,,
"2007","EE",1218,"2","2007","34",2425,2420,0,0,,,,,,0,0,0,0,0,0,,0,5,0,0,"NA","2","NA","1","1","1","1","1","1","1","1","3","1597.79","3","3","2","2","2","2","4","1","2","2","1","NA","NA","92.67","1","1","1","1","1","2","1","2","2","3","3","3","3","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1251,"2","2007","25",2287,1547,0,0,,,,,,0,0,0,0,0,0,,0,1,0,739,"NA","2","NA","2","1","2","3","1","1","1","3","3","1917.35","2","2","2","2","1","2","2","4","2","2","1","NA","NA","70.3","1","1","2","1","1","2","1","2","2","3","1","3","4","NA","2","NA","1","NA","1",1,,,,,,,,,,
"2007","EE",1283,"1","2007","27",7323,4658,0,0,,,,,,0,0,0,0,0,0,,0,2665,0,0,"2","2","NA","2","1","1","1","1","1","1","1","3","639.12","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","100.98","1","1","1","1","1","1","1","2","1","2","4","3","2","2","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1284,"2","2007","45",2130,2125,0,0,,,,,,0,0,0,0,0,0,,0,0,0,5,"NA","2","NA","2","1","2","1","1","2","1","3","4","383.47","1","NA","2","2","2","2","4","4","3","2","1","NA","NA","57.52","1","1","2","1","1","2","1","2","1","3","3","3","3","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1301,"2","2007","15",2248,2238,0,0,,,,,,0,0,0,0,0,0,,0,0,0,11,"NA","2","NA","1","1","1","1","1","1","1","1","4","958.67","2","NA","2","2","1","1","4","1","3","2","1","NA","NA","63.91","1","1","2","1","2","1","1","1","1","1","3","3","1","3","4","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1320,"2","2007","22",1738,383,0,0,,,,,,0,0,0,0,0,0,,0,1,0,1353,"NA","2","2","2","1","1","1","1","3","1","1","3","1278.23","2","3","2","2","2","2","1","3","2","2","1","NA","NA","235.19","1","1","1","1","1","2","1","2","1","4","4","3","3","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1330,"2","2007","22",2451,2448,0,0,,,,,,0,0,0,0,0,0,,0,3,0,0,"NA","2","2","2","1","1","1","1","3","1","1","3","319.56","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","76.69","1","1","2","1","1","1","1","2","1","3","4","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1332,"2","2007","40",2119,2114,0,0,,,,,,0,0,0,0,0,0,,0,5,0,0,"NA","2","NA","2","1","1","1","1","1","1","2","4","1278.23","3","NA","2","2","2","1","3","1","3","2","1","NA","NA","25.56","2","1","1","1","1","1","1","2","1","3","4","3","3","4","3","3","2","NA","1",1,,,,,,,,,,
"2007","EE",1339,"2","2007","29",3873,3369,0,0,,,,,,0,0,0,0,0,0,,0,504,0,0,"1","2","2","2","1","1","1","1","1","1","3","4","1278.23","1","NA","2","2","2","2","4","1","2","2","1","NA","NA","63.91","1","1","1","1","1","1","2","2","2","3","3","4","3","3","3","3","2","2","1",1,,,,,,,,,,
"2007","EE",1365,"2","2007","19",2645,2644,0,0,,,,,,0,0,0,0,0,0,,0,1,0,0,"NA","2","NA","1","1","1","1","2","1","1","3","3","1278.23","2","NA","2","2","2","2","1","2","3","2","2","NA","NA","127.82","1","1","2","1","NA","1","1","2","1","3","3","3","3","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1376,"1","2007","6",5741,4587,0,0,,,,,,0,0,0,0,0,0,,0,0,0,1154,"NA","2","2","2","1","2","1","1","1","1","1","4","894.76","1","NA","2","2","2","2","1","1","6","1","1","NA","NA","70.3","1","2","2","1","1","1","1","2","1","3","3","3","2","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",1377,"1","2007","14",2288,2262,0,0,,,,,,0,0,0,0,0,0,,0,0,0,27,"NA","2","NA","2","1","2","3","1","3","1","2","2","639.12","2","NA","2","2","2","2","4","1","2","2","1","NA","NA","115.04","1","1","2","1","1","1","1","2","1","3","3","2","4","2","3","NA","2","NA","1",1,,,,,,,,,,
