"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","EE",516,"2","2012","28",3719,3709,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9,,"3","3","3","2","1","1","1","1","1","1","1","1","1200","2","NA","2","2","1","2","1","3","6","2","1","NA","NA","154.91","NA","1","1",,"1",1,,,,,,"2","60","1","1","1","1","1","3","4","4","3","NA","4","NA","3","NA"
"2012","EE",530,"1","2012","46",3283,3230,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,52,,"NA","3","NA","1","1","2","1","1","3","1","1","3","1350","1","NA","2","2","2","2","4","1","3","2","1","NA","NA","75","NA","1","3",,"1",1,,,,,,"2","140","1","1","1","1","1","3","4","3","NA","3","2","NA","3","NA"
"2012","EE",544,"2","2012","12",5015,5013,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,,"NA","3","NA","1","1","2","1","1","3","1","1","4","1500","1","NA","2","2","2","2","4","4","3","2","1","NA","NA","0","NA","2","1",,"1",1,,,,,,"2","100","1","1","1","1","1","3","3","3","3","3","3","NA","3","NA"
"2012","EE",553,"2","2012","21",3146,3146,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,,"NA","3","NA","1","1","2","1","1","1","1","2","2","1800","3","2","2","2","2","1","4","1","4","2","1","NA","NA","109","200","1","1",,"1",1,,,,,,"2","49","1","1","1","1","2","4","3","1","2","NA","NA","NA","3","NA"
"2012","EE",584,"2","2012","14",4772,3802,0,0,,,,,,,,,0,0,0,0,0,,0,,0,15,0,,955,,"3","3","3","1","1","1","1","1","1","1","1","4","1700","2","2","2","2","2","2","4","2","3","2","1","NA","NA","200","80","1","1",,"1",1,,,,,,"2","63","1","1","1","1","1","3","3","3","4","3","3","NA","3","NA"
"2012","EE",612,"2","2012","14",3771,3757,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,14,,"NA","3","NA","1","1","1","1","1","3","1","2","3","1200","2","NA","2","2","2","2","4","1","4","2","2","NA","NA","201","NA","1","1",,"1",1,,,,,,"2","40","1","NA","1","1","1","3","3","3","2","3","3","NA","3","NA"
"2012","EE",637,"2","2012","33",14054,7472,0,0,,,,,,,,,0,230,0,0,5999,,0,,0,0,0,,6583,,"3","3","NA","2","1","2","1","1","1","1","1","1","1700","2","2","2","2","2","2","3","3","4","2","1","NA","NA","524","111","1","1",,"1",1,,,,,,"2","50","1","1","1","1","2","3","2","2","2","4","3","NA","3","NA"
"2012","EE",679,"2","2012","27",3200,2504,0,0,,,,,,,,,0,0,0,0,0,,0,,0,5,0,,691,,"NA","3","NA","1","1","1","3","1","1","1","1","3","1000","2","3","2","2","2","2","1","1","6","1","1","NA","NA","181.05","NA","1","1",,"1",1,,,,,,"2","36","1","1","1","2","1","3","3","3","3","3","2","NA","3","NA"
"2012","EE",685,"2","2012","18",3506,3504,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,,"NA","3","3","1","1","1","1","3","1","1","2","2","1700","2","1","2","2","2","2","1","3","4","1","1","92","NA","112.42","NA","1","1",,"1",1,,,,,,"2","40","1","1","2","2","1","3","4","3","4","4","3","NA","3","NA"
"2012","EE",692,"2","2012","26",17058,14212,0,0,,,,,,,,,0,0,0,0,0,,0,,0,3,0,,2843,,"3","3","NA","1","1","1","1","1","1","1","1","5","3000","2","3","2","2","2","2","1","2","3","2","1","350","NA","493.8","420","1","1",,"1",1,,,,,,"2","120","1","1","1","1","1","4","3","3","3","NA","3","3","3","NA"
"2012","EE",694,"1","2012","14",2121,2091,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,30,,"3","3","3","1","1","1","1","1","1","1","3","4","900","3","NA","2","2","2","1","4","5","6","2","1","NA","NA","83.37","80","1","1",,"1",1,,,,,,"2","143","1","1","1","1","1","4","4","3","2","2","3","NA","2","NA"
"2012","EE",719,"2","2012","8",5912,4474,0,0,,,,,,,,,0,0,481,0,0,,0,,0,1437,0,,0,,"NA","2","3","1","1","2","1","1","1","1","1","4","1500","2","NA","2","2","2","2","1","5","3","2","2","NA","NA","176.16","NA","1","1",,"1",1,,,,,,"2","93","1","1","1","2","2","2","2","4","4","3","2","NA","3","NA"
"2012","EE",724,"2","2012","22",15796,13707,0,0,,,,,,,,,0,0,0,0,0,,12,,0,157,0,,1932,,"3","3","3","1","1","1","1","1","1","1","1","6","3000","2","3","2","2","2","2","4","2","3","2","1","350","NA","166","256","1","1",,"1",1,,,,,,"1","87","1","1","1","1","1","4","3","3","3","3","3","NA","3","NA"
"2012","EE",725,"2","2012","25",9234,4831,0,0,,,,,,,,,0,0,0,0,0,,0,,0,4403,0,,0,,"3","3","NA","1","1","2","1","1","1","1","1","2","800","2","3","2","2","2","2","1","1","2","2","1","NA","NA","131.5","103","3","1",,"1",1,,,,,,"2","63","1","1","2","1","2","3","4","3","3","NA","2","NA","3","NA"
"2012","EE",728,"2","2012","9",0,-329,0,0,,,,,,,,,0,0,0,0,0,,0,,0,46,0,,283,,"NA","3","3","1","1","2","1","1","1","1","1","2","900","2","2","2","2","2","2","1","1","4","2","1","NA","NA","184.4","NA","1","1",,"1",1,,,,,,"2","31","1","1","2","1","2","2","4","3","2","3","3","NA","3","NA"
"2012","EE",731,"2","2012","13",6082,3436,0,0,,,,,,,,,0,0,0,0,0,,34,,0,2645,0,,0,,"3","3","NA","1","1","1","1","1","1","1","1","3","1000","2","NA","2","2","2","2","4","1","4","2","1","NA","NA","135","NA","1","1",,"1",1,,,,,,"2","45","1","1","1","1","1","4","4","2","4","3","3","NA","3","NA"
"2012","EE",740,"1","2012","18",1007,1006,0,0,,,,,,,,,0,0,0,0,0,,5,,0,2,0,,0,,"3","3","NA","1","2","1","1","1","1","1","2","4","1500","2","NA","2","2","1","2","4","1","6","2","1","NA","NA","137.7","NA","1","1",,"1",1,,,,,,"1","54","1","1","1","1","1","4","3","2","3","3","1","NA","3","NA"
"2012","EE",744,"1","2012","20",5423,3935,0,0,,,,,,,,,0,0,0,0,0,,0,,0,10,0,,1478,,"3","3","3","1","1","1","1","1","1","1","1","4","3000","2","1","2","2","2","2","3","2","6","2","1","NA","NA","69","210","1","1",,"1",1,,,,,,"2","126","1","1","1","1","1","4","2","3","4","2","3","NA","3","NA"
"2012","EE",754,"2","2012","20",3798,3686,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,111,,"NA","3","NA","2","1","1","1","1","1","1","2","3","500","3","NA","2","2","2","1","NA","1","3","1","1","NA","NA","68.92","NA","1","1",,"1",1,,,,,,"2","45","1","1","1","1","1","1","3","4","2","3","4","NA","3","NA"
"2012","EE",787,"1","2012","17",8374,8101,0,0,,,,,,,,,0,0,0,0,0,,0,,0,37,0,,235,,"3","3","NA","2","1","2","1","1","1","1","3","5","2000","2","NA","2","2","1","1","1","1","2","2","1","NA","NA","13","NA","1","1",,"1",1,,,,,,"1","75","1","2","1","2","1","3","3","3","2","3","3","NA","3","NA"
"2012","EE",837,"1","2012","17",463,455,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8,,"NA","2","NA","2","1","1","1","1","1","1","2","3","400","1","2","2","2","2","2","3","2","5","2","1","NA","NA","135","NA","2","3",,"1",1,,,,,,"1","27","1","1","1","1","1","3","4","2","3","3","2","NA","3","NA"
"2012","EE",872,"2","2012","17",12905,10639,0,0,,,,,,,,,0,0,0,0,0,,0,,0,68,0,,2198,,"NA","3","NA","2","1","1","1","1","1","1","1","5","1000","3","NA","2","2","2","2","4","2","5","2","1","NA","NA","67","NA","1","1",,"1",1,,,,,,"2","68","1","1","1","1","2","2","4","NA","3","3","4","NA","3","NA"
"2012","EE",873,"2","2012","19",3499,3492,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,7,,"NA","3","3","2","2","1","1","1","1","1","2","2","1000","1","NA","1","2","2","2","4","1","2","2","1","NA","NA","67.96","NA","1","3",,"1",1,,,,,,"2","42","1","1","1","1","2","2","3","3","2","3","4","NA","3","NA"
"2012","EE",882,"2","2012","51",12192,10862,0,0,,,,,,,,,0,0,0,0,8538,,0,,0,0,0,,1330,,"NA","3","NA","1","1","1","1","1","1","1","1","3","2000","2","NA","2","2","2","1","4","2","5","2","1","NA","NA","130.4","607","1","1",,"1",1,,,,,,"2","43","1","1","1","1","1","2","3","3","3","3","3","NA","3","NA"
"2012","EE",897,"2","2012","21",6272,4167,0,0,,,,,,,,,0,0,0,0,0,,6,,0,2105,0,,0,,"3","3","3","2","1","2","1","1","1","1","1","4","1250","2","NA","2","2","2","2","1","5","3","2","1","NA","NA","169","NA","1","1",,"1",1,,,,,,"1","170","1","1","1","2","2","3","3","3","4","4","3","3","3","NA"
"2012","EE",907,"1","2012","19",3567,3294,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2,0,,271,,"2","3","3","2","1","2","1","1","1","1","1","4","NA","2","NA","2","2","2","2","4","2","4","2","1","NA","NA","263.24","NA","1","1",,"1",1,,,,,,"2","44","1","2","1","1","1","3","2","4","4","3","3","NA","3","NA"
"2012","EE",965,"1","2012","21",4066,2032,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2,0,,2032,,"NA","3","3","2","1","2","1","1","1","1","3","3","1400","2","2","2","2","2","2","4","2","3","2","1","NA","NA","130.4","NA","3","1",,"1",1,,,,,,"2","70","1","1","1","1","1","3","4","2","3","3","4","NA","3","NA"
"2012","EE",969,"1","2012","12",3706,2081,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1625,,"3","3","NA","1","1","1","1","1","1","1","1","3","2700","2","2","2","2","2","2","3","2","4","2","1","NA","NA","195.7","158","1","1",,"1",1,,,,,,"2","62","1","1","1","1","1","3","3","3","3","3","4","NA","3","NA"
"2012","EE",978,"1","2012","21",0,-4363,0,0,,,,,,,,,0,0,0,0,0,,0,,0,4363,0,,0,,"3","3","NA","1","1","1","1","1","1","1","1","3","1000","2","2","2","2","2","2","1","2","2","2","1","NA","NA","208.79","NA","1","1",,"1",1,,,,,,"2","49","1","1","1","1","1","2","3","3","2","3","3","NA","3","NA"
"2012","EE",1025,"1","2012","20",4897,4165,0,0,,,,,,,,,0,0,0,0,0,,0,,0,733,0,,0,,"NA","NA","3","2","1","1","1","1","1","1","1","4","1200","2","NA","2","2","2","2","2","1","4","2","1","NA","NA","58.45","NA","3","1",,"1",1,,,,,,"2","82","1","1","1","2","1","3","3","2","3","3","3","NA","3","NA"
"2012","EE",1078,"2","2012","12",3558,3489,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,69,,"NA","3","NA","1","1","2","1","1","1","1","1","3","2700","1","2","2","2","1","2","3","2","5","2","1","NA","NA","101.55","109","1","1",,"1",1,,,,,,"2","34","1","1","1","1","1","3","4","4","2","NA","3","NA","2","NA"
"2012","EE",1084,"2","2012","21",19459,17790,0,0,,,,,,,,,0,0,0,0,0,,3,,0,130,0,,1539,,"NA","3","3","1","1","1","1","1","1","1","3","3","2000","2","1","2","2","1","2","4","1","2","2","1","NA","NA","31","NA","3","1",,"1",1,,,,,,"1","74","1","1","1","2","1","3","2","3","3","2","3","NA","3","NA"
"2012","EE",1092,"2","2012","16",6618,2310,0,0,,,,,,,,,0,0,0,0,0,,10,,0,34,0,,4275,,"3","3","NA","1","1","2","1","1","1","1","1","4","1500","2","2","2","1","1","2","1","1","3","2","1","NA","NA","51.8","NA","1","1",,"1",1,,,,,,"2","165","1","2","1","1","1","3","3","2","NA","4","3","4","3","NA"
"2012","EE",1105,"2","2012","19",3403,3391,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,11,,"NA","3","1","1","1","1","1","1","1","1","1","2","1200","2","2","2","2","1","1","4","5","4","2","1","NA","NA","404.8","NA","1","1",,"1",1,,,,,,"2","65","1","1","1","2","1","3","3","3","3","3","3","NA","3","NA"
"2012","EE",1144,"2","2012","25",4553,4523,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,30,,"NA","3","NA","2","1","1","1","1","3","1","1","4","800","2","2","2","2","2","2","4","1","4","1","1","NA","NA","148.7","NA","1","1",,"1",1,,,,,,"2","52","1","NA","1","1","1","3","3","3","1","4","3","NA","3","NA"
"2012","EE",1155,"1","2012","25",10034,8460,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1574,,"NA","3","NA","2","1","1","1","1","1","1","1","5","1000","2","2","2","2","2","2","1","2","3","2","1","NA","NA","173.8","NA","1","1",,"1",1,,,,,,"1","61","1","1","1","1","1","4","1","4","3","3","2","2","3","NA"
"2012","EE",1188,"2","2012","25",9042,6360,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2682,0,,0,,"NA","3","3","2","1","2","1","1","3","1","1","3","2000","1","1","2","2","2","2","3","1","5","2","1","NA","NA","94.86","190","1","1",,"1",1,,,,,,"2","66","1","1","2","1","1","4","3","4","4","4","3","NA","3","NA"
"2012","EE",1192,"1","2012","55",5288,5277,0,0,,,,,,,,,0,0,0,0,0,,0,,0,11,0,,0,,"NA","3","NA","2","1","1","1","1","1","3","1","1","860","2","NA","2","2","2","1","1","2","1","2","1","NA","NA","130","NA","1","1",,"1",1,,,,,,"2","95","1","1","1","1","2","3","3","2","4","3","3","NA","3","NA"
"2012","EE",1227,"2","2012","42",8423,7045,0,0,,,,,,,,,0,0,0,0,0,,0,,0,55,0,,1324,,"NA","3","NA","1","1","1","1","1","1","1","1","3","1400","2","2","2","2","2","2","2","1","4","2","1","NA","NA","273","200","1","1",,"1",1,,,,,,"2","70","1","1","1","2","2","3","3","3","4","3","3","NA","3","NA"
"2012","EE",1250,"2","2012","15",15058,13359,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1699,0,,0,,"3","3","3","2","1","2","1","1","1","1","1","2","500","2","2","2","2","2","1","4","1","4","1","1","NA","NA","401","NA","1","1",,"1",1,,,,,,"2","48","1","1","2","1","1","3","3","3","2","4","1","NA","3","NA"
"2012","EE",1252,"1","2012","17",3564,3551,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,13,,"3","2","3","2","1","2","1","1","1","1","1","2","1000","2","2","1","2","1","2","4","1","4","2","1","NA","NA","254","NA","3","1",,"1",1,,,,,,"2","34","1","1","1","1","1","3","3","3","3","NA","3","NA","3","NA"
"2012","EE",1257,"1","2012","19",3256,2722,0,0,,,,,,,,,0,0,0,0,0,,0,,0,534,0,,0,,"3","3","NA","2","2","1","1","1","2","1","2","2","800","3","1","2","2","2","2","4","1","6","2","1","205.83","NA","142","NA","1","1",,"1",1,,,,,,"2","61","1","NA","1","2","2","2","3","3","3","3","3","NA","3","NA"
"2012","EE",1270,"2","2012","17",3056,3048,0,0,,,,,,,,,0,0,0,0,0,,3,,0,0,0,,9,,"3","3","NA","2","1","1","1","1","1","1","2","5","500","1","NA","2","2","2","2","1","1","6","2","1","NA","NA","95.2","NA","1","1",,"1",1,,,,,,"1","80","1","1","1","1","1","2","3","1","3","3","1","NA","3","NA"
"2012","EE",1304,"1","2012","11",3885,3884,0,0,,,,,,,,,0,0,0,0,526,,1,,0,0,0,,2,,"NA","3","3","2","1","1","1","1","2","1","3","3","NA","2","NA","2","2","1","2","4","1","6","2","1","NA","NA","220","NA","1","1",,"1",1,,,,,,"1","30","1","1","2","1","1","3","3","3","NA","4","3","NA","3","NA"
"2012","EE",1336,"2","2012","16",4800,2962,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1838,,"3","3","NA","2","2","1","1","1","2","1","1","2","1200","2","2","2","2","2","2","3","1","4","2","2","NA","NA","71.71","NA","1","1",,"1",1,,,,,,"2","32","1","NA","1","1","1","3","3","1","2","NA","4","NA","3","NA"
"2012","EE",1338,"1","2012","19",3805,3795,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9,,"NA","1","NA","2","1","2","1","1","1","1","1","2","2000","2","NA","2","2","2","2","1","1","2","2","1","NA","NA","38","NA","1","1",,"1",1,,,,,,"2","41","2","1","1","2","1","1","1","3","4","NA","3","NA","3","NA"
"2012","EE",1356,"2","2012","24",3154,3143,0,0,,,,,,,,,0,0,0,0,0,,1,,0,0,0,,10,,"3","2","NA","2","1","1","1","3","3","1","1","3","600","2","2","2","2","2","2","3","2","6","2","1","NA","NA","67.2","26","1","1",,"1",1,,,,,,"2","41","1","1","1","1","1","3","4","3","2","4","1","NA","3","NA"
"2012","EE",1376,"1","2012","29",3539,3536,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4,,"3","3","3","2","1","1","1","1","1","1","1","3","700","1","NA","2","2","2","1","4","1","3","2","1","NA","NA","95.5","131","1","1",,"1",1,,,,,,"2","35","1","1","1","2","2","4","3","3","3","4","3","NA","3","NA"
"2012","EE",1386,"2","2012","11",16356,15507,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,849,,"3","1","3","1","1","1","1","1","1","1","1","3","2000","3","NA","2","2","2","1","3","2","5","2","1","NA","NA","233.5","240","1","1",,"1",1,,,,,,"1","33","1","1","1","1","2","3","3","3","4","NA","4","NA","3","NA"
