an_sondaj,tara,id_gospodarie,venit_total,venit_munca,numar_membri,marime_echivalenta,numar_camere,grad_urbanizare
2013,EE,524,3680,3642.0,5.0,1.0,1,1.0
2013,EE,538,4103,4108.0,4.0,1.0,1,1.0
2013,EE,546,9767,12978.0,2.0,1.0,1,4.0
2013,EE,577,3286,-202.0,4.0,1.0,2,4.0
2013,EE,605,7217,6857.0,2.0,1.0,1,1.0
2013,EE,612,3476,3462.0,2.0,1.0,2,1.0
2013,EE,630,6894,4417.0,4.0,1.0,2,1.0
2013,EE,671,3937,3926.0,6.0,1.0,1,3.0
2013,EE,677,8078,7962.0,4.0,1.0,1,4.0
2013,EE,683,10935,9633.0,2.0,1.0,2,4.0
2013,EE,685,3937,3554.0,5.0,1.0,1,4.0
2013,EE,711,3855,3846.0,6.0,1.0,1,1.0
2013,EE,715,0,-45.0,3.0,1.0,1,1.0
2013,EE,717,9451,7931.0,4.0,1.0,1,2.0
2013,EE,719,5963,5842.0,4.0,1.0,2,4.0
2013,EE,723,6593,6587.0,5.0,1.0,1,4.0
2013,EE,731,6359,6311.0,3.0,1.0,2,1.0
2013,EE,735,4072,4071.0,3.0,1.0,1,3.0
2013,EE,745,3401,3386.0,3.0,1.0,1,4.0
2013,EE,778,3943,2839.0,3.0,1.0,1,4.0
2013,EE,828,2795,2785.0,2.0,1.0,1,4.0
2013,EE,862,8452,6772.0,6.0,1.0,1,4.0
2013,EE,868,3871,3864.0,6.0,1.0,2,4.0
2013,EE,871,5185,5179.0,2.0,1.0,1,4.0
2013,EE,887,3682,3673.0,2.0,1.0,1,4.0
2013,EE,896,12001,13288.0,4.0,1.0,1,3.0
2013,EE,954,5063,4652.0,6.0,1.0,1,2.0
2013,EE,957,10716,9205.0,3.0,1.0,1,4.0
2013,EE,962,3765,2153.0,3.0,1.0,1,4.0
2013,EE,966,5654,4562.0,6.0,1.0,1,2.0
2013,EE,983,2206,2158.0,2.0,1.0,2,4.0
2013,EE,1013,9134,7959.0,2.0,1.0,2,4.0
2013,EE,1016,3520,3496.0,3.0,1.0,2,4.0
2013,EE,1065,1902,1880.0,3.0,1.0,1,1.0
2013,EE,1071,4449,2668.0,5.0,1.0,2,4.0
2013,EE,1079,7105,4333.0,6.0,1.0,1,4.0
2013,EE,1092,4679,4312.0,3.0,1.0,1,4.0
2013,EE,1131,3808,3739.0,2.0,1.0,1,2.0
2013,EE,1141,3363,3356.0,6.0,1.0,1,1.0
2013,EE,1174,4734,4712.0,2.0,1.0,2,4.0
2013,EE,1178,13220,12079.0,2.0,1.0,1,4.0
2013,EE,1212,5985,5979.0,3.0,1.0,1,4.0
2013,EE,1235,3728,3715.0,4.0,1.0,1,4.0
2013,EE,1237,5366,5460.0,2.0,1.0,1,1.0
2013,EE,1242,5805,5584.0,2.0,1.0,2,4.0
2013,EE,1255,2582,2573.0,5.0,1.0,1,4.0
2013,EE,1289,5253,1765.0,3.0,1.0,1,1.0
2013,EE,1321,3644,3640.0,6.0,1.0,2,1.0
2013,EE,1322,14054,13618.0,6.0,1.0,1,4.0
2013,EE,1340,4026,4011.0,1.0,1.0,2,1.0
2013,EE,1360,3898,3935.0,6.0,1.0,2,1.0
2013,EE,1370,7399,5847.0,3.0,1.0,1,4.0
2013,EE,1373,4053,4050.0,3.0,1.0,1,1.0
2013,EE,1379,3666,3619.0,5.0,1.0,1,1.0
2013,EE,1407,3538,3535.0,2.0,1.0,1,2.0
2013,EE,1417,0,5015.0,3.0,1.0,2,1.0
2013,EE,1419,8801,7669.0,5.0,1.0,1,4.0
2013,EE,1440,0,-1295.0,5.0,1.0,2,2.0
2013,EE,1447,3767,3670.0,6.0,1.0,2,1.0
2013,EE,1480,6661,6650.0,4.0,1.0,1,1.0
2013,EE,1494,4092,3870.0,5.0,1.0,2,4.0
2013,EE,1516,5478,5447.0,2.0,1.0,1,4.0
2013,EE,1557,4099,4073.0,3.0,1.0,1,1.0
2013,EE,1560,8943,7935.0,4.0,1.0,1,4.0
2013,EE,1595,2802,2172.0,4.0,1.0,2,4.0
2013,EE,1623,1192,-3096.0,4.0,1.0,1,1.0
2013,EE,1681,9326,6605.0,4.0,1.0,2,2.0
2013,EE,1683,6206,6085.0,3.0,1.0,1,4.0
2013,EE,1685,9137,5936.0,2.0,1.0,1,4.0
2013,EE,1709,2556,2554.0,3.0,1.0,1,4.0
2013,EE,1712,6153,6137.0,4.0,1.0,1,4.0
2013,EE,1724,9579,8579.0,2.0,1.0,1,4.0
2013,EE,1728,6269,6211.0,3.0,1.0,2,3.0
2013,EE,1736,3235,3222.0,4.0,1.0,2,1.0
2013,EE,1738,13738,10544.0,4.0,1.0,1,4.0
2013,EE,1744,2054,2038.0,4.0,1.0,2,3.0
2013,EE,1788,0,-293.0,2.0,1.0,1,4.0
2013,EE,1809,24,-484.0,3.0,1.0,1,2.0
2013,EE,1812,8481,7836.0,5.0,1.0,1,4.0
2013,EE,1817,5377,3181.0,2.0,1.0,2,3.0
2013,EE,1843,3444,3428.0,3.0,1.0,1,3.0
2013,EE,1919,13820,9252.0,6.0,1.0,1,4.0
2013,EE,1940,3787,3775.0,6.0,1.0,2,1.0
2013,EE,1945,7670,4007.0,5.0,1.0,1,2.0
2013,EE,1953,-16243,-17448.0,2.0,1.0,1,4.0
2013,EE,2014,13662,11388.0,5.0,1.0,2,4.0
2013,EE,2023,8816,5362.0,2.0,1.0,1,4.0
2013,EE,2040,3996,3989.0,2.0,1.0,1,1.0
2013,EE,2041,188,-1549.0,3.0,1.0,1,4.0
2013,EE,2057,14834,10632.0,4.0,1.0,2,4.0
2013,EE,2099,5687,669.0,3.0,1.0,2,4.0
2013,EE,2111,3814,3383.0,2.0,1.0,2,4.0
2013,EE,2127,3621,3614.0,2.0,1.0,2,4.0
2013,EE,2140,3432,2224.0,4.0,1.0,2,4.0
2013,EE,2182,12829,9354.0,2.0,1.0,2,1.0
2013,EE,2212,0,-44.0,5.0,1.0,1,4.0
2013,EE,2224,4453,4445.0,3.0,1.0,2,3.0
2013,EE,2241,4979,1192.0,2.0,1.0,2,1.0
2013,EE,2253,5371,4671.0,1.0,1.0,1,3.0
2013,EE,2341,2263,2238.0,2.0,1.0,1,4.0
2013,EE,2345,3420,3374.0,2.0,1.0,1,4.0
2013,EE,2347,4982,4325.0,6.0,1.0,1,1.0
2013,EE,2407,3380,3371.0,4.0,1.0,1,1.0
2013,EE,2417,7033,8973.0,5.0,1.0,1,4.0
2013,EE,2418,3791,3791.0,4.0,1.0,1,3.0
2013,EE,2447,4892,2119.0,4.0,1.0,1,1.0
2013,EE,2523,30244,28906.0,6.0,1.0,1,1.0
2013,EE,2525,5659,-1038.0,4.0,1.0,1,3.0
2013,EE,2531,0,-1772.0,3.0,1.0,1,4.0
2013,EE,2542,0,-31.0,3.0,1.0,1,4.0
2013,EE,2548,23787,22868.0,5.0,1.0,1,4.0
2013,EE,2554,2806,2804.0,6.0,1.0,2,1.0
2013,EE,2561,5827,1667.0,3.0,1.0,1,4.0
2013,EE,2562,3386,1676.0,3.0,1.0,1,4.0
2013,EE,2569,6564,4751.0,2.0,1.0,1,4.0
2013,EE,2577,4789,4785.0,2.0,1.0,2,4.0
2013,EE,2582,3587,3577.0,3.0,1.0,1,4.0
2013,EE,2587,5847,2029.0,4.0,1.0,1,4.0
2013,EE,2592,8708,4217.0,5.0,1.0,1,4.0
2013,EE,2623,31344,25651.0,4.0,1.0,2,1.0
2013,EE,2647,2829,2807.0,4.0,1.0,1,4.0
2013,EE,2679,3685,3495.0,3.0,1.0,1,4.0
2013,EE,2684,3698,3693.0,4.0,1.0,1,4.0
2013,EE,2685,10119,5350.0,4.0,1.0,1,1.0
2013,EE,2687,2327,540.0,2.0,1.0,2,1.0
2013,EE,2696,3903,3891.0,3.0,1.0,1,1.0
2013,EE,2716,4018,4010.0,6.0,1.0,1,4.0
2013,EE,2739,3557,3556.0,2.0,1.0,1,4.0
2013,EE,2751,9898,8050.0,4.0,1.0,1,1.0
2013,EE,2752,14530,16540.0,3.0,1.0,2,1.0
2013,EE,2783,3876,3848.0,4.0,1.0,1,4.0
2013,EE,2804,6257,5338.0,4.0,1.0,1,1.0
2013,EE,2811,3193,3181.0,6.0,1.0,2,4.0
2013,EE,2821,4653,4642.0,2.0,1.0,1,4.0
2013,EE,2865,3340,3332.0,5.0,1.0,2,2.0
2013,EE,2925,0,-3421.0,4.0,1.0,1,4.0
2013,EE,2935,3372,-111.0,4.0,1.0,2,4.0
2013,EE,2993,0,-445.0,4.0,1.0,2,1.0
2013,EE,3038,6172,6164.0,4.0,1.0,1,1.0
2013,EE,3055,4486,4480.0,3.0,1.0,2,4.0
2013,EE,3069,753,659.0,2.0,1.0,2,4.0
2013,EE,3094,3302,3326.0,2.0,1.0,1,4.0
2013,EE,3132,8039,3723.0,6.0,1.0,1,1.0
2013,EE,3133,12984,6037.0,2.0,1.0,2,1.0
2013,EE,3144,2661,2646.0,3.0,1.0,1,4.0
2013,EE,3211,3969,3978.0,2.0,1.0,1,3.0
2013,EE,3241,2169,2080.0,5.0,1.0,1,1.0
2013,EE,3254,3528,2695.0,4.0,1.0,1,1.0
2013,EE,3255,5704,5689.0,6.0,1.0,1,4.0
2013,EE,3268,3983,3974.0,2.0,1.0,2,2.0
2013,EE,3341,13373,11135.0,2.0,1.0,1,4.0
2013,EE,3397,7390,5349.0,4.0,1.0,1,4.0
2013,EE,3412,4104,4114.0,2.0,1.0,2,1.0
2013,EE,3430,4497,3276.0,4.0,1.0,2,3.0
2013,EE,3471,5562,5182.0,3.0,1.0,2,4.0
2013,EE,3476,9989,9029.0,5.0,1.0,1,4.0
2013,EE,3486,5460,4902.0,6.0,1.0,1,1.0
2013,EE,3503,9739,9341.0,4.0,1.0,2,4.0
2013,EE,3543,3530,3516.0,3.0,1.0,2,3.0
2013,EE,3552,8487,8498.0,4.0,1.0,1,4.0
2013,EE,3556,14726,8431.0,2.0,1.0,1,3.0
2013,EE,3577,7635,4423.0,6.0,1.0,1,2.0
2013,EE,3603,4133,3746.0,3.0,1.0,2,4.0
2013,EE,3626,10243,10235.0,4.0,1.0,1,4.0
2013,EE,3661,1208,1123.0,2.0,1.0,2,1.0
2013,EE,3737,3572,3565.0,2.0,1.0,2,3.0
2013,EE,3738,7096,6579.0,4.0,1.0,1,1.0
2013,EE,3780,3332,3328.0,3.0,1.0,2,1.0
2013,EE,3793,11536,10094.0,3.0,1.0,2,4.0
2013,EE,3808,10282,10278.0,2.0,1.0,1,4.0
2013,EE,3811,8173,6673.0,3.0,1.0,1,4.0
2013,EE,3842,3189,3154.0,2.0,1.0,1,4.0
2013,EE,3867,2122,-3045.0,4.0,1.0,2,4.0
2013,EE,3902,6342,6327.0,3.0,1.0,1,1.0
2013,EE,3917,6563,4750.0,2.0,1.0,2,4.0
2013,EE,3940,2189,525.0,4.0,1.0,2,1.0
2013,EE,3972,3991,3442.0,3.0,1.0,2,4.0
2013,EE,3995,2913,2906.0,5.0,1.0,1,1.0
2013,EE,3997,9345,8217.0,5.0,1.0,1,3.0
2013,EE,4051,5298,3598.0,2.0,1.0,1,1.0
2013,EE,4053,3819,3806.0,5.0,1.0,1,1.0
2013,EE,4058,5142,7936.0,4.0,1.0,2,4.0
2013,EE,4080,31089,27563.0,3.0,1.0,1,4.0
2013,EE,4105,459,455.0,2.0,1.0,2,4.0
2013,EE,4139,3980,3967.0,4.0,1.0,2,4.0
2013,EE,4147,25424,23764.0,2.0,1.0,1,1.0
2013,EE,4158,5958,4263.0,2.0,1.0,1,4.0
2013,EE,4168,11604,6113.0,2.0,1.0,1,4.0
2013,EE,4169,7639,2642.0,4.0,1.0,1,4.0
2013,EE,4196,0,-3.0,4.0,1.0,2,4.0
2013,EE,4207,0,-9.0,4.0,1.0,2,4.0
2013,EE,4220,3695,3648.0,4.0,1.0,1,1.0
2013,EE,4273,5436,2924.0,5.0,1.0,1,4.0
2013,EE,4290,8414,4267.0,2.0,1.0,1,4.0
2013,EE,4312,6267,5935.0,2.0,1.0,2,1.0
2013,EE,4324,0,0.0,2.0,1.0,1,1.0
2013,EE,4334,3688,3350.0,3.0,1.0,1,4.0
2013,EE,4370,9873,9871.0,5.0,1.0,1,1.0
2013,EE,4417,30210,25533.0,4.0,1.0,1,4.0
2013,EE,4435,189,-1113.0,3.0,1.0,1,4.0
2013,EE,4441,1596,1563.0,2.0,1.0,2,4.0
2013,EE,4498,6406,6272.0,4.0,1.0,2,3.0
2013,EE,4545,2125,345.0,3.0,1.0,2,4.0
2013,EE,4591,4522,4508.0,2.0,1.0,2,4.0
2013,EE,4614,3650,3641.0,5.0,1.0,1,4.0
2013,EE,4632,3408,3404.0,3.0,1.0,1,4.0
2013,EE,4651,4085,3530.0,5.0,1.0,1,4.0
2013,EE,4654,10730,10705.0,2.0,1.0,1,4.0
2013,EE,4670,4401,3475.0,3.0,1.0,1,1.0
2013,EE,4676,3660,3668.0,5.0,1.0,1,3.0
2013,EE,4700,3254,2645.0,2.0,1.0,1,4.0
2013,EE,4726,2282,2251.0,3.0,1.0,2,4.0
2013,EE,4755,2304,2300.0,5.0,1.0,1,3.0
2013,EE,4779,9136,5334.0,3.0,1.0,1,4.0
2013,EE,4791,2614,358.0,5.0,1.0,1,4.0
2013,EE,4797,1114,1104.0,3.0,1.0,2,4.0
2013,EE,4823,3656,3649.0,5.0,1.0,1,4.0
2013,EE,4848,9583,8145.0,6.0,1.0,1,4.0
2013,EE,4853,4676,4456.0,4.0,1.0,1,4.0
2013,EE,4857,2130,2097.0,2.0,1.0,1,1.0
2013,EE,4890,409,4531.0,6.0,1.0,1,4.0
2013,EE,4907,3454,2996.0,5.0,1.0,1,4.0
2013,EE,4922,3471,3464.0,2.0,1.0,1,1.0
2013,EE,4933,4123,4122.0,3.0,1.0,1,1.0
2013,EE,4956,153,137.0,2.0,1.0,2,1.0
2013,EE,4968,3634,3625.0,3.0,1.0,2,2.0
2013,EE,5057,3853,3849.0,3.0,1.0,1,4.0
2013,EE,5086,3284,3271.0,5.0,1.0,1,1.0
2013,EE,5103,7702,5893.0,6.0,1.0,1,4.0
2013,EE,5113,3347,1379.0,2.0,1.0,1,4.0
2013,EE,5129,14528,11649.0,3.0,1.0,1,4.0
2013,EE,5149,7048,2070.0,3.0,1.0,2,2.0
2013,EE,5159,6274,6253.0,3.0,1.0,1,4.0
2013,EE,5164,3630,3617.0,3.0,1.0,2,4.0
2013,EE,5178,3508,3526.0,4.0,1.0,2,2.0
2013,EE,5180,13483,12032.0,2.0,1.0,1,4.0
2013,EE,5209,3617,3603.0,2.0,1.0,1,1.0
2013,EE,5212,8735,8154.0,3.0,1.0,1,4.0
2013,EE,5237,3858,3847.0,3.0,1.0,1,1.0
2013,EE,5242,3758,3745.0,3.0,1.0,1,4.0
2013,EE,5322,4080,4074.0,4.0,1.0,1,1.0
2013,EE,5339,2448,2436.0,2.0,1.0,1,1.0
2013,EE,5352,3303,3301.0,6.0,1.0,1,3.0
2013,EE,5354,16084,14572.0,2.0,1.0,1,4.0
2013,EE,5371,3804,3794.0,6.0,1.0,1,4.0
2013,EE,5376,4988,2867.0,3.0,1.0,1,1.0
2013,EE,5480,1946,-2251.0,4.0,1.0,2,4.0
2013,EE,5492,5548,4517.0,4.0,1.0,1,4.0
2013,EE,5512,3568,685.0,3.0,1.0,1,4.0
2013,EE,5523,3960,3950.0,1.0,1.0,1,4.0
2013,EE,5535,14276,12691.0,4.0,1.0,1,1.0
2013,EE,5539,6092,2192.0,3.0,1.0,1,2.0
2013,EE,5548,13241,13227.0,3.0,1.0,1,1.0
2013,EE,5558,49067,44457.0,3.0,1.0,2,4.0
2013,EE,5606,17436,16032.0,4.0,1.0,1,4.0
2013,EE,5667,5799,3227.0,2.0,1.0,1,1.0
2013,EE,5720,1982,1955.0,4.0,1.0,1,1.0
2013,EE,5727,17735,9766.0,6.0,1.0,1,4.0
2013,EE,5729,3912,3672.0,4.0,1.0,1,4.0
2013,EE,5741,4024,4017.0,3.0,1.0,1,4.0
2013,EE,5761,6035,5964.0,2.0,1.0,1,4.0
2013,EE,5797,3305,3172.0,3.0,1.0,1,1.0
2013,EE,5820,10648,10082.0,2.0,1.0,1,3.0
2013,EE,5824,3596,3587.0,3.0,1.0,1,4.0
2013,EE,5832,6205,6192.0,3.0,1.0,1,1.0
2013,EE,5838,14893,10347.0,3.0,1.0,1,1.0
2013,EE,5861,606,-1896.0,3.0,1.0,1,1.0
2013,EE,5913,9783,9780.0,5.0,1.0,2,4.0
2013,EE,5925,3928,3928.0,4.0,1.0,1,4.0
2013,EE,5926,6806,5351.0,4.0,1.0,2,1.0
2013,EE,5927,3277,3268.0,3.0,1.0,1,4.0
2013,EE,5996,17970,17919.0,2.0,1.0,1,4.0
2013,EE,6003,15566,8147.0,3.0,1.0,1,4.0
2013,EE,6015,3375,3367.0,5.0,1.0,1,1.0
2013,EE,6082,11905,10906.0,5.0,1.0,1,2.0
2013,EE,6085,4392,3608.0,4.0,1.0,1,4.0
2013,EE,6092,3537,3690.0,3.0,1.0,2,4.0
2013,EE,6094,3792,3757.0,4.0,1.0,2,4.0
2013,EE,6114,0,-3.0,6.0,1.0,2,1.0
2013,EE,6145,1838,821.0,4.0,1.0,2,4.0
2013,EE,6157,14763,13348.0,3.0,1.0,1,4.0
2013,EE,6165,13702,9448.0,6.0,1.0,2,4.0
2013,EE,6181,27433,26651.0,3.0,1.0,2,4.0
2013,EE,6217,2276,-250.0,4.0,1.0,1,1.0
2013,EE,6263,12310,6673.0,6.0,1.0,2,1.0
2013,EE,6304,6325,3874.0,3.0,1.0,1,4.0
2013,EE,6321,10429,8688.0,4.0,1.0,2,4.0
2013,EE,6348,3772,3759.0,2.0,1.0,1,3.0
2013,EE,6366,5926,5918.0,4.0,1.0,1,1.0
2013,EE,6370,24221,22857.0,3.0,1.0,1,4.0
2013,EE,6453,4094,4090.0,2.0,1.0,1,1.0
2013,EE,6478,3685,3680.0,4.0,1.0,2,4.0
2013,EE,6511,0,-537.0,4.0,1.0,1,1.0
2013,EE,6523,3375,1532.0,3.0,1.0,1,1.0
2013,EE,6527,364,351.0,3.0,1.0,2,4.0
2013,EE,6536,5786,1077.0,3.0,1.0,1,4.0
2013,EE,6603,6272,4789.0,2.0,1.0,2,4.0
2013,EE,6638,11791,10490.0,5.0,1.0,1,1.0
2013,EE,6639,4809,4002.0,4.0,1.0,1,1.0
2013,EE,6641,8691,5674.0,5.0,1.0,1,1.0
2013,EE,6655,27338,21245.0,3.0,1.0,1,4.0
2013,EE,6673,8197,6288.0,4.0,1.0,1,1.0
2013,EE,6681,9814,8831.0,5.0,1.0,1,1.0
2013,EE,6698,3662,3646.0,6.0,1.0,2,4.0
2013,EE,6710,0,-64.0,3.0,1.0,1,4.0
2013,EE,6721,3423,3423.0,2.0,1.0,2,3.0
2013,EE,6722,0,-15.0,2.0,1.0,1,1.0
2013,EE,6740,10385,8516.0,4.0,1.0,1,2.0
2013,EE,6751,4709,3661.0,2.0,1.0,2,1.0
2013,EE,6757,15787,9275.0,5.0,1.0,1,4.0
2013,EE,6808,266,2123.0,4.0,1.0,1,4.0
2013,EE,6814,3921,3906.0,2.0,1.0,2,2.0
2013,EE,6853,3320,2770.0,3.0,1.0,2,3.0
2013,EE,6918,0,-131.0,2.0,1.0,2,4.0
2013,EE,6944,31080,29266.0,4.0,1.0,1,1.0
2013,EE,6982,6491,5329.0,2.0,1.0,1,4.0
2013,EE,7008,3684,3680.0,4.0,1.0,1,1.0
2013,EE,7025,14240,12146.0,4.0,1.0,1,3.0
2013,EE,7028,6883,5369.0,2.0,1.0,2,3.0
2013,EE,7038,7097,6512.0,3.0,1.0,1,1.0
2013,EE,7043,2734,2732.0,3.0,1.0,1,4.0
2013,EE,7051,6929,6148.0,6.0,1.0,1,4.0
2013,EE,7084,3755,3426.0,4.0,1.0,1,1.0
2013,EE,7101,9202,2487.0,4.0,1.0,1,4.0
2013,EE,7106,5713,5510.0,4.0,1.0,2,1.0
2013,EE,7131,9106,7456.0,4.0,1.0,1,2.0
2013,EE,7136,4077,4086.0,4.0,1.0,1,1.0
2013,EE,7145,3704,3694.0,4.0,1.0,2,4.0
2013,EE,7191,15027,8641.0,3.0,1.0,2,3.0
2013,EE,7229,3886,3128.0,2.0,1.0,1,4.0
2013,EE,7259,6207,6202.0,3.0,1.0,1,4.0
2013,EE,7313,11281,11262.0,3.0,1.0,1,4.0
2013,EE,7314,6248,4961.0,3.0,1.0,1,4.0
2013,EE,7324,7763,3459.0,3.0,1.0,1,2.0
2013,EE,7334,8047,8033.0,5.0,1.0,1,4.0
2013,EE,7338,3826,3816.0,5.0,1.0,1,3.0
2013,EE,7361,0,0.0,6.0,1.0,2,4.0
2013,EE,7365,18632,14909.0,6.0,1.0,1,1.0
2013,EE,7384,5740,5713.0,2.0,1.0,2,3.0
2013,EE,7401,4027,3991.0,4.0,1.0,2,4.0
2013,EE,7433,8404,5911.0,3.0,1.0,1,2.0
2013,EE,7551,9497,9495.0,2.0,1.0,2,1.0
2013,EE,7552,3300,3242.0,6.0,1.0,1,4.0
2013,EE,7555,31001,32151.0,5.0,1.0,2,2.0
2013,EE,7566,3602,3601.0,5.0,1.0,2,1.0
2013,EE,7577,5988,5982.0,4.0,1.0,2,4.0
2013,EE,7582,0,-7.0,3.0,1.0,1,4.0
2013,EE,7583,5288,3585.0,3.0,1.0,1,4.0
2013,EE,7605,3906,3910.0,5.0,1.0,2,4.0
2013,EE,7614,5117,5089.0,6.0,1.0,2,1.0
2013,EE,7622,3447,1860.0,4.0,1.0,1,4.0
2013,EE,7643,5665,4493.0,4.0,1.0,2,2.0
2013,EE,7667,2579,2567.0,5.0,1.0,2,4.0
2013,EE,7709,15478,12623.0,3.0,1.0,1,4.0
2013,EE,7714,5858,5844.0,3.0,1.0,1,4.0
2013,EE,7722,2486,2896.0,3.0,1.0,1,4.0
2013,EE,7727,3664,3655.0,4.0,1.0,1,4.0
2013,EE,7749,22078,19924.0,5.0,1.0,2,1.0
2013,EE,7753,6607,4139.0,3.0,1.0,1,4.0
2013,EE,7759,4008,4008.0,3.0,1.0,2,4.0
2013,EE,7791,1995,307.0,4.0,1.0,1,4.0
2013,EE,7809,5782,5779.0,3.0,1.0,2,1.0
2013,EE,7841,3678,3664.0,2.0,1.0,1,4.0
2013,EE,7889,5129,5157.0,3.0,1.0,1,4.0
2013,EE,7925,1254,1240.0,6.0,1.0,2,4.0
2013,EE,7955,3966,3953.0,2.0,1.0,1,1.0
2013,EE,7962,12382,11875.0,4.0,1.0,1,4.0
2013,EE,7986,4486,2049.0,4.0,1.0,1,4.0
2013,EE,7993,3744,3713.0,3.0,1.0,2,1.0
2013,EE,8008,4802,3918.0,3.0,1.0,1,1.0
2013,EE,8013,5258,5225.0,5.0,1.0,1,4.0
2013,EE,8018,13481,12062.0,4.0,1.0,1,1.0
2013,EE,8065,1261,1257.0,3.0,1.0,2,4.0
2013,EE,8085,2867,2793.0,5.0,1.0,2,4.0
2013,EE,8091,90,737.0,3.0,1.0,2,4.0
2013,EE,8097,5183,5090.0,5.0,1.0,1,4.0
2013,EE,8098,1503,-1942.0,5.0,1.0,1,2.0
2013,EE,8099,5161,5149.0,2.0,1.0,1,1.0
2013,EE,8106,3709,3696.0,2.0,1.0,2,4.0
2013,EE,8118,3352,3348.0,4.0,1.0,2,1.0
2013,EE,8145,0,-161.0,4.0,1.0,2,4.0
2013,EE,8149,3715,3856.0,3.0,1.0,2,4.0
2013,EE,8189,32026,29373.0,6.0,1.0,1,4.0
2013,EE,8251,2902,2888.0,3.0,1.0,1,3.0
2013,EE,8254,13461,8727.0,4.0,1.0,1,4.0
2013,EE,8256,9349,7104.0,2.0,1.0,1,3.0
2013,EE,8258,1492,1459.0,4.0,1.0,1,4.0
2013,EE,8267,4259,4225.0,2.0,1.0,1,1.0
2013,EE,8278,5687,3762.0,3.0,1.0,1,3.0
2013,EE,8301,1563,1558.0,5.0,1.0,1,1.0
2013,EE,8314,3403,3400.0,3.0,1.0,1,4.0
2013,EE,8357,8075,6512.0,5.0,1.0,1,1.0
2013,EE,8377,3580,3571.0,3.0,1.0,1,1.0
2013,EE,8382,3343,1960.0,3.0,1.0,1,4.0
2013,EE,8390,3601,3565.0,4.0,1.0,2,1.0
2013,EE,8458,4016,4023.0,6.0,1.0,2,4.0
2013,EE,8468,25560,20819.0,4.0,1.0,1,4.0
2013,EE,8484,247,240.0,2.0,1.0,1,3.0
2013,EE,8530,1426,1412.0,4.0,1.0,1,4.0
2013,EE,8539,3615,3605.0,4.0,1.0,2,1.0
2013,EE,8565,3494,3473.0,4.0,1.0,1,4.0
2013,EE,8571,3406,3545.0,5.0,1.0,1,4.0
2013,EE,8573,3831,3824.0,4.0,1.0,2,4.0
2013,EE,8624,3409,1381.0,3.0,1.0,2,4.0
2013,EE,8631,18045,12971.0,5.0,1.0,1,3.0
2013,EE,8637,33761,27101.0,5.0,1.0,1,4.0
2013,EE,8641,3667,3173.0,1.0,1.0,2,2.0
2013,EE,8659,0,-10.0,2.0,1.0,2,4.0
2013,EE,8663,3745,3739.0,3.0,1.0,1,4.0
2013,EE,8688,3745,3729.0,3.0,1.0,1,4.0
2013,EE,8781,4097,3917.0,2.0,1.0,2,4.0
2013,EE,8806,4013,3939.0,6.0,1.0,1,1.0
2013,EE,8809,3446,3439.0,4.0,1.0,2,4.0
2013,EE,8829,6876,4809.0,2.0,1.0,1,1.0
2013,EE,8838,5145,344.0,6.0,1.0,1,4.0
2013,EE,8856,2550,-1503.0,3.0,1.0,1,2.0
2013,EE,8886,8607,6671.0,4.0,1.0,2,1.0
2013,EE,8910,2300,1831.0,4.0,1.0,1,4.0
2013,EE,8995,4980,2203.0,4.0,1.0,1,2.0
