"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RX030","rl010","rl010_f","rl020","rl020_f","rl030","rl030_f","rl040","rl040_f","rl050","rl050_f","rl060","rl060_f","rl070","rl070_f","RX020","RX010"
"2004","EE",6911,139.830954169797,"4",1982,"2","1","3","1","NA","NA",691,,,,,,,,,,,,,,,21,21
"2004","EE",6951,139.830954169797,"4",1965,"1","1","2","1","11","1",695,,,,,,,,,,,,,,,38,38
"2004","EE",7051,139.830954169797,"3",1932,"1","1","3","1","11","1",705,,,,,,,,,,,,,,,71,71
"2004","EE",7351,139.830954169797,"2",1928,"2","1","1","4","NA","1",735,,,,,,,,,,,,,,,75,75
"2004","EE",7831,139.830954169797,"4",1923,"2","1","4","1","11","1",783,,,,,,,,,,,,,,,80,80
"2004","EE",8161,139.830954169797,"1",1968,"2","1","4","1","31","1",816,,,,,,,,,,,,,,,35,36
"2004","EE",8231,139.830954169797,"4",1923,"2","1","1","1","11","1",823,,,,,,,,,,,,,,,80,80
"2004","EE",8391,139.830954169797,"1",1935,"2","1","4","1","11","1",839,,,,,,,,,,,,,,,68,69
"2004","EE",8461,139.830954169797,"4",1937,"2","1","3","4","11","1",846,,,,,,,,,,,,,,,66,66
"2004","EE",9021,139.830954169797,"4",1923,"1","1","1","1","11","1",902,,,,,,,,,,,,,,,80,80
"2004","EE",9581,139.830954169797,"1",1937,"1","2","1","1","11","1",958,,,,,,,,,,,,,,,66,66
"2004","EE",10111,139.830954169797,"4",1931,"1","1","1","1","11","1",1011,,,,,,,,,,,,,,,72,73
"2004","EE",10191,139.830954169797,"4",1946,"1","1","4","1","11","NA",1019,,,,,,,,,,,,,,,57,57
"2004","EE",10321,139.830954169797,"3",1928,"2","1","1","1","11","NA",1032,,,,,,,,,,,,,,,75,75
"2004","EE",10681,139.830954169797,"4",1949,"1","1","4","1","NA","NA",1068,,,,,,,,,,,,,,,54,54
"2004","EE",11091,139.830954169797,"4",1974,"1","1","4","1","NA","NA",1109,,,,,,,,,,,,,,,29,30
"2004","EE",11451,139.830954169797,"1",1943,"1","1","4","1","31","1",1145,,,,,,,,,,,,,,,60,61
"2004","EE",11661,139.830954169797,"3",1923,"2","1","1","4","11","NA",1166,,,,,,,,,,,,,,,80,80
"2004","EE",11691,139.830954169797,"3",1980,"2","1","4","1","NA","1",1169,,,,,,,,,,,,,,,23,23
"2004","EE",11741,139.830954169797,"1",1926,"1","1","4","1","11","1",1174,,,,,,,,,,,,,,,77,78
"2004","EE",11851,139.830954169797,"2",1967,"2","1","1","1","11","NA",1185,,,,,,,,,,,,,,,36,36
"2004","EE",12181,139.830954169797,"4",1944,"2","1","4","1","11","1",1218,,,,,,,,,,,,,,,59,60
"2004","EE",12491,139.830954169797,"3",1970,"1","1","1","4","11","1",1249,,,,,,,,,,,,,,,33,33
"2004","EE",12501,139.830954169797,"2",1968,"1","1","4","1","11","1",1250,,,,,,,,,,,,,,,35,36
"2004","EE",12671,139.830954169797,"4",1976,"1","1","3","1","11","1",1267,,,,,,,,,,,,,,,27,27
"2004","EE",12851,139.830954169797,"1",1974,"1","1","1","1","23","1",1285,,,,,,,,,,,,,,,29,29
"2004","EE",12951,139.830954169797,"4",1980,"2","1","3","1","11","1",1295,,,,,,,,,,,,,,,23,24
"2004","EE",12961,139.830954169797,"4",1974,"1","1","2","1","NA","1",1296,,,,,,,,,,,,,,,29,30
"2004","EE",12971,139.830954169797,"2",1966,"1","1","4","1","11","1",1297,,,,,,,,,,,,,,,37,37
"2004","EE",13031,139.830954169797,"4",1966,"1","1","4","4","11","NA",1303,,,,,,,,,,,,,,,37,37
"2004","EE",13281,139.830954169797,"3",1975,"1","1","1","1","11","NA",1328,,,,,,,,,,,,,,,28,28
"2004","EE",13401,139.830954169797,"2",1923,"2","1","4","1","11","1",1340,,,,,,,,,,,,,,,80,80
"2004","EE",13411,139.830954169797,"1",1933,"2","1","3","1","11","1",1341,,,,,,,,,,,,,,,70,70
"2004","EE",13611,139.830954169797,"4",1951,"2","1","4","1","11","1",1361,,,,,,,,,,,,,,,52,52
"2004","EE",13681,139.830954169797,"3",1980,"1","1","4","4","11","1",1368,,,,,,,,,,,,,,,23,24
"2004","EE",14121,139.830954169797,"4",1936,"2","1","4","4","11","1",1412,,,,,,,,,,,,,,,67,67
"2004","EE",14701,139.830954169797,"4",1970,"2","1","1","1","11","1",1470,,,,,,,,,,,,,,,33,33
"2004","EE",14741,139.830954169797,"2",1933,"2","1","4","1","11","1",1474,,,,,,,,,,,,,,,70,71
"2004","EE",15091,139.830954169797,"4",1928,"1","1","4","1","11","1",1509,,,,,,,,,,,,,,,75,75
"2004","EE",15331,139.830954169797,"3",1938,"2","1","4","1","11","1",1533,,,,,,,,,,,,,,,65,66
"2004","EE",15891,139.830954169797,"2",1948,"1","1","3","4","23","1",1589,,,,,,,,,,,,,,,55,55
"2004","EE",15921,139.830954169797,"1",1936,"2","1","1","1","11","1",1592,,,,,,,,,,,,,,,67,68
"2004","EE",16161,139.830954169797,"4",1935,"1","1","1","1","NA","4",1616,,,,,,,,,,,,,,,68,68
"2004","EE",16321,139.830954169797,"4",1937,"1","1","1","1","11","1",1632,,,,,,,,,,,,,,,66,66
"2004","EE",16421,139.830954169797,"1",1927,"2","1","4","4","11","1",1642,,,,,,,,,,,,,,,76,76
"2004","EE",16431,139.830954169797,"1",1959,"2","1","3","1","11","1",1643,,,,,,,,,,,,,,,44,44
"2004","EE",16881,139.830954169797,"4",1942,"2","1","3","1","11","NA",1688,,,,,,,,,,,,,,,61,62
"2004","EE",17111,139.830954169797,"2",1937,"1","1","1","1","23","1",1711,,,,,,,,,,,,,,,66,66
"2004","EE",17151,139.830954169797,"2",1930,"2","1","2","4","11","NA",1715,,,,,,,,,,,,,,,73,74
"2004","EE",17421,139.830954169797,"1",1977,"2","1","4","1","11","1",1742,,,,,,,,,,,,,,,26,26
"2004","EE",18141,139.830954169797,"1",1926,"2","1","3","4","11","1",1814,,,,,,,,,,,,,,,77,77
"2004","EE",18451,139.830954169797,"3",1979,"2","1","1","1","11","1",1845,,,,,,,,,,,,,,,24,24
"2004","EE",19451,139.830954169797,"1",1937,"2","1","1","1","NA","1",1945,,,,,,,,,,,,,,,66,66
"2004","EE",19831,139.830954169797,"4",1938,"2","1","3","1","NA","NA",1983,,,,,,,,,,,,,,,65,65
"2004","EE",19931,139.830954169797,"4",1932,"2","2","4","1","NA","NA",1993,,,,,,,,,,,,,,,71,71
"2004","EE",20111,139.830954169797,"4",1925,"2","1","1","1","11","1",2011,,,,,,,,,,,,,,,78,78
"2004","EE",20221,139.830954169797,"2",1939,"2","1","1","1","11","5",2022,,,,,,,,,,,,,,,64,64
"2004","EE",20611,139.830954169797,"3",1930,"2","1","3","1","11","NA",2061,,,,,,,,,,,,,,,73,74
"2004","EE",20911,139.830954169797,"1",1980,"2","1","3","1","11","1",2091,,,,,,,,,,,,,,,23,23
"2004","EE",21011,139.830954169797,"3",1929,"2","1","4","1","11","1",2101,,,,,,,,,,,,,,,74,75
"2004","EE",21291,139.830954169797,"4",1951,"1","1","1","1","NA","1",2129,,,,,,,,,,,,,,,52,53
"2004","EE",22171,139.830954169797,"4",1933,"2","1","1","1","11","1",2217,,,,,,,,,,,,,,,70,71
"2004","EE",22831,139.830954169797,"1",1936,"2","1","4","1","11","1",2283,,,,,,,,,,,,,,,67,68
"2004","EE",22851,139.830954169797,"4",1945,"1","1","1","1","NA","1",2285,,,,,,,,,,,,,,,58,59
"2004","EE",23141,139.830954169797,"1",1930,"1","1","4","1","11","NA",2314,,,,,,,,,,,,,,,73,74
"2004","EE",24041,139.830954169797,"2",1953,"1","1","3","1","11","NA",2404,,,,,,,,,,,,,,,50,50
"2004","EE",24091,139.830954169797,"1",1933,"1","1","1","4","11","1",2409,,,,,,,,,,,,,,,70,70
"2004","EE",24211,139.830954169797,"3",1942,"2","1","1","1","11","NA",2421,,,,,,,,,,,,,,,61,61
"2004","EE",24291,139.830954169797,"4",1923,"2","1","4","1","11","1",2429,,,,,,,,,,,,,,,80,80
"2004","EE",24421,139.830954169797,"2",1975,"2","1","1","1","11","NA",2442,,,,,,,,,,,,,,,28,29
"2004","EE",24511,139.830954169797,"1",1952,"2","1","4","1","11","1",2451,,,,,,,,,,,,,,,51,52
"2004","EE",24761,139.830954169797,"4",1974,"1","1","1","4","23","1",2476,,,,,,,,,,,,,,,29,29
"2004","EE",25021,139.830954169797,"4",1924,"1","1","4","1","11","1",2502,,,,,,,,,,,,,,,79,80
"2004","EE",25311,139.830954169797,"4",1928,"2","1","4","1","11","1",2531,,,,,,,,,,,,,,,75,76
"2004","EE",25361,139.830954169797,"2",1936,"2","1","4","1","11","1",2536,,,,,,,,,,,,,,,67,67
"2004","EE",25471,139.830954169797,"3",1938,"2","1","1","4","11","1",2547,,,,,,,,,,,,,,,65,65
"2004","EE",25681,139.830954169797,"1",1927,"1","1","4","1","11","1",2568,,,,,,,,,,,,,,,76,77
"2004","EE",25871,139.830954169797,"2",1950,"2","1","4","1","11","1",2587,,,,,,,,,,,,,,,53,54
"2004","EE",25971,139.830954169797,"2",1930,"2","1","1","4","11","1",2597,,,,,,,,,,,,,,,73,74
"2004","EE",26021,139.830954169797,"3",1970,"1","1","3","1","11","1",2602,,,,,,,,,,,,,,,33,33
"2004","EE",26501,139.830954169797,"4",1936,"2","1","1","1","NA","1",2650,,,,,,,,,,,,,,,67,68
"2004","EE",27081,139.830954169797,"2",1945,"2","1","1","1","11","1",2708,,,,,,,,,,,,,,,58,59
"2004","EE",27741,139.830954169797,"2",1926,"1","1","3","4","NA","1",2774,,,,,,,,,,,,,,,77,77
"2004","EE",28301,139.830954169797,"2",1923,"1","1","3","1","NA","1",2830,,,,,,,,,,,,,,,80,80
"2004","EE",28901,139.830954169797,"3",1929,"1","1","4","1","11","1",2890,,,,,,,,,,,,,,,74,74
"2004","EE",29591,139.830954169797,"2",1971,"1","1","1","1","NA","1",2959,,,,,,,,,,,,,,,32,33
"2004","EE",30331,139.830954169797,"3",1925,"2","1","4","1","11","1",3033,,,,,,,,,,,,,,,78,78
"2004","EE",30641,139.830954169797,"2",1928,"2","1","2","1","11","NA",3064,,,,,,,,,,,,,,,75,76
"2004","EE",30781,139.830954169797,"1",1975,"2","1","1","1","11","1",3078,,,,,,,,,,,,,,,28,28
"2004","EE",30871,139.830954169797,"3",1925,"2","1","1","1","11","1",3087,,,,,,,,,,,,,,,78,78
"2004","EE",31561,139.830954169797,"2",1934,"2","1","1","1","NA","NA",3156,,,,,,,,,,,,,,,69,70
"2004","EE",32131,139.830954169797,"4",1957,"1","1","4","4","NA","1",3213,,,,,,,,,,,,,,,46,47
"2004","EE",32241,139.830954169797,"1",1961,"2","1","4","1","NA","1",3224,,,,,,,,,,,,,,,42,42
"2004","EE",32401,139.830954169797,"2",1951,"2","1","4","1","11","4",3240,,,,,,,,,,,,,,,52,53
"2004","EE",32771,139.830954169797,"3",1980,"2","1","4","1","11","1",3277,,,,,,,,,,,,,,,23,24
"2004","EE",32851,139.830954169797,"1",1964,"1","1","4","4","11","1",3285,,,,,,,,,,,,,,,39,39
"2004","EE",32951,139.830954169797,"4",1978,"1","1","1","1","11","1",3295,,,,,,,,,,,,,,,25,26
"2004","EE",33131,139.830954169797,"1",1927,"2","1","4","1","NA","1",3313,,,,,,,,,,,,,,,76,77
"2004","EE",33501,139.830954169797,"4",1929,"2","1","3","1","11","1",3350,,,,,,,,,,,,,,,74,74
"2004","EE",33551,139.830954169797,"3",1924,"2","1","3","1","11","1",3355,,,,,,,,,,,,,,,79,80
"2004","EE",33581,139.830954169797,"3",1924,"2","1","1","1","11","1",3358,,,,,,,,,,,,,,,79,80
"2004","EE",33821,139.830954169797,"1",1923,"1","1","4","1","11","1",3382,,,,,,,,,,,,,,,80,80
"2004","EE",34021,139.830954169797,"3",1978,"1","1","4","1","11","1",3402,,,,,,,,,,,,,,,25,26
"2004","EE",34251,139.830954169797,"3",1935,"2","1","4","1","11","1",3425,,,,,,,,,,,,,,,68,69
"2004","EE",35711,139.830954169797,"2",1983,"2","1","4","1","11","1",3571,,,,,,,,,,,,,,,20,21
"2004","EE",35851,139.830954169797,"2",1979,"2","1","4","4","11","NA",3585,,,,,,,,,,,,,,,24,24
"2004","EE",35991,139.830954169797,"4",1950,"1","1","4","4","11","NA",3599,,,,,,,,,,,,,,,53,53
"2004","EE",36341,139.830954169797,"2",1968,"2","1","1","1","11","1",3634,,,,,,,,,,,,,,,35,35
"2004","EE",36531,139.830954169797,"2",1977,"2","1","4","1","11","1",3653,,,,,,,,,,,,,,,26,26
"2004","EE",36841,139.830954169797,"2",1958,"2","1","1","1","11","1",3684,,,,,,,,,,,,,,,45,45
"2004","EE",37241,139.830954169797,"2",1955,"2","1","2","1","11","1",3724,,,,,,,,,,,,,,,48,49
"2004","EE",37781,139.830954169797,"2",1930,"1","1","4","1","11","1",3778,,,,,,,,,,,,,,,73,74
"2004","EE",38301,139.830954169797,"3",1953,"2","1","1","1","11","1",3830,,,,,,,,,,,,,,,50,50
"2004","EE",38321,139.830954169797,"2",1930,"2","1","4","4","11","1",3832,,,,,,,,,,,,,,,73,73
"2004","EE",38801,139.830954169797,"4",1944,"1","1","1","1","11","1",3880,,,,,,,,,,,,,,,59,60
"2004","EE",39141,139.830954169797,"1",1938,"1","1","1","1","11","1",3914,,,,,,,,,,,,,,,65,65
"2004","EE",39221,139.830954169797,"4",1965,"1","1","4","1","11","1",3922,,,,,,,,,,,,,,,38,38
"2004","EE",39361,139.830954169797,"1",1945,"1","1","1","1","11","1",3936,,,,,,,,,,,,,,,58,59
"2004","EE",39371,139.830954169797,"4",1980,"1","1","1","1","11","NA",3937,,,,,,,,,,,,,,,23,23
"2004","EE",39691,139.830954169797,"4",1974,"1","1","3","4","11","1",3969,,,,,,,,,,,,,,,29,29
"2004","EE",39871,139.830954169797,"4",1937,"1","1","1","1","NA","1",3987,,,,,,,,,,,,,,,66,67
"2004","EE",40351,139.830954169797,"3",1936,"2","1","4","1","11","NA",4035,,,,,,,,,,,,,,,67,68
"2004","EE",40841,139.830954169797,"1",1935,"2","1","3","4","23","1",4084,,,,,,,,,,,,,,,68,68
"2004","EE",40961,139.830954169797,"3",1943,"1","1","3","1","11","1",4096,,,,,,,,,,,,,,,60,60
"2004","EE",41721,139.830954169797,"1",1935,"2","1","1","4","11","1",4172,,,,,,,,,,,,,,,68,69
"2004","EE",41931,139.830954169797,"2",1972,"2","1","1","4","11","1",4193,,,,,,,,,,,,,,,31,31
"2004","EE",42551,139.830954169797,"3",1968,"1","1","1","1","11","1",4255,,,,,,,,,,,,,,,35,35
"2004","EE",43951,139.830954169797,"1",1947,"2","1","4","1","11","1",4395,,,,,,,,,,,,,,,56,57
"2004","EE",44011,139.830954169797,"1",1974,"1","1","4","4","NA","1",4401,,,,,,,,,,,,,,,29,30
"2004","EE",44151,139.830954169797,"4",1981,"1","1","1","4","11","1",4415,,,,,,,,,,,,,,,22,22
"2004","EE",44221,139.830954169797,"4",1931,"1","1","4","1","11","1",4422,,,,,,,,,,,,,,,72,72
"2004","EE",44391,139.830954169797,"1",1958,"2","1","4","1","11","NA",4439,,,,,,,,,,,,,,,45,46
"2004","EE",44691,139.830954169797,"2",1950,"1","1","1","1","11","1",4469,,,,,,,,,,,,,,,53,54
"2004","EE",44961,139.830954169797,"4",1925,"2","1","1","1","11","1",4496,,,,,,,,,,,,,,,78,79
"2004","EE",45141,139.830954169797,"1",1923,"2","1","3","4","11","1",4514,,,,,,,,,,,,,,,80,80
"2004","EE",45291,139.830954169797,"2",1931,"1","1","4","1","11","1",4529,,,,,,,,,,,,,,,72,72
"2004","EE",45311,139.830954169797,"4",1950,"1","1","1","4","11","NA",4531,,,,,,,,,,,,,,,53,54
"2004","EE",45781,139.830954169797,"4",1930,"2","1","4","4","11","1",4578,,,,,,,,,,,,,,,73,74
"2004","EE",45861,139.830954169797,"1",1930,"2","1","4","1","11","NA",4586,,,,,,,,,,,,,,,73,74
"2004","EE",46381,139.830954169797,"2",1945,"2","1","3","1","11","NA",4638,,,,,,,,,,,,,,,58,58
"2004","EE",46511,139.830954169797,"1",1928,"2","1","1","1","23","1",4651,,,,,,,,,,,,,,,75,76
"2004","EE",46981,139.830954169797,"3",1923,"2","1","4","1","11","1",4698,,,,,,,,,,,,,,,80,80
"2004","EE",48021,139.830954169797,"2",1980,"2","1","4","1","11","1",4802,,,,,,,,,,,,,,,23,24
"2004","EE",48231,139.830954169797,"4",1943,"2","1","2","1","11","1",4823,,,,,,,,,,,,,,,60,61
"2004","EE",48341,139.830954169797,"2",1935,"2","1","4","1","NA","1",4834,,,,,,,,,,,,,,,68,68
"2004","EE",48481,139.830954169797,"4",1970,"2","1","1","1","11","NA",4848,,,,,,,,,,,,,,,33,33
"2004","EE",48651,139.830954169797,"4",1972,"2","1","3","1","11","1",4865,,,,,,,,,,,,,,,31,31
"2004","EE",48701,139.830954169797,"2",1951,"1","1","4","1","11","1",4870,,,,,,,,,,,,,,,52,52
"2004","EE",48811,139.830954169797,"2",1958,"2","1","1","4","11","1",4881,,,,,,,,,,,,,,,45,46
"2004","EE",48931,139.830954169797,"2",1923,"2","1","1","1","11","1",4893,,,,,,,,,,,,,,,80,80
"2004","EE",49231,139.830954169797,"3",1930,"1","1","1","1","11","NA",4923,,,,,,,,,,,,,,,73,73
"2004","EE",49281,139.830954169797,"1",1967,"2","1","1","1","11","5",4928,,,,,,,,,,,,,,,36,36
"2004","EE",49481,139.830954169797,"1",1932,"2","1","1","4","11","1",4948,,,,,,,,,,,,,,,71,71
"2004","EE",50451,139.830954169797,"1",1927,"2","1","4","4","11","1",5045,,,,,,,,,,,,,,,76,76
"2004","EE",50551,139.830954169797,"1",1927,"2","1","4","1","11","1",5055,,,,,,,,,,,,,,,76,76
"2004","EE",50591,139.830954169797,"3",1946,"2","1","1","1","11","1",5059,,,,,,,,,,,,,,,57,57
"2004","EE",51791,139.830954169797,"3",1934,"2","1","4","1","11","1",5179,,,,,,,,,,,,,,,69,69
"2004","EE",51861,139.830954169797,"3",1957,"2","1","1","1","31","1",5186,,,,,,,,,,,,,,,46,46
"2004","EE",52081,139.830954169797,"2",1926,"2","1","4","1","11","1",5208,,,,,,,,,,,,,,,77,77
"2004","EE",52201,139.830954169797,"1",1931,"2","1","3","1","11","1",5220,,,,,,,,,,,,,,,72,73
"2004","EE",52301,139.830954169797,"2",1923,"2","1","1","1","NA","1",5230,,,,,,,,,,,,,,,80,80
"2004","EE",52441,139.830954169797,"2",1948,"1","1","1","1","22","1",5244,,,,,,,,,,,,,,,55,55
"2004","EE",52481,139.830954169797,"2",1938,"1","1","1","1","11","1",5248,,,,,,,,,,,,,,,65,66
"2004","EE",52971,139.830954169797,"2",1930,"2","1","1","1","11","1",5297,,,,,,,,,,,,,,,73,73
"2004","EE",53561,139.830954169797,"4",1939,"1","1","1","1","11","1",5356,,,,,,,,,,,,,,,64,64
"2004","EE",54011,139.830954169797,"1",1925,"1","1","1","1","NA","1",5401,,,,,,,,,,,,,,,78,78
"2004","EE",54171,139.830954169797,"2",1944,"2","1","3","1","11","NA",5417,,,,,,,,,,,,,,,59,59
"2004","EE",55081,139.830954169797,"3",1980,"1","1","1","1","11","1",5508,,,,,,,,,,,,,,,23,23
"2004","EE",55131,139.830954169797,"2",1980,"2","1","1","1","11","1",5513,,,,,,,,,,,,,,,23,23
"2004","EE",55361,139.830954169797,"4",1946,"1","1","1","4","NA","1",5536,,,,,,,,,,,,,,,57,57
"2004","EE",55861,139.830954169797,"2",1929,"2","1","1","1","11","NA",5586,,,,,,,,,,,,,,,74,75
"2004","EE",56001,139.830954169797,"3",1923,"1","1","1","1","11","1",5600,,,,,,,,,,,,,,,80,80
"2004","EE",56061,139.830954169797,"3",1932,"2","1","4","1","NA","1",5606,,,,,,,,,,,,,,,71,71
"2004","EE",56621,139.830954169797,"4",1970,"1","1","1","1","11","1",5662,,,,,,,,,,,,,,,33,33
"2004","EE",56881,139.830954169797,"3",1939,"2","1","1","1","11","NA",5688,,,,,,,,,,,,,,,64,65
"2004","EE",57441,139.830954169797,"2",1923,"2","1","3","1","11","NA",5744,,,,,,,,,,,,,,,80,80
"2004","EE",57601,139.830954169797,"1",1935,"2","1","1","1","11","1",5760,,,,,,,,,,,,,,,68,69
"2004","EE",57751,139.830954169797,"4",1953,"2","1","1","1","11","1",5775,,,,,,,,,,,,,,,50,51
"2004","EE",58171,139.830954169797,"4",1948,"2","1","1","1","11","1",5817,,,,,,,,,,,,,,,55,55
"2004","EE",58291,139.830954169797,"4",1968,"2","1","1","1","11","NA",5829,,,,,,,,,,,,,,,35,35
"2004","EE",58451,139.830954169797,"1",1940,"2","1","3","1","11","1",5845,,,,,,,,,,,,,,,63,64
"2004","EE",59581,139.830954169797,"3",1935,"2","1","3","1","23","1",5958,,,,,,,,,,,,,,,68,68
"2004","EE",59971,139.830954169797,"2",1957,"1","1","4","4","11","5",5997,,,,,,,,,,,,,,,46,46
"2004","EE",60131,139.830954169797,"4",1923,"1","1","4","1","11","1",6013,,,,,,,,,,,,,,,80,80
"2004","EE",60151,139.830954169797,"4",1972,"1","1","1","1","11","1",6015,,,,,,,,,,,,,,,31,32
"2004","EE",61031,139.830954169797,"2",1944,"2","1","2","1","11","1",6103,,,,,,,,,,,,,,,59,59
"2004","EE",61251,139.830954169797,"3",1935,"2","1","1","4","11","NA",6125,,,,,,,,,,,,,,,68,69
"2004","EE",61521,139.830954169797,"1",1980,"2","1","3","4","NA","1",6152,,,,,,,,,,,,,,,23,23
"2004","EE",61691,139.830954169797,"4",1937,"2","1","1","1","11","NA",6169,,,,,,,,,,,,,,,66,66
"2004","EE",61781,139.830954169797,"1",1923,"2","1","4","1","11","1",6178,,,,,,,,,,,,,,,80,80
"2004","EE",62791,139.830954169797,"2",1949,"2","1","3","1","11","1",6279,,,,,,,,,,,,,,,54,54
"2004","EE",62831,139.830954169797,"2",1927,"2","1","2","1","NA","5",6283,,,,,,,,,,,,,,,76,77
"2004","EE",62871,139.830954169797,"3",1971,"1","1","4","1","NA","NA",6287,,,,,,,,,,,,,,,32,32
"2004","EE",63181,139.830954169797,"1",1939,"1","1","3","1","NA","1",6318,,,,,,,,,,,,,,,64,64
"2004","EE",63341,139.830954169797,"3",1971,"2","1","1","1","NA","NA",6334,,,,,,,,,,,,,,,32,33
"2004","EE",63451,139.830954169797,"1",1938,"2","1","1","1","11","1",6345,,,,,,,,,,,,,,,65,66
"2004","EE",63631,139.830954169797,"2",1954,"2","1","3","1","11","1",6363,,,,,,,,,,,,,,,49,50
"2004","EE",64341,139.830954169797,"3",1945,"2","1","3","1","11","1",6434,,,,,,,,,,,,,,,58,58
"2004","EE",65381,139.830954169797,"4",1935,"2","1","1","1","NA","1",6538,,,,,,,,,,,,,,,68,69
"2004","EE",65591,139.830954169797,"1",1956,"2","1","1","1","11","1",6559,,,,,,,,,,,,,,,47,48
"2004","EE",66191,139.830954169797,"2",1939,"1","1","1","4","11","NA",6619,,,,,,,,,,,,,,,64,64
"2004","EE",66331,139.830954169797,"3",1925,"2","1","3","1","NA","1",6633,,,,,,,,,,,,,,,78,78
"2004","EE",66391,139.830954169797,"3",1979,"1","1","4","1","11","NA",6639,,,,,,,,,,,,,,,24,25
"2004","EE",66431,139.830954169797,"1",1933,"2","1","3","1","11","1",6643,,,,,,,,,,,,,,,70,70
"2004","EE",66571,139.830954169797,"3",1928,"2","1","1","1","11","1",6657,,,,,,,,,,,,,,,75,76
"2004","EE",66961,139.830954169797,"1",1946,"2","1","1","1","11","1",6696,,,,,,,,,,,,,,,57,58
"2004","EE",67061,139.830954169797,"1",1969,"1","1","3","1","11","NA",6706,,,,,,,,,,,,,,,34,34
