"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","HD010","HD020","HD025","HD030","HD035","HD040","HD050","HD060","HD070","HD080","HD090","HD100","HD110","HD120","HD130","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD230","HD240","HD250","HD255","HD260","HD265","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2009","EE",338,"1","2009","21",9448,7464,0,0,,,,,,,,0,0,0,0,0,,0,,0,11,0,,1972,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","5","2236.91","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","102.9","NA","1","NA","1","1","2","NA","2","160","4","4","3","4","1","1","1","1","NA","NA","NA","1","NA","NA","3","1","1","NA","NA","1","3","NA","NA","2","NA","1",1,,,,,,
"2009","EE",401,"2","2009","13",3981,3977,0,0,,,,,,,,0,0,0,0,0,,0,,0,4,0,,0,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","1","3","511.29","3","NA","2","2","2","2","1","1","2","2","1","NA","NA","60.4","NA","1","NA","1","1","2","NA","2","30","4","4","3","2","1","1","NA","1","1","1","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",407,"1","2009","18",37023,36716,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,307,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","1","4","958.67","2","NA","2","2","2","1","4","1","3","2","1","NA","NA","211.1","NA","1","NA","1","1","2","NA","2","150","1","4","4","3","1","1","NA","1","1","1","NA","1","NA","1","NA","NA","3","1","NA","1","2","2","NA","NA","NA","1",1,,,,,,
"2009","EE",455,"1","2009","21",2354,2270,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,83,"NA","NA","NA","3","NA","3","2","2","2","1","1","1","1","1","3","511.29","3","NA","2","2","2","2","1","1","1","2","1","NA","NA","102.96","NA","1","NA","1","1","2","NA","2","55","4","4","3","3","2","2","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",461,"2","2009","8",7591,4364,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3227,"NA","3","NA","3","NA","3","2","1","1","1","1","1","1","3","3","1150.41","2","2","2","1","2","2","4","1","4","2","1","NA","NA","92.67","NA","1","NA","1","1","2","NA","1","70","4","4","4","3","1","1","1","1","1","NA","1","1","1","1","1","1","1","1","1","1","3","NA","NA","2","NA","1",1,,,,,,
"2009","EE",467,"2","2009","23",7058,6385,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,673,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","4","1597.79","2","NA","2","2","2","2","3","1","1","2","1","NA","NA","150.19","NA","1","NA","1","1","2","NA","2","60","3","4","4","2","1","1","1","NA","NA","1","1","NA","1","1","3","1","3","1","NA","1","NA","NA","NA","2","NA","1",1,,,,,,
"2009","EE",473,"2","2009","28",6584,5277,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,273,,1035,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","1917.35","2","2","2","2","2","2","4","1","2","2","1","NA","NA","92.67","NA","1","NA","1","1","2","NA","2","58","4","4","3","3","1","1","1","1","NA","NA","NA","1","1","NA","NA","1","1","NA","2","1","1","2","NA","2","NA","1",1,,,,,,
"2009","EE",476,"1","2009","32",4833,4826,0,0,,,,,,,,0,0,0,0,0,,0,,0,8,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","2","1278.23","1","2","2","2","2","1","4","1","2","1","1","NA","NA","167.32","NA","1","NA","1","1","2","NA","2","62","4","4","3","3","2","3","NA","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",490,"2","2009","11",12600,7118,0,0,,,,,,,,0,0,0,0,0,,0,,0,5482,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","3","3","1597.79","3","2","2","2","2","2","4","1","3","1","1","NA","NA","154.09","NA","1","NA","1","1","2","NA","2","47","4","4","4","3","1","1","1","1","NA","1","NA","1","1","1","1","NA","NA","NA","NA","NA","2","2","NA","2","NA","1",1,,,,,,
"2009","EE",505,"2","2009","12",3715,3467,0,0,,,,,,,,0,0,0,0,0,,0,,0,1,0,,248,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","3","5","1086.5","3","NA","2","1","2","2","3","1","4","1","1","NA","NA","101.3","NA","1","NA","1","1","2","NA","2","67","4","4","3","NA","2","3","NA","NA","1","1","1","1","NA","NA","3","NA","3","NA","NA","1","1","2","2","2","NA","1",1,,,,,,
"2009","EE",519,"1","2009","21",3023,3016,0,0,,,,,,,,0,0,0,0,0,,0,,0,7,0,,0,"NA","NA","NA","3","NA","NA","2","1","2","1","1","1","1","1","2","511.29","2","2","2","2","2","2","1","1","4","1","1","NA","NA","48.25","NA","1","NA","1","1","2","NA","2","112","4","4","3","3","2","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",532,"2","2009","25",5559,4170,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1389,"NA","3","NA","2","NA","3","1","1","1","1","1","1","1","1","3","894.76","2","NA","2","2","1","2","1","1","3","2","1","NA","NA","83.09","NA","1","NA","1","1","2","NA","2","48","4","4","4","3","1","1","NA","1","1","1","3","NA","NA","1","3","1","1","1","NA","1","NA","2","NA","2","NA","1",1,,,,,,
"2009","EE",541,"1","2009","26",7682,7677,0,0,,,,,,,,0,0,0,0,0,,0,,0,5,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","2","1","1","3","NA","1","NA","2","2","1","2","2","1","3","1","1","NA","NA","83.4","NA","1","NA","1","1","2","NA","2","120","4","4","4","3","1","1","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",571,"2","2009","18",6261,2739,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3522,"NA","2","NA","3","NA","3","2","1","1","1","1","1","1","1","2","511.29","3","2","2","1","2","1","2","1","2","2","1","NA","NA","88.33","NA","1","NA","1","1","2","NA","1","60","3","4","3","2","1","1","1","2","1","1","NA","1","1","1","1","NA","3","1","1","2","1","NA","2","NA","NA","1",1,,,,,,
"2009","EE",599,"1","2009","17",4183,3207,0,0,,,,,,,,0,0,0,0,0,,0,,0,56,0,,920,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","1","3","1597.79","2","2","2","2","2","2","4","1","1","2","1","NA","NA","80.15","NA","1","NA","3","1","2","NA","1","18","4","4","4","3","3","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",623,"2","2009","8",5247,5230,0,0,,,,,,,,0,0,0,0,0,,0,,0,17,0,,0,"NA","NA","NA","3","NA","3","2","1","2","1","1","1","1","2","3","958.67","3","NA","2","2","1","2","3","1","3","1","1","NA","NA","9.27","NA","1","NA","1","1","2","NA","2","39","4","4","3","2","3","1","NA","NA","3","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","2","NA","NA","1",1,,,,,,
"2009","EE",664,"1","2009","13",3050,3046,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4,"NA","NA","NA","3","NA","3","1","1","2","1","1","3","1","3","3","766.94","2","NA","2","2","2","2","NA","1","3","2","1","NA","NA","328.76","NA","1","NA","1","1","2","NA","1","58","4","4","3","4","3","3","1","1","1","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","2","NA","1",1,,,,,,
"2009","EE",670,"2","2009","14",1735,1728,0,0,,,,,,,,0,0,0,0,0,,0,,0,7,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","3","1","1","2","447.38","2","NA","2","2","2","1","1","3","2","2","1","NA","NA","105.26","NA","1","NA","1","2","2","NA","2","24","4","4","NA","3","2","3","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","NA","1",1,,,,,,
"2009","EE",677,"1","2009","50",3512,3509,0,0,,,,,,,,0,0,0,0,0,,3,,0,3,0,,0,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1278.23","3","NA","2","2","2","2","3","1","3","1","1","NA","NA","80.98","NA","1","NA","1","1","2","NA","2","48","4","3","4","3","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA","1",1,,,,,,
"2009","EE",679,"2","2009","21",6212,-551,0,0,,,,,,,,0,0,0,0,0,,0,,0,72,0,,6692,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","3","3","3","1278.23","1","NA","2","2","2","2","3","1","2","2","1","NA","NA","70.94","NA","1","NA","1","1","2","NA","1","64","4","4","3","3","1","1","NA","NA","3","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","1","NA","NA","2","NA","1",1,,,,,,
"2009","EE",704,"1","2009","25",4186,4106,0,0,,,,,,,,0,0,0,0,0,,0,,0,1,0,,80,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","1","2","958.67","1","NA","2","2","2","2","4","2","1","1","1","NA","NA","272.65","NA","1","NA","1","1","2","NA","1","45","3","4","NA","3","1","2","1","NA","1","1","3","1","3","NA","3","NA","1","NA","NA","1","1","2","NA","2","NA","1",1,,,,,,
"2009","EE",708,"1","2009","23",5690,5616,0,0,,,,,,,,0,0,0,0,0,,6,,0,3,72,,0,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","2","958.67","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","264.59","NA","1","NA","1","1","2","NA","2","80","1","4","NA","3","2","1","NA","1","1","1","NA","1","1","NA","3","1","1","NA","NA","1","1","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",710,"2","2009","14",9286,4508,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4778,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","5","447.38","3","2","2","2","2","1","4","1","6","2","1","NA","NA","92.35","NA","1","NA","1","1","2","NA","2","110","4","4","NA","3","1","1","1","1","1","1","1","1","1","NA","NA","1","1","NA","NA","2","1","NA","NA","2","NA","1",1,,,,,,
"2009","EE",712,"2","2009","11",8805,7232,0,0,,,,,,,,0,0,0,0,0,,16,,0,1573,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1597.79","3","2","2","2","2","1","4","1","4","1","1","NA","NA","595.91","NA","1","NA","1","1","2","NA","2","100","3","4","3","3","1","1","1","1","NA","1","1","1","1","1","1","1","1","NA","NA","1","3","NA","NA","2","NA","1",1,,,,,,
"2009","EE",716,"1","2009","24",1818,1724,0,0,,,,,,,,0,0,0,105,0,,0,,0,0,0,,94,"NA","NA","NA","3","NA","3","1","1","2","1","1","3","1","2","4","2109.08","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","83.09","NA","1","NA","1","1","2","NA","2","40","4","4","2","3","2","3","NA","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",724,"1","2009","17",3114,3110,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3,"NA","NA","NA","3","NA","NA","1","1","1","1","1","2","1","1","1","639.12","1","NA","2","2","2","2","1","1","2","2","1","NA","NA","81.17","NA","1","NA","1","1","2","NA","2","53","2","4","2","4","2","1","NA","NA","1","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","2","NA","1",1,,,,,,
"2009","EE",728,"1","2009","19",1297,-2722,0,0,,,,,,,,0,0,0,0,0,,63,,0,4019,0,,0,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","3","4","1917.35","1","NA","2","2","2","2","1","1","1","2","1","7.67","NA","60.52","NA","1","NA","1","1","2","NA","2","138","3","4","3","3","1","1","NA","NA","NA","NA","1","1","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",738,"1","2009","17",3112,3111,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,"NA","NA","NA","3","NA","3","2","1","1","1","1","1","1","1","3","766.94","1","NA","2","2","2","2","4","1","3","2","1","NA","NA","373.88","NA","1","NA","1","1","2","6","2","90","4","3","3","3","1","1","NA","NA","2","NA","1","NA","NA","1","3","1","1","1","1","1","3","2","NA","2","NA","1",1,,,,,,
"2009","EE",770,"2","2009","12",28305,26819,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1487,"NA","NA","NA","2","NA","NA","2","1","1","1","1","3","1","3","1","1917.35","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","168.41","NA","1","NA","1","2","1","NA","2","64","4","4","3","4","2","1","1","NA","1","NA","NA","1","1","1","3","1","1","1","1","NA","2","2","NA","NA","NA","1",1,,,,,,
"2009","EE",819,"2","2009","13",3234,3215,0,0,,,,,,,,0,0,0,0,0,,0,,0,19,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","2","4","958.67","2","1","2","2","2","2","4","1","2","2","1","319.56","NA","394.65","NA","1","NA","3","1","2","NA","2","200","4","4","2","3","1","1","1","1","1","1","1","1","3","NA","NA","1","NA","1","2","1","NA","2","NA","1","NA","1",1,,,,,,
"2009","EE",854,"2","2009","13",3006,3003,0,0,,,,,,,,0,0,0,0,0,,0,,0,3,0,,0,"NA","NA","NA","3","NA","3","2","1","1","1","1","1","1","1","1","1278.23","3","2","2","1","2","1","3","1","2","2","1","NA","NA","72.22","NA","1","NA","1","2","2","NA","2","45","3","4","2","3","3","3","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",863,"2","2009","9",3224,3178,0,0,,,,,,,,0,0,0,0,0,,1,,0,47,0,,0,"NA","3","NA","3","NA","NA","1","2","1","1","1","1","1","2","NA","1278.23","2","NA","2","2","2","2","4","4","2","1","1","NA","NA","53.43","NA","1","NA","1","1","2","NA","2","41","2","4","2","3","2","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1",1,,,,,,
"2009","EE",878,"1","2009","7",6395,5553,0,0,,,,,,,,0,0,0,0,0,,0,,0,842,0,,0,"NA","3","NA","2","NA","3","1","1","1","1","1","1","1","1","5","639.12","1","3","2","2","2","2","3","1","3","2","1","NA","NA","67.75","NA","1","NA","1","1","2","NA","2","100","1","3","3","3","2","1","1","1","1","NA","1","NA","1","1","3","1","2","2","NA","2","1","2","NA","2","NA","1",1,,,,,,
"2009","EE",887,"2","2009","11",5679,5605,0,0,,,,,,,,0,0,0,0,0,,0,,0,7,66,,0,"NA","NA","NA","NA","NA","NA","2","2","2","1","1","3","1","2","1","703.03","2","NA","2","2","2","2","3","2","2","2","1","NA","NA","113.51","NA","1","NA","3","1","2","NA","2","109","4","4","3","3","2","3","NA","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","NA","1",1,,,,,,
"2009","EE",945,"1","2009","15",3486,3479,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","2","5","1917.35","3","2","2","2","2","1","3","1","2","2","2","NA","NA","182.4","NA","1","NA","1","1","2","NA","2","50","4","4","3","3","1","1","NA","NA","1","1","1","NA","1","1","NA","NA","1","1","NA","2","NA","2","NA","2","NA","1",1,,,,,,
"2009","EE",947,"2","2009","9",3166,1786,0,0,,,,,,,,0,0,0,0,0,,0,,0,3,0,,1377,"NA","NA","NA","3","NA","NA","1","1","2","1","1","3","1","3","3","639.12","2","NA","2","2","2","1","4","1","1","2","1","NA","NA","74.14","NA","1","NA","3","1","2","NA","2","124","4","4","NA","3","2","2","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",1003,"1","2009","8",7900,7611,0,0,,,,,,,,0,0,0,0,0,,2,,0,22,0,,266,"NA","3","NA","3","NA","3","2","1","1","1","1","1","1","1","4","1917.35","3","2","2","2","2","2","3","1","2","2","1","NA","NA","59.69","NA","1","NA","1","2","2","NA","1","120","3","4","NA","4","2","1","1","1","1","1","NA","1","1","1","1","NA","1","NA","1","1","NA","2","NA","2","NA","1",1,,,,,,
"2009","EE",1054,"2","2009","24",12852,12847,0,0,,,,,,,,0,0,0,0,0,,0,,0,5,0,,0,"NA","3","NA","3","NA","3","2","1","1","1","1","1","1","1","5","1278.23","2","2","2","2","2","2","4","1","4","2","1","NA","NA","112.48","NA","1","NA","1","2","2","NA","2","110","4","4","4","3","1","1","1","1","1","1","NA","1","NA","1","3","1","NA","NA","NA","1","3","2","NA","2","NA","1",1,,,,,,
"2009","EE",1060,"1","2009","15",5875,5869,0,0,,,,,,,,0,0,0,0,0,,2,,0,5,0,,0,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","1","1917.35","3","NA","2","2","1","2","4","1","4","2","1","NA","NA","41.22","NA","1","NA","1","1","1","NA","2","54","3","4","3","3","1","1","1","1","1","1","1","NA","NA","1","NA","1","NA","1","1","1","2","2","NA","2","NA","1",1,,,,,,
"2009","EE",1068,"1","2009","19",3065,2770,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,298,,-4,"NA","NA","NA","3","NA","NA","2","1","1","1","1","3","1","3","3","127.82","3","3","2","2","2","2","4","1","3","2","1","NA","NA","178.12","NA","1","NA","1","1","2","NA","2","150","3","3","2","3","2","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",1081,"2","2009","16",3680,3673,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7,"NA","NA","NA","3","NA","3","2","1","1","1","1","3","1","1","4","958.67","2","NA","2","2","1","2","4","1","1","2","1","NA","NA","12.78","NA","1","NA","3","1","2","NA","1","45","3","3","2","4","2","3","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",1119,"1","2009","21",3742,3733,0,0,,,,,,,,0,0,0,61,0,,0,,0,8,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","2","1","3","1","639.12","3","NA","2","2","2","NA","4","1","3","2","1","127.82","NA","145.72","NA","1","NA","1","1","2","NA","2","46","4","4","2","3","1","3","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1",1,,,,,,
"2009","EE",1130,"1","2009","29",3431,3430,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,"NA","NA","NA","3","NA","3","2","1","2","1","1","1","1","1","2","1597.79","2","NA","2","2","2","2","3","1","1","2","1","NA","NA","46.98","NA","1","NA","1","1","2","NA","2","47","3","4","2","3","2","3","1","NA","NA","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","2","NA","1",1,,,,,,
"2009","EE",1162,"2","2009","33",9320,8725,0,0,,,,,,,,0,0,0,0,0,,8,,0,595,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1597.79","2","2","2","2","2","2","1","1","2","2","1","NA","NA","129.36","NA","1","NA","1","1","2","NA","1","80","2","4","NA","4","2","1","2","NA","NA","1","1","1","NA","1","3","NA","1","1","1","NA","1","NA","NA","NA","NA","1",1,,,,,,
