"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL050","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PT005","PT010","PT020","PT030","PT040","PT050","PT060","PT070","PT080","PT090","PT100","PT110","PT120","PT130","PT140","PT150","PT160","PT170","PT180","PT190","PT200","PT210"
"2011","EE",2601,117.21209693571,"NA","2","2011","10","4",1942,"2","2","2","EE","2","3","5","7","NA","NA","2","NA","3","82","3","NA","NA","NA","NA","NA","1","2","NA","NA","4","19","5","1","1","2","NA","2","NA",0,449,0,0,0,3273,1,0,0,0,0,2996,0,0,0,0,1,"1",68,260,"1","2","0","NA","3","NA","NA","-1","NA","NA","NA","1","1","NA","2","6","NA","7","1","1","3","4","3","1"
"2011","EE",2641,117.21209693571,"NA","2","2011","17","1",1949,"2","2","2","EE","2","NA","5","1","NA","NA","NA","NA","3","34","0 - 1","NA","10","l-n","NA","13","1","2","2","NA","NA","21","2","2","3","2","NA","2","NA",0,0,6480,0,0,303,1,0,0,0,0,2965,0,0,0,0,1,"1",61,264,"1","5","35.48299","NA","1","1","2","1941","1","1","-1","2","1","2","NA","1","1","3","NA","NA","6","3","4","1"
"2011","EE",2691,117.21209693571,"NA","2","2011","9","1",1953,"1","1","3","EE","2","NA","2","1","NA","NA","NA","NA","3","83","8","40","NA","b-e","NA","11","1","2","2","NA","NA","17","NA","2","2","1","2","1","NA",0,0,7072,0,0,0,1,230,0,0,0,0,0,0,0,0,1,"1",57,269,"1","6","161.0917","1","2","NA","2","1926","1","1","1949","NA","NA","1","3","NA","NA","7","1","1","2","5","4","1"
"2011","EE",3001,117.21209693571,"NA","2","2011","16","2",1936,"2","4","2","EE","2","NA","2","7","NA","NA","2","NA","3","91","6","NA","NA","NA","NA","NA","1","2","NA","NA","NA","19","1","1","1","1","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,5315,0,0,0,0,1,"1",74,300,"1","6","0","1","NA","NA","NA","NA","NA","1","1937","NA","NA","NA","3","NA","NA","7","1","NA","NA","4","2","3"
"2011","EE",3371,117.21209693571,"NA","2","2011","20","2",1933,"2","4","3","EE","2","NA","2","7","NA","1","2","NA","3","83","9","26","NA","NA","NA","NA","1","2","2","NA","NA","21","3","1","3","2","NA","2","NA",0,429,0,0,0,5117,1,0,0,0,0,5306,0,0,0,0,1,"1",77,337,"1","2","39.2268","NA","NA","NA","2","1949","2","NA","1958","NA","1","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA"
"2011","EE",3391,117.21209693571,"NA","1","2011","12","1",1988,"1","1","2","EE","1","NA","3","1","NA","1","2","NA","3","31","8","NA","NA","b-e","NA","NA","1","2","NA","NA","NA","NA","2","2","3","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",22,339,"1","3","155.9669","1","NA","NA","2","NA","1","NA","NA","2","2","1","NA","NA","NA","NA","1","NA","NA","NA","3","NA"
"2011","EE",4011,117.21209693571,"NA","2","2011","20","2",1956,"2","2","3","EE","2","NA","5","1","NA","1","NA","NA","3","13","5","40","NA","i","NA","12","1","1","NA","NA","NA","19","NA","2","1","2","NA","2","NA",0,0,5145,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",54,401,"1","2","0","3","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","7","NA","NA","NA","NA","NA","NA"
"2011","EE",4081,117.21209693571,"NA","1","2011","9","4",1947,"1","1","3","EE","2","NA","3","7","NA","NA","NA","NA","3","NA","8","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","17","4","1","2","1","NA","2","NA",0,268,0,0,0,0,1,0,0,0,0,1475,0,0,0,0,1,"1",63,408,"1","6","46.1385","NA","NA","2","NA","NA","2","NA","NA","2","1","2","1","1","NA","NA","NA","2","9","NA","3","NA"
"2011","EE",4551,117.21209693571,"NA","1","2011","14","4",1930,"2","4","1","EE","2","NA","1","7","NA","1","2","NA","3","82","5","40","NA","NA","NA","4","NA","2","NA","NA","NA","22","3","1","3","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,3492,0,0,0,0,1,"1",80,455,"1","2","0","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","4","NA","NA"
"2011","EE",4621,117.21209693571,"NA","2","2011","9","2",1951,"2","2","3","EE","2","NA","5","1","NA","NA","2","NA","3","NA","2","40","NA","q","NA","NA","1","2","NA","NA","NA","20","3","2","3","2","NA","NA","1",0,0,4606,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",59,462,"1","6","0","NA","NA","NA","NA","NA","NA","NA","1933","NA","1","NA","NA","NA","NA","NA","NA","NA","8","4","NA","1"
"2011","EE",4681,117.21209693571,"NA","2","2011","9","3",1934,"2","4","2","EE","2","NA","2","7","NA","NA","2","NA","2","82","0 - 1","40","NA","NA","NA","NA","1","2","2","NA","NA","18","2","2","1","1","NA","2","NA",0,0,0,0,0,2071,1,230,0,0,0,3767,0,0,0,0,1,"1",76,468,"1","2","0","NA","2","NA","NA","NA","NA","NA","NA","2","1","NA","-1","NA","NA","NA","NA","2","NA","5","NA","NA"
"2011","EE",4741,117.21209693571,"NA","1","2011","19","1",1977,"1","2","3","EE","2","5","NA","NA","NA","2","2","NA","3","23",,"56","NA","NA","NA","NA","1","2","NA","NA","NA","18","NA","2","3","2","NA","2","NA",0,0,243,0,0,2220,1,0,0,0,0,0,0,0,0,0,1,"1",33,474,"1","6","0","1","NA","NA","2","NA","1","2","NA","NA","NA","NA","2","-1","NA","NA","1","2","9","NA","NA","NA"
"2011","EE",4761,117.21209693571,"NA","2","2011","14","3",1930,"2","2","1","EE","2","NA","2","7","NA","NA","2","NA","3","52","7","NA","NA","NA","NA","NA","1","2","NA","NA","NA","20","3","2","1","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,3019,0,0,0,0,1,"1",80,476,"1","5","0","NA","1","2","1","NA","NA","NA","1944","1","NA","NA","NA","1","2","NA","NA","NA","NA","NA","5","NA"
"2011","EE",4901,117.21209693571,"NA","1","2011","16","2",1951,"2","4","3","Other","2","NA","5","7","NA","1","2","NA","3","91","4","NA","NA","NA","NA","NA","1","2","NA","NA","NA","21","2","2","2","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,2286,0,0,0,0,1,"1",59,490,"1","2","167.48","NA","NA","1","2","-1","2","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","1"
"2011","EE",5061,117.21209693571,"NA","2","2011","3","1",1933,"2","4","3","EE","2","NA","1","7","NA","NA","NA","1","3","72","8","40","NA","NA","NA","12","1","2","2","NA","NA","18","2","2","3","2","NA","2","NA",0,0,0,0,0,2586,1,0,0,0,0,5400,0,0,0,0,1,"1",77,506,"1","2","384.3038","1","2","3","2","1938","NA","1","1959","NA","1","3","2","1","2","1","1","1","5","5","3","1"
"2011","EE",5191,117.21209693571,"NA","2","2011","13","2",1954,"1","2","2","Other","2","NA","3","8","NA","1","NA","NA","3","51","7","NA","NA","NA","NA","NA","NA","2","NA","NA","4","17","NA","1","1","2","NA","2","NA",3170,0,0,0,0,0,1,0,382,0,0,0,0,0,2439,0,1,"1",56,519,"1","2","168.3917","1","NA","2","NA","1942","NA","NA","1955","NA","1","NA","1","1","2","NA","1","2","NA","3","NA","NA"
"2011","EE",5331,117.21209693571,"NA","2","2011","7","1",1946,"1","2","3","Other","2","NA","5","1","NA","1","NA","NA","3","83","4","43","NA","l-n","4","13","1","1","2","NA","NA","18","3","2","3","2","NA","2","NA",0,0,4357,0,0,2299,1,0,0,0,0,3077,0,0,0,0,1,"1",64,533,"1","7","0","1","1","2","2","-1","NA","NA","NA","2","1","1","3","NA","1","8","NA","2","NA","NA","4","NA"
"2011","EE",5411,117.21209693571,"NA","2","2011","9","2",1957,"2","2","3","EE","2","NA","3","8","NA","1","2","NA","2","31","3","NA","NA","NA","NA","NA","1","2","NA","NA","4","19","4","1","2","2","NA","2","NA",0,0,1004,0,0,0,1,0,0,0,0,0,0,0,640,0,1,"1",53,541,"1","2","0","1","2","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","5","NA","7","1","NA","NA","4","3","3"
"2011","EE",5721,117.21209693571,"NA","2","2011","27","4",1977,"1","1","1","EE","2","NA","3","1","NA","NA","NA","NA","3","12","2","45","NA","g","NA","5","NA","2","2","NA","NA","22","2","2","3","2","2","2","NA",0,0,7920,0,0,1384,1,0,0,0,0,0,0,2548,0,0,1,"1",33,572,"1","2","0","1","2","1","2","1921","NA","NA","1930","2","1","2","3","1","NA","7","1","2","2","2","4","1"
"2011","EE",6001,117.21209693571,"NA","1","2011","5","1",1970,"1","5","1","EE","2","NA","3","1","NA","NA","NA","NA","3","NA","7","40","NA","f","NA","5","1","2","2","NA","NA","23","2","1","2","1","NA","2","NA",0,0,15636,229,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",40,600,"1","2","0","1","2","2","2","1929","NA","1","1914","1","NA","1","3","NA","1","8","1","2","5","NA","2","1"
"2011","EE",6241,117.21209693571,"NA","2","2011","15","2",1930,"2","2","1","Other","2","NA","1","7","NA","1","NA","NA","3","71","8","NA","NA","NA","NA","11","1","2","2","NA","NA","17","4","1","1","2","NA","2","NA",0,191,0,0,0,1011,1,0,0,0,0,3073,0,0,0,0,1,"1",80,624,"1","2","214.9008","NA","NA","NA","NA","NA","NA","2","-1","NA","1","NA","1","NA","NA","9","NA","NA","NA","4","NA","NA"
"2011","EE",6651,117.21209693571,"NA","1","2011","6","3",1975,"2","2","3","EE","2","NA","5","1","NA","NA","NA","NA","3","13","3","40","NA","l-n","NA","11","1","2","2","NA","NA","22","2","2","3","2","NA","2","NA",0,0,13192,1011,0,0,1,0,0,0,0,0,0,260,0,0,1,"1",35,665,"1","2","254.1029","1","NA","1","2","NA","1","1","1959","2","1","2","3","1","2","NA","1","2","NA","3","4","1"
"2011","EE",6711,117.21209693571,"NA","2","2011","31","2",1968,"1","5","3","EE","2","NA","2","1","NA","NA","NA","NA","3","82","9","40","NA","b-e","NA","12","1","2","2","1","NA","20","2","1","3","2","NA","2","NA",0,0,23483,343,0,16540,1,0,0,0,0,0,0,0,0,0,1,"1",42,671,"1","5","43.29798","NA","3","1","2","1959","2","1","1930","1","1","1","3","1","2","NA","NA","2","2","5","4","1"
"2011","EE",6781,117.21209693571,"NA","2","2011","16","3",1930,"2","4","3","Other","2","NA","3","7","NA","1","2","NA","3","51","4","NA","NA","NA","NA","NA","1","2","2","NA","NA","19","3","1","3","2","NA","2","NA",0,0,1343,0,0,2586,1,0,0,0,0,2894,0,0,0,0,1,"1",80,678,"1","2","0","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1"
"2011","EE",6791,117.21209693571,"NA","1","2011","25","1",1975,"2","2","3","EE","1","NA","5","1","NA","1","NA","NA","3","81","3","40","NA","o","NA","11","1","1","NA","NA","NA","20","2","2","3","2","7","2","NA",0,230,6597,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",35,679,"1","2","0","1","2","1","1","NA","NA","1","1945","1","2","NA","3","NA","2","NA","NA","2","3","4","4","1"
"2011","EE",7041,117.21209693571,"NA","2","2011","19","1",1984,"1","1","1","EE","1","5","3","5","NA","2","2","NA","3","NA","7","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","3","2","3","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",26,704,"1","2","181.418","NA","NA","2","1","NA","NA","1","NA","2","NA","NA","NA","1","2","7","NA","NA","6","NA","NA","NA"
"2011","EE",7091,117.21209693571,"NA","1","2011","NA","3",1941,"2","4","3","EE","2","NA","5","1","NA","NA","NA","NA","3","82","3","40","NA","q","NA","11","1","2","2","NA","1","16","2","2","3","2","NA","2","NA",0,96,3806,0,0,551,1,0,0,0,0,5493,0,0,0,0,1,"1",69,709,"1","6","249.6789","1","NA","NA","1","1926","NA","2","NA","1","1","3","3","1","2","2","1","2","NA","4","5","1"
"2011","EE",7111,117.21209693571,"NA","1","2011","22","1",1930,"2","4","3","Other","2","NA","1","7","NA","NA","2","NA","3","NA","8","40","NA","NA","NA","NA","1","2","NA","NA","NA","16","4","2","3","2","NA","2","NA",0,0,0,0,0,3635,1,0,0,0,0,3916,0,0,0,0,1,"1",80,711,"1","6","0","3","NA","NA","1","NA","1","NA","-1","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA"
"2011","EE",7131,117.21209693571,"NA","1","2011","8","4",1930,"1","2","3","EE","2","NA","1","7","NA","1","NA","NA","3","74","6","NA","NA","NA","NA","NA","2","2","1","NA","NA","17","3","1","2","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,4113,0,0,0,0,1,"1",80,713,"1","5","0","NA","NA","2","NA","NA","1","NA","1939","2","NA","NA","2","1","NA","NA","1","NA","3","NA","NA","2"
"2011","EE",7161,117.21209693571,"NA","2","2011","13","2",1952,"2","2","1","Other","2","NA","3","1","NA","1","NA","NA","3","91","9","NA","NA","b-e","NA","NA","2","2","NA","NA","NA","17","3","1","3","2","NA","2","NA",0,0,3195,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",58,716,"1","2","888.5411","NA","2","NA","0","NA","1","1","NA","NA","NA","1","2","NA","NA","7","NA","2","NA","3","NA","NA"
"2011","EE",7251,117.21209693571,"NA","1","2011","13","2",1930,"2","4","1","EE","2","NA","1","7","NA","1","2","NA","3","51","8","NA","NA","NA","NA","NA","1","2","NA","NA","NA","18","4","1","1","2","NA","2","NA",0,0,0,0,0,926,1,0,0,0,0,3214,0,0,0,0,1,"1",80,725,"1","3","176.7516","3","NA","NA","NA","NA","2","2","1953","2","NA","2","NA","1","NA","NA","1","2","8","NA","4","NA"
"2011","EE",7291,117.21209693571,"NA","2","2011","7","2",1963,"1","2","3","Other","2","NA","5","1","NA","NA","NA","NA","3","NA","7","45","NA","b-e","NA","5","1","2","NA","NA","NA","22","NA","2","3","2","2","2","NA",0,230,7845,161,0,8553,1,0,0,0,0,0,0,0,0,0,1,"1",47,729,"1","2","81.52277","3","NA","2","2","-1","1","1","1948","NA","1","NA","2","NA","NA","8","1","NA","5","5","4","1"
"2011","EE",7391,117.21209693571,"NA","1","2011","18","2",1935,"2","4","3","EE","2","NA","5","7","NA","1","2","NA","3","51","2","NA","NA","NA","NA","NA","1","2","NA","NA","NA","15","NA","1","3","1","NA","1","NA",0,0,0,0,0,0,1,0,0,0,0,4417,0,0,0,0,1,"1",75,739,"1","3","375.8205","1","NA","3","NA","NA","NA","2","NA","1","-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2011","EE",7711,117.21209693571,"NA","1","2011","15","1",1987,"1","1","3","EE","1","NA","3","6","NA","2","2","1","3","NA",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","2","NA","2","2","2","1",0,0,453,0,0,6293,1,1150,0,0,0,0,0,0,0,0,1,"1",23,771,"1","7","0","NA","2","1","NA","NA","2","1","-1","NA","1","NA","2","1","NA","NA","1","NA","4","-1","4","NA"
"2011","EE",8201,117.21209693571,"NA","1","2011","25","1",1938,"1","1","3","EE","2","NA","2","7","NA","1","NA","NA","3","72","8","28","NA","NA","NA","NA","1","2","NA","NA","NA","19","2","1","3","2","NA","2","NA",224,0,0,0,0,0,1,0,0,0,0,3841,0,0,0,0,1,"1",72,820,"1","6","348.8341","NA","3","1","NA","NA","NA","1","NA","NA","NA","3","NA","NA","NA","8","NA","NA","NA","NA","NA","1"
"2011","EE",8551,117.21209693571,"NA","1","2011","4","3",1934,"2","4","2","EE","2","NA","3","7","NA","1","2","NA","3","51","9","NA","NA","NA","NA","11","1","2","NA","NA","NA","20","3","2","2","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,4437,0,0,0,0,1,"1",76,855,"1","6","299.9351","1","NA","NA","2","1913","NA","NA","1934","NA","-1","1","3","NA","NA","NA","NA","2","NA","4","NA","1"
"2011","EE",8641,117.21209693571,"NA","2","2011","10","3",1987,"2","1","2","EE","1","NA","3","6","NA","1","2","NA","NA","93","5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","28","3","2","3","2","NA","2","NA",474,230,0,0,0,2641,1,276,0,0,0,0,0,0,0,888,1,"1",23,864,"1","7","231.5384","NA","NA","1","NA","NA","NA","NA","NA","NA","1","1","NA","NA","1","NA","1","2","NA","NA","NA","1"
"2011","EE",8791,117.21209693571,"NA","2","2011","13","2",1942,"2","2","1","EE","2","NA","3","7","NA","2","NA","NA","3","42","5","NA","NA","NA","NA","4","2","2","NA","NA","NA","16","NA","1","3","2","NA","1","1",0,0,0,0,0,1006,1,0,0,0,0,3322,0,0,0,0,1,"1",68,879,"1","6","0","3","2","1","NA","NA","NA","NA","NA","2","-1","NA","NA","NA","2","7","1","2","4","5","NA","NA"
"2011","EE",8881,117.21209693571,"NA","1","2011","11","3",1930,"2","4","1","EE","2","NA","1","7","NA","1","NA","NA","3","51","9","40","NA","NA","NA","NA","1","2","NA","NA","NA","17","2","1","2","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,4951,0,0,0,0,1,"1",80,888,"1","5","0","NA","3","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","5","NA"
"2011","EE",9461,117.21209693571,"NA","2","2011","10","3",1941,"2","4","3","EE","2","NA","3","7","NA","1","2","NA","3","83","3","40","NA","NA","NA","NA","1","2","NA","2","NA","16","4","1","3","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,4894,0,0,0,0,1,"1",69,946,"1","2","0","1","NA","NA","NA","NA","1","NA","NA","NA","2","NA","NA","NA","2","2","1","NA","8","NA","NA","NA"
"2011","EE",9481,117.21209693571,"NA","2","NA","26","4",1964,"1","5","3","Other","2","NA","4","3","NA","NA","NA","NA","3","23","6","40","NA","a","NA","13","1","1","2","NA","NA","18","2","2","3","2","NA","2","NA",0,0,27133,0,0,273,1,0,0,0,0,0,0,0,0,0,1,"1",46,948,"1","5","156.6993","NA","1","2","2","1924","1","NA","1936","1","1","2","2","1","2","8","NA","2","NA","4","4","NA"
"2011","EE",10041,117.21209693571,"NA","2","2011","2","4",1946,"1","1","3","EE","2","NA","5","7","NA","NA","2","NA","3","41","3","NA","NA","NA","2","11","2","2","NA","NA","4","17","NA","1","2","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,2750,0,0,0,0,1,"1",64,1004,"1","7","266.7836","3","4","2","2","1904","1","NA","NA","NA","2","NA","1","1","NA","NA","NA","2","NA","NA","3","NA"
"2011","EE",10551,117.21209693571,"NA","2","2011","16","1",1933,"2","4","3","EE","2","NA","3","2","NA","1","2","1","3","41","2","40","NA","p","NA","NA","1","2","NA","NA","NA","18","NA","2","3","2","NA","2","NA",0,0,1327,0,0,0,1,0,0,0,0,2895,0,0,0,0,1,"1",77,1055,"1","2","0","NA","NA","1","1","1945","1","NA","NA","NA","1","1","NA","1","2","8","NA","NA","8","NA","NA","NA"
"2011","EE",10621,117.21209693571,"NA","2","2011","12","2",1935,"2","2","1","EE","2","NA","5","7","NA","NA","2","NA","3","71","2","20","NA","NA","NA","13","1","2","NA","NA","NA","18","4","2","3","2","NA","2","NA",0,0,0,0,0,515,1,0,0,0,0,2794,0,0,0,0,1,"1",75,1062,"1","7","155.0617","NA","2","NA","NA","1913","NA","NA","1948","2","NA","NA","NA","NA","NA","7","NA","2","NA","NA","NA","1"
"2011","EE",10701,117.21209693571,"NA","1","2011","15","2",1930,"2","4","3","EE","2","NA","3","7","NA","1","2","NA","3","34","5","40","NA","NA","NA","13","1","2","2","NA","NA","24","3","1","1","2","2","2","NA",0,0,0,0,0,1384,1,0,0,0,0,4368,0,0,0,0,1,"1",80,1070,"1","2","90.54396","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","-1","NA","2","NA","5","3","1"
"2011","EE",10831,117.21209693571,"NA","1","2011","10","4",1938,"2","2","2","EE","2","NA","3","7","NA","NA","NA","NA","3","51","5","40","NA","NA","NA","13","1","2","NA","3","NA","17","3","1","3","2","NA","2","NA",0,0,0,0,0,2724,1,0,0,0,0,3712,0,0,0,0,1,"1",72,1083,"1","2","124.5141","3","2","NA","1","NA","NA","2","NA","NA","NA","1","3","1","NA","1","1","2","NA","NA","NA","NA"
"2011","EE",11211,117.21209693571,"NA","2","2011","11","2",1957,"2","2","1","EE","2","NA","3","1","NA","NA","NA","NA","3","21","7","40","NA","g","NA","13","1","2","NA","NA","NA","16","3","2","3","2","NA","2","1",3068,0,9185,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",53,1121,"1","3","197.5206","1","NA","2","NA","NA","2","NA","1941","1","2","NA","2","NA","NA","8","1","NA","8","4","4","1"
"2011","EE",11311,117.21209693571,"NA","2","2011","15","4",1930,"2","4","1","EE","2","NA","1","7","NA","NA","2","NA","3","51","8","NA","NA","NA","NA","5","1","2","2","NA","NA","19","2","2","2","2","NA","2","NA",0,0,0,0,0,456,1,0,0,0,0,5290,0,0,0,0,1,"1",80,1131,"1","2","0","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1"
"2011","EE",11641,117.21209693571,"NA","2","2011","10","3",1955,"2","1","1","Other","2","NA","5","5","NA","NA","NA","NA","3","32","9","40","NA","NA","NA","13","1","2","NA","NA","NA","20","4","1","2","2","NA","2","NA",0,0,0,0,0,0,1,0,2603,0,1601,0,0,0,0,0,1,"1",55,1164,"1","7","0","NA","NA","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","1"
"2011","EE",11671,117.21209693571,"NA","2","2011","3","3",1978,"2","2","1","EE","2","NA","3","1","NA","1","NA","NA","2","23","2","40","NA","p","NA","NA","1","2","NA","NA","NA","16","3","1","3","2","NA","2","NA",0,0,3892,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",32,1167,"1","6","0","NA","NA","NA","2","NA","NA","NA","NA","NA","2","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA"
