"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PX020","PX050","PX010"
"2004","EE",3831,139.830954169797,"NA","2","2004","20","2",1924,"2","5","1","EE","2","NA","5","5","NA","NA","2","1","NA","3","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","4","8","6","6","8","1","5","4","7","8","2","2","3","2","NA","2","1",0,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,1,383,"1",79,"1","15.6466"
"2004","EE",3881,139.830954169797,"NA","2","2004","10","4",1973,"1","NA","3","EE","2","NA","3","1","NA","NA","NA","NA","3","7","40","12","0","NA","k","NA","2","1","2","2","NA","NA","18","1","1","1","3","1","1","1","1","1","1","1","1","2","1","2","2","2","2","NA",0,0,0,4228,0,0,3029,0,0,0,0,0,0,0,0,1,388,"1",30,"1","15.6466"
"2004","EE",4341,139.830954169797,"NA","2","2004","10","1",1935,"2","5","3","EE","2","NA","2","5","NA","NA","2","NA","3","8","40","12","0","NA","NA","NA","12","1","2","2","NA","NA","20","1","1","1","1","1","2","1","1","1","1","1","1","3","1","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,2620,0,0,0,0,1,434,"1",68,"1","15.6466"
"2004","EE",4401,139.830954169797,"NA","2","2004","NA","4",1925,"2","2","1","EE","2","5","2","5","NA","NA","NA","NA","3","9","40","9","0","NA","NA","NA","13","1","1","2","NA","NA","20","1","1","1","1","1","1","5","5","1","1","1","1","2","2","3","2","NA","2","NA",1406,0,0,0,0,0,0,0,0,0,2529,0,0,0,0,1,440,"1",78,"1","15.6466"
"2004","EE",4461,139.830954169797,"NA","3","2004","25","1",1933,"1","1","1","EE","2","NA","2","5","NA","1","2","NA","NA","7","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","20","1","1","1","6","6","6","1","6","6","6","6","1","2","1","1","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,1623,0,0,0,0,1,446,"1",70,"1","15.6466"
"2004","EE",4521,139.830954169797,"NA","2","2004","20","2",1957,"1","5","1","EE","2","NA","3","1","NA","1","NA","NA","NA","7","NA","0","0","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","6","6","5","6","5","6","1","1","1","6","6","6","5","2","3","2","NA","1","NA",0,0,0,619,0,0,1510,0,0,0,0,19,0,0,0,1,452,"1",46,"1","15.6466"
"2004","EE",4541,139.830954169797,"NA","2","2004","NA","1",1946,"1",,"1",,"1","NA",,,"NA","1","2","1","NA",,"60","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","8","5","5","7","7","8","7","5","7","7","7","7","1","2","3","2","NA","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454,"1",57,"3","15.6466"
"2004","EE",4821,139.830954169797,"NA","3","2004","15","3",1979,"2","2","3","EE","2","NA","3","1","NA","NA","NA","NA","3","5","40","12","0","NA","g","NA","12","1","1","2","NA","NA","26","1","1","1","1","1","1","1","4","1","1","1","1","3","2","3","2","NA","2","1",0,0,2889,4943,0,0,0,0,0,0,0,0,0,0,0,1,482,"1",24,"1","15.6466"
"2004","EE",4951,139.830954169797,"NA","1","2004","15","4",1949,"2","4","3","Other","2","NA","5","1","NA","2","2","NA","NA","2","NA","0","0","NA","l-n","NA","NA","NA","2","NA","NA","NA","17","7","6","6","7","6","6","5","8","6","3","5","6","3","2","2","2","NA","1","NA",0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,1,495,"1",54,"1","15.6466"
"2004","EE",5081,139.830954169797,"NA","2","2004","20","2",1981,"1","1","3","EE","2","NA","3","4","NA","1","1","NA","3",,"NA","0","0","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","7","7","5","5","7","7","5","8","5","7","8","7","2","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508,"1",22,"3","15.6466"
"2004","EE",5161,139.830954169797,"NA","2","2004","17","4",1957,"2","5","3","Other","2","NA","5","1","NA","NA","NA","NA","3","5","40","12","0","NA","o","NA","12","NA","NA","2","NA","NA","16","1","1","1","1","1","1","1","1","1","1","1","1","2","1","3","2","NA","1","1",0,0,447,3418,0,0,0,0,0,0,0,0,0,0,0,1,516,"1",46,"1","15.6466"
"2004","EE",5451,139.830954169797,"NA","2","2004","29","3",1928,"2","5","2","EE","2","NA","3","6","NA","NA","2","NA","3","3","NA","0","0","NA","NA","NA","13","NA","NA","2","NA","NA","15","1","6","1","1","2","6","6","1","2","1","6","1","2","2","3","2","NA","1","1",0,376,0,0,0,0,0,0,0,0,0,0,0,1871,0,1,545,"1",75,"1","15.6466"
"2004","EE",5721,139.830954169797,"NA","1","2004","60","2",1934,"1","5","3","EE","2","NA","3","1","NA","NA","NA","NA","3","8","42","12","0","NA","i","NA","13","1","2","2","NA","NA","19","1","1","7","1","1","1","1","2","1","1","1","1","2","2","3","2","NA","2","NA",0,0,128,1085,0,0,0,0,0,0,1816,0,0,0,0,1,572,"1",69,"1","15.6466"
"2004","EE",6341,139.830954169797,"NA","1","2004","20","4",1944,"2","NA","3","EE","2","NA","3","5","NA","NA","NA","NA","3","4","4","12","0","NA","NA","NA","4","1","2","2","NA","NA","23","1","1","1","1","1","1","1","1","1","1","1","1","3","1","2","2","1","2","1",0,0,0,0,0,0,0,0,0,0,3261,0,0,0,0,1,634,"1",59,"3","15.6466"
"2004","EE",6391,139.830954169797,"NA","2","2004","15","2",1965,"1","NA","3","EE","2","NA","3","1","NA","NA","NA","NA","3","0 - 1","45","12","0","NA","i","NA","4","1","2","2","NA","NA","19","1","1","2","1","1","1","1","1","5","7","1","1","3","2","3","1","NA","2","1",0,0,0,13977,0,0,-1730,64,0,0,0,0,0,0,0,1,639,"1",38,"4","15.6466"
"2004","EE",6461,139.830954169797,"NA","3","2004","10","2",1937,"2","5","2","EE","2","NA","2","5","NA","1","2","NA","NA","9","NA","0","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","6","6","6","6","2","6","1","1","6","6","4","2","3","2","NA","2","NA",0,0,0,0,0,0,0,256,0,0,1520,0,0,0,0,1,646,"1",66,"1","15.6466"
"2004","EE",6721,139.830954169797,"NA","2","2004","10","2",1927,"2","4","3","Other","2","NA","2","5","NA","1","2","NA","3","3","NA","0","0","NA","NA","NA","NA","1","2","NA","NA","NA","15","1","1","1","1","1","6","1","6","6","6","6","1","4","2","2","2","NA","2","1",0,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,1,672,"1",76,"3","15.6466"
"2004","EE",6761,139.830954169797,"NA","2","2004","38","2",1974,"1",,"1",,"2","3",,,"NA","2","1","1","NA",,"50","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","22","7","7","7","5","7","5","7","5","7","5","7","8","3","2","3","2","NA","2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,676,"1",29,"3","15.6466"
"2004","EE",6781,139.830954169797,"NA","3","2004","10","3",1923,"2","4","1","EE","2","NA","2","5","NA","NA","2","NA","NA","9","NA","0","4","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","6","1","8","6","6","6","6","5","6","6","6","1","3","1","3","2","NA","2","NA",0,0,1917,0,0,0,0,0,0,0,1374,0,0,0,0,1,678,"1",80,"3","15.6466"
"2004","EE",6831,139.830954169797,"NA","2","2004","15","1",1926,"2","NA","3","EE","2","NA","3","5","NA","1","2","NA","3","8","40","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","22","6","6","1","6","6","6","1","6","6","1","1","6","3","2","2","2","NA","1","NA",0,0,320,0,0,160,0,0,0,0,1915,0,0,0,0,1,683,"1",77,"3","15.6466"
"2004","EE",6911,139.830954169797,"NA","2","2004","5","3",1982,"2","1","2","EE","2","NA","3","4","NA","1","NA","NA","NA","4","NA","7","0","NA","NA","NA","NA","1","NA","2","NA","NA","21","1","6","5","6","6","6","6","6","1","6","1","6","3","1","NA","2","NA","2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,1,691,"1",21,"4","15.6466"
"2004","EE",6951,139.830954169797,"NA","2","2004","15","1",1965,"1","2","3","EE","2","NA","5","1","NA","NA","NA","NA","3","2","40","12","0","NA","i","NA","13","1","2","2","NA","NA","18","1","1","1","1","1","1","1","1","1","1","5","1","2","2","3","2","NA","2","NA",0,0,0,27080,0,0,0,256,0,0,0,0,0,0,0,1,695,"1",38,"3","15.6466"
"2004","EE",7051,139.830954169797,"NA","2","2004","10","2",1932,"1","NA","3","EE","2","NA","2","5","NA","1","2","NA","NA","7","NA","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","6","6","6","6","5","1","6","6","5","6","7","6","2","1","3","1","NA","2","NA",0,0,0,0,0,81,0,0,0,0,340,0,0,0,0,1,705,"1",71,"1","15.6466"
"2004","EE",7351,139.830954169797,"NA","2","2004","15","1",1928,"2","4","3","Other","2","NA","3","5","NA","NA","NA","NA","3","3","40","12","0","NA","NA","NA","15","1","2","NA","NA","NA","20","1","1","1","1","1","1","1","1","1","1","1","6","3","1","2","2","NA","2","NA",0,0,0,0,0,0,727,0,0,0,1927,0,0,0,0,1,735,"1",75,"3","15.6466"
"2004","EE",7831,139.830954169797,"NA","2","2004","20","3",1923,"2","5","NA","EE","2","NA","5","5","NA","NA","NA","NA","3","2","40","0","0","NA","NA","NA","NA","1","2","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","2","1","4","2","2","2","NA","1","NA",0,0,0,0,0,0,0,0,0,0,2906,0,0,0,0,1,783,"1",80,"1","15.6466"
"2004","EE",8161,139.830954169797,"NA","2","2004","11","4",1968,"2","1","1","EE","2","NA","5","1","NA","1","NA","NA","3","2","50","12","0","NA","o","NA","13","1","2","2","NA","NA","26","1","1","1","1","1","1","1","1","1","1","1","6","3","1","2","2","NA","2","NA",0,0,0,10678,0,0,0,0,0,0,0,0,0,0,0,1,816,"1",35,"1","15.6466"
"2004","EE",8231,139.830954169797,"NA","2","2004","15","2",1923,"2","4","3","Other","2","NA","4","5","NA","NA","NA","NA","3","3","48","12","0","NA","NA","NA","5","1","2","NA","NA","NA","22","1","1","1","1","3","1","1","1","1","1","1","1","1","1","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,2683,0,0,0,0,1,823,"1",80,"3","15.6466"
"2004","EE",8391,139.830954169797,"NA","3","2004","15","4",1935,"2",,"3",,"1","2",,,"NA","1","2","NA","NA",,"2","0","0","NA",,"NA","NA","1","NA","NA","NA","NA","18","8","4","7","7","7","7","3","7","7","7","7","7","2","2","3","2","NA","1","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,839,"1",68,"1","15.6466"
"2004","EE",8461,139.830954169797,"NA","2","2004","20","3",1937,"2","2","1","EE","2","NA","3","5","NA","1","2","NA","3","7","NA","0","0","NA","NA","NA","15","NA","NA","NA","NA","NA","19","6","3","8","7","7","7","6","6","7","1","6","5","3","2","1","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,1,846,"1",66,"4","15.6466"
"2004","EE",9021,139.830954169797,"NA","2","2004","20","1",1923,"1","4","1","EE","2","NA","1","5","NA","1","2","1","3","9","NA","0","0","NA","NA","NA","NA","1","2","NA","NA","NA","18","5","5","5","7","5","6","5","8","6","2","6","6","3","2","2","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,977,0,0,0,0,1,902,"1",80,"4","15.6466"
"2004","EE",9581,139.830954169797,"NA","2","2004","10","4",1937,"1","2","1","EE","2","NA","1","1","NA","NA","NA","NA","NA","8","40","0","0","NA","b-e","NA","15","1","2","2","NA","NA","18","1","1","1","1","1","1","1","2","1","1","1","1","3","2","3","1","NA","2","1",0,0,0,4496,0,0,0,0,0,0,0,0,0,0,0,1,958,"1",66,"1","15.6466"
"2004","EE",10111,139.830954169797,"NA","2","2004","10","3",1931,"1",,"3",,"2","3",,,"NA","NA","2","NA","2",,"NA","0","0","NA",,"NA","1","NA","NA","NA","NA","NA","NA","7","7","3","5","7","9","8","7","5","8","8","7","2","2","3","2","NA","2","NA",511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1011,"1",72,"3","15.6466"
"2004","EE",10191,139.830954169797,"NA","2","2004","10","4",1946,"1","1","3","Other","2","3","3","6","NA","1","2","NA","3","8","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","18","6","5","5","6","7","6","6","6","6","1","6","6","4","1","3","2","NA","1","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,1,1019,"1",57,"1","15.6466"
"2004","EE",10321,139.830954169797,"NA","2","2004","10","1",1928,"2","5","1","EE","1","NA","3","5","NA","1","2","NA","3","3","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","20","7","6","6","1","8","5","6","6","3","8","1","8","3","2","3","2","NA","2","1",0,0,0,0,0,0,0,0,0,0,0,0,1420,0,0,1,1032,"1",75,"1","15.6466"
"2004","EE",10681,139.830954169797,"NA","3","2004","18","3",1949,"1","2","1","Other","2","NA","3","1","NA","NA","NA","NA","3","7","40","12","0","NA","f","NA","11","1","2","NA","NA","NA","17","1","3","2","1","1","1","1","1","1","1","1","1","3","2","2","2","NA","2","NA",0,0,0,2629,0,0,0,64,0,0,0,0,0,0,0,1,1068,"1",54,"1","15.6466"
"2004","EE",11091,139.830954169797,"NA","3","2004","20","1",1974,"1","2","2","EE","2","NA","3","1","NA","NA","NA","NA","3","7","40","12","0","NA","b-e","NA","13","NA","2","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","1","NA",0,0,0,4105,0,0,0,0,0,0,0,0,0,0,0,1,1109,"1",29,"1","15.6466"
"2004","EE",11451,139.830954169797,"NA","2","2004","40","4",1943,"1","2","1","EE","2","NA","3","1","NA","1","2","NA","NA","7","40","11","0","NA","f","NA","NA","NA","2","2","NA","NA","18","1","8","6","6","6","6","6","6","2","6","1","1","3","1","2","2","NA","2","NA",0,0,0,0,0,0,-466,0,0,0,0,0,0,2360,0,1,1145,"1",60,"4","15.6466"
"2004","EE",11661,139.830954169797,"NA","2","2004","15","2",1923,"2","NA","1","Other","2","NA","0","5","NA","NA","1","NA","3","7","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","NA","17","6","1","6","6","1","1","1","6","1","1","3","6","4","1","2","2","NA","2","1",0,0,0,0,0,0,0,0,0,0,1670,0,0,0,0,1,1166,"1",80,"1","15.6466"
"2004","EE",11691,139.830954169797,"NA","2","2004","12","3",1980,"2","1","1","EE","2","NA","3","1","NA","NA","NA","NA","3","6","50","12","0","NA","a","NA","13","1","2","2","NA","NA","22","1","1","1","1","3","8","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,0,4660,206,66,0,0,0,0,0,0,0,0,0,1,1169,"1",23,"1","15.6466"
"2004","EE",11741,139.830954169797,"NA","2","2004","10","3",1926,"1","2","1","EE","2","3","1","5","NA","1","NA","NA","3","9","NA","0","0","NA","NA","NA","NA","NA","NA","1","NA","NA","29","6","8","5","4","6","6","1","6","6","8","6","7","1","1","1","2","NA","2","1",0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,1,1174,"1",77,"1","15.6466"
"2004","EE",11851,139.830954169797,"NA","3","2004","20","3",1967,"2","NA","3","Other","2","3","5","8","NA","NA","2","NA","3","5","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","20","7","7","8","7","8","7","7","5","8","7","7","7","2","2","3","2","1","2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1185,"1",36,"3","15.6466"
"2004","EE",12181,139.830954169797,"NA","3","2004","15","4",1944,"2","5","3","EE","2","NA","3","5","NA","NA","NA","NA","3","9","40","12","0","NA","NA","NA","3","1","2","2","NA","NA","23","1","1","1","1","2","1","3","1","1","1","1","1","2","1","1","2","NA","2","NA",0,0,0,0,0,97,0,0,0,0,2922,0,0,0,0,1,1218,"1",59,"1","15.6466"
"2004","EE",12491,139.830954169797,"NA","2","2004","NA","2",1970,"1","2","3","EE","2","NA","5","1","NA","NA","NA","NA","3","3","40","12","0","NA","k","NA","12","1","2","2","NA","NA","22","1","1","1","1","1","1","1","1","1","1","1","3","2","2","3","2","NA","2","NA",1534,256,0,8887,0,0,0,192,0,0,0,0,0,0,0,1,1249,"1",33,"1","15.6466"
"2004","EE",12501,139.830954169797,"NA","3","2004","15","3",1968,"1","1","1","Other","2","NA","5","6","NA","NA","2","NA","3","5","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","18","1","6","6","1","1","6","6","6","6","5","6","8","1","1","3","2","NA","2","NA",0,0,0,0,0,0,300,0,0,0,0,0,0,532,0,1,1250,"1",35,"3","15.6466"
"2004","EE",12671,139.830954169797,"NA","2","2004","5","3",1976,"1","2","3","Other","2","NA","5","1","NA","NA","NA","NA","3","3","35","0","0","NA","i","NA","13","1","NA","2","NA","NA","15","1","1","1","1","6","1","1","1","1","8","1","1","2","2","1","2","NA","2","NA",0,0,0,1773,143,0,341,0,0,0,0,0,124,0,264,1,1267,"1",27,"1","15.6466"
"2004","EE",12851,139.830954169797,"NA","2","2004","16","4",1974,"1",,"1",,"2","5",,,"NA","1","2","NA","3",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","1","7","8","3","7","5","7","5","5","5","7","5","3","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1285,"1",29,"1","15.6466"
"2004","EE",12951,139.830954169797,"NA","1","2004","30","4",1980,"2","1","1","EE","2","NA","3","1","NA","1","2","NA","3","5","NA","0","0","NA","g","NA","NA","NA","NA","2","NA","NA","14","6","3","6","6","6","1","1","6","6","6","1","6","3","1","3","2","NA","1","NA",0,0,0,2226,0,0,0,0,0,0,0,0,0,0,0,1,1295,"1",23,"3","15.6466"
"2004","EE",12961,139.830954169797,"NA","2","2004","15","2",1974,"1","2","3","EE","2","3","3","1","NA","2","2","NA","NA","7","NA","0","0","NA","b-e","NA","NA","NA","NA","NA","NA","NA","NA","8","5","7","7","3","5","5","7","7","5","3","7","3","2","3","2","NA","1","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1296,"1",29,"1","15.6466"
"2004","EE",12971,139.830954169797,"NA","2","2004","40","2",1966,"1","2","2","EE","2","NA","3","1","NA","1","NA","NA","3","7","40","12","0","NA","b-e","NA","15","1","2","NA","NA","NA","22","1","1","5","1","1","1","1","1","1","1","1","1","3","2","3","1","NA","2","NA",0,0,0,2768,0,0,0,0,0,0,0,0,293,0,0,1,1297,"1",37,"1","15.6466"
"2004","EE",13031,139.830954169797,"NA","3","2004","35","1",1966,"1","2","1","EE","2","NA","3","1","NA","NA","NA","NA","3","3","40","0","0","12","b-e","NA","13","1","NA","2","NA","NA","17","NA","1","1","1","2","1","1","1","1","1","1","1","1","2","3","2","NA","2","NA",0,0,83,7103,0,0,0,0,0,0,0,0,0,0,0,1,1303,"1",37,"3","15.6466"
"2004","EE",13281,139.830954169797,"NA","2","2004","10","1",1975,"1","NA","1","EE","1","5","1","3","NA","2","2","NA","NA","8","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","5","7","7","7","7","8","5","8","5","8","5","1","2","3","1","NA","2","NA",0,0,128,0,0,161,0,0,0,0,0,0,0,0,0,1,1328,"1",28,"3","15.6466"
"2004","EE",13401,139.830954169797,"NA","2","2004","30","1",1923,"2","4","3","EE","2","NA","1","5","NA","1","2","NA","3","9","NA","12","0","NA","NA","NA","NA","NA","2","2","NA","NA","16","6","6","1","1","6","6","6","1","6","1","6","1","5","2","2","1","1","2","1",0,0,0,0,0,0,0,0,0,0,1691,0,0,0,0,1,1340,"1",80,"4","15.6466"
"2004","EE",13411,139.830954169797,"NA","2","2004","20","4",1933,"2","2","3","Other","2","NA","0","5","NA","2","1","NA","3","9","20","0","0","NA","NA","NA","12","1","NA","NA","NA","NA","22","6","3","1","2","8","5","5","6","5","6","1","8","3","2","2","1","6","2","NA",0,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,1,1341,"1",70,"3","15.6466"
"2004","EE",13611,139.830954169797,"NA","3","2004","20","4",1951,"2","2","1","Other","2","NA","3","1","NA","1","2","NA","NA","9","44","12","0","NA","b-e","NA","15","NA","NA","NA","NA","NA","18","1","6","1","6","6","1","1","1","8","6","6","1","3","1","2","2","1","1","NA",1534,0,77,1890,0,0,0,0,0,94,0,0,0,0,0,1,1361,"1",52,"1","15.6466"
"2004","EE",13681,139.830954169797,"NA","3","2004","10","3",1980,"1","1","3","EE","2","NA","3","1","NA","NA","NA","NA","3","3","40","12","0","NA","f","NA","NA","1","2","2","NA","NA","25","1","1","1","1","1","3","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,0,6998,0,0,0,0,0,0,0,0,0,0,0,1,1368,"1",23,"4","15.6466"
"2004","EE",14121,139.830954169797,"NA","3","2004","10","1",1936,"2","4","3","EE","2","NA","2","5","NA","1","NA","NA","NA","9","40","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","20","2","7","1","6","1","6","6","6","1","6","1","5","3","1","3","1","NA","1","NA",0,0,0,0,368,0,910,0,0,0,278,0,14,0,0,1,1412,"1",67,"4","15.6466"
"2004","EE",14701,139.830954169797,"NA","3","2004","15","2",1970,"2",,"1",,"1","3",,,"NA","1","2","NA","2",,"NA","0","0","NA",,"NA","5","NA","NA","NA","NA","NA","17","7","8","8","8","5","5","8","7","7","7","7","8","3","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1470,"1",33,"1","15.6466"
