"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","EE",260,"1","2011","11",2998,2721,0,0,,,,,,,,,0,0,0,0,0,,3,,0,1,98,,178,,"3","3","3","1","1","1","1","1","1","1","1","4","639.12","1","1","2","2","2","2","1","5","4","2","1","NA","NA","85","0","1","1",,"1",1,,,,,
"2011","EE",264,"2","2011","13",9447,8862,0,0,,,,,,,,,0,0,0,0,0,,3,,0,0,0,,585,,"NA","3","3","1","1","2","1","1","1","1","1","4","1300.03","2","NA","2","2","2","2","1","2","4","2","1","NA","NA","331.38","0","1","3",,"1",1,,,,,
"2011","EE",269,"1","2011","25",7072,6600,0,0,,,,,,,,,0,0,0,0,0,,0,,0,472,0,,0,,"NA","3","3","1","1","1","1","1","1","1","1","4","1277.98","2","NA","2","2","2","2","4","1","2","2","1","NA","NA","191.29","0","1","1",,"1",1,,,,,
"2011","EE",300,"1","2011","20",5315,5265,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,50,,"NA","3","3","2","1","2","1","1","1","1","3","4","703.03","2","NA","2","2","2","2","4","2","4","1","1","NA","NA","113.95","0","1","3",,"1",1,,,,,
"2011","EE",337,"1","2011","15",5306,5239,0,0,,,,,,,,,0,0,0,0,0,,0,,0,67,0,,0,,"NA","3","NA","2","2","2","1","1","1","1","1","2","600","2","NA","2","2","2","NA","4","1","3","2","1","NA","NA","198","0","1","1",,"1",1,,,,,
"2011","EE",339,"2","2011","17",0,-4018,0,0,,,,,,,,,0,0,0,0,0,,0,,0,104,3913,,0,,"NA","3","3","2","1","2","1","1","3","2","3","4","447.38","2","NA","2","2","2","2","1","5","5","1","1","NA","NA","63.4","0","1","1",,"1",1,,,,,
"2011","EE",401,"2","2011","19",5145,2978,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2167,0,,0,,"NA","3","2","2","1","2","1","1","1","1","1","2","1600.03","2","2","2","2","2","2","4","2","6","1","1","NA","NA","26.84","0","1","1",,"1",1,,,,,
"2011","EE",408,"2","2011","8",1475,20,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1455,0,,0,,"3","2","NA","2","1","2","1","1","1","1","1","5","499.98","2","NA","2","2","2","2","4","5","4","2","1","NA","NA","142.01","0","1","1",,"1",1,,,,,
"2011","EE",455,"1","2011","15",3492,3487,0,0,,,,,,,,,0,0,0,0,0,,0,,0,5,0,,0,,"NA","3","3","2","1","1","1","1","1","1","1","4","600","3","NA","2","2","1","2","4","1","3","2","1","NA","NA","81.93","106.86","1","1",,"1",1,,,,,
"2011","EE",462,"2","2011","18",4606,3599,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1007,0,,0,,"NA","3","NA","1","1","1","1","1","1","1","1","2","1597.79","2","1","2","2","2","2","4","2","6","1","1","NA","NA","125.91","0","3","1",,"1",1,,,,,
"2011","EE",468,"2","2011","13",3769,3684,0,0,,,,,,,,,0,0,0,0,0,,2,,0,1,0,,85,,"NA","3","NA","1","1","1","1","1","1","1","3","2","1500.01","2","NA","1","2","2","2","4","1","2","2","1","NA","NA","72.86","0","1","1",,"1",1,,,,,
"2011","EE",474,"1","2011","9",243,234,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9,,"NA","3","NA","2","1","2","1","1","1","1","1","2","3000.01","1","NA","2","1","2","1","2","5","4","2","1","NA","NA","132.11","0","1","1",,"1",1,,,,,
"2011","EE",476,"1","2011","19",3019,3011,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,8,,0,,"3","3","3","2","1","2","1","1","1","3","3","4","1500.01","2","2","2","2","2","2","4","1","5","2","1","NA","NA","123.99","0","1","1",,"1",1,,,,,
"2011","EE",490,"2","2011","8",2286,2272,0,0,,,,,,,,,0,0,0,0,0,,0,,0,14,0,,0,,"3","3","NA","2","1","1","1","2","1","1","1","3","1200.01","2","2","2","2","2","2","3","1","3","2","1","NA","NA","0","0","3","1",,"1",1,,,,,
"2011","EE",506,"2","2011","29",5401,4310,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2,147,,941,,"NA","3","NA","2","1","1","1","1","1","1","1","4","1800.01","3","NA","2","2","2","2","4","1","5","2","1","NA","NA","165.4","0","1","1",,"1",1,,,,,
"2011","EE",519,"2","2011","13",2822,2758,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2,0,,62,,"NA","3","NA","1","1","2","1","1","1","1","2","3","255.65","1","NA","2","2","2","2","1","1","5","2","1","NA","NA","120.47","0","1","1",,"1",1,,,,,
"2011","EE",533,"2","2011","24",7434,7334,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,98,,"3","3","3","2","1","1","1","1","1","1","1","3","1533.88","1","NA","2","2","1","2","4","2","3","2","1","NA","NA","111.01","0","1","1",,"1",1,,,,,
"2011","EE",541,"1","2011","13",1644,1630,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,14,,"NA","3","NA","2","1","1","1","1","3","1","1","4","349.98","3","NA","2","2","2","2","4","1","4","2","1","NA","NA","42.5","0","1","1",,"1",1,,,,,
"2011","EE",572,"1","2011","15",10469,6773,0,0,,,,,,,,,0,0,0,0,0,,0,,0,6,0,,3690,,"NA","3","NA","1","1","2","1","1","3","1","1","3","600","3","NA","2","2","2","2","1","1","1","2","1","NA","NA","429.55","0","1","1",,"1",1,,,,,
"2011","EE",600,"1","2011","8",15636,14148,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1488,0,,0,,"3","3","NA","1","2","1","1","1","1","1","1","3","1500.01","1","3","2","2","1","2","3","2","3","2","1","NA","NA","154.67","198.57","1","1",,"1",1,,,,,
"2011","EE",624,"2","2011","9",3073,3032,0,0,,,,,,,,,0,0,0,0,0,,0,,0,41,0,,0,,"NA","3","NA","2","1","2","1","1","1","1","2","3","3300.01","2","NA","2","1","2","2","4","1","4","2","1","NA","NA","321.6","61.1","1","1",,"1",1,,,,,
"2011","EE",665,"2","2011","12",13452,9971,0,0,,,,,,,,,0,0,0,0,0,,0,,0,3,0,,3478,,"3","3","3","2","1","1","1","1","1","1","1","3","5000","2","2","2","2","2","2","4","2","6","2","1","NA","NA","339.5","0","1","1",,"1",1,,,,,
"2011","EE",671,"2","2011","18",23483,21705,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1777,0,,0,,"3","3","3","2","1","1","1","1","1","1","1","2","600","2","1","2","2","2","2","1","1","4","2","1","NA","NA","58.99","14.51","1","1",,"1",1,,,,,
"2011","EE",678,"2","2011","11",4238,4223,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,15,,"NA","3","3","2","2","1","1","1","1","1","3","3","499.98","1","NA","2","2","2","2","4","1","3","2","1","NA","NA","46.59","0","1","1",,"1",1,,,,,
"2011","EE",679,"1","2011","15",6600,5516,0,0,,,,,,,,,0,0,0,0,0,,2,,0,1083,0,,0,,"3","3","3","1","1","1","1","1","1","1","1","5","1278.23","2","2","2","2","2","2","4","2","3","2","1","NA","NA","228.61","56.56","1","1",,"1",1,,,,,
"2011","EE",704,"1","2011","31",0,-2487,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2487,,"NA","3","NA","1","1","1","1","1","1","1","3","4","511.29","1","NA","2","2","2","1","4","1","4","2","1","NA","NA","134.28","0","1","1",,"1",1,,,,,
"2011","EE",709,"1","2011","27",9299,8417,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,881,,"NA","3","3","1","1","1","1","1","1","1","1","1","1022.97","2","3","2","2","1","2","3","2","4","1","1","NA","NA","284.92","0","3","1",,"1",1,,,,,
"2011","EE",711,"1","2011","10",3916,3904,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,12,,"3","3","NA","1","1","1","1","1","1","1","1","4","1000.03","3","2","2","2","2","2","4","2","4","2","1","NA","NA","238.97","0","1","1",,"1",1,,,,,
"2011","EE",713,"2","2011","23",4149,4071,0,0,,,,,,,,,0,0,0,0,0,,36,,0,0,0,,78,,"NA","3","NA","1","1","2","1","1","1","1","1","2","1600.03","2","NA","2","2","2","2","3","2","2","2","1","15.02","NA","81.93","100.47","1","1",,"1",1,,,,,
"2011","EE",716,"1","2011","89",3195,1682,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1513,0,,0,,"3","3","NA","1","1","1","1","1","1","1","1","4","900","1","3","2","2","2","1","3","5","3","2","1","NA","NA","52.98","0","1","1",,"1",1,,,,,
"2011","EE",725,"2","2011","16",3214,3205,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9,,"NA","3","NA","2","1","2","1","1","1","1","3","3","1278.23","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","131.79","0","1","1",,"1",1,,,,,
"2011","EE",729,"2","2011","24",7845,7371,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,474,,"3","3","3","1","1","2","1","1","3","2","2","2","1277.98","2","NA","2","1","2","2","3","5","5","2","1","NA","NA","108.97","0","1","1",,"1",1,,,,,
"2011","EE",739,"2","2011","25",4417,4394,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,23,,"NA","3","NA","1","1","1","1","1","3","1","3","3","499.98","2","NA","2","2","2","2","1","5","6","2","1","NA","NA","66.98","0","1","1",,"1",1,,,,,
"2011","EE",771,"2","2011","34",1204,956,0,0,,,,,,,,,0,0,0,750,0,,0,,0,37,0,,210,,"3","NA","NA","2","1","1","1","1","1","1","2","3","700.02","2","3","2","2","2","2","4","1","2","2","1","NA","NA","144.18","0","1","1",,"1",1,,,,,
"2011","EE",820,"1","2011","16",3841,1704,0,0,,,,,,,,,0,0,0,0,0,,1,,0,0,0,,2137,,"NA","3","NA","1","1","1","1","1","3","1","1","2","1000.03","3","NA","2","1","2","2","4","1","4","2","1","NA","NA","133.26","0","1","1",,"1",1,,,,,
"2011","EE",855,"2","2011","22",8403,8403,0,0,,,,,,,,,0,0,0,0,3966,,0,,0,0,0,,0,,"NA","3","3","2","1","2","1","1","3","1","1","5","1000.03","2","NA","2","1","2","2","1","2","5","2","1","76.69","NA","122.52","0","1","3",,"1",1,,,,,
"2011","EE",864,"1","2011","13",888,-286,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1175,,"NA","3","3","2","1","2","1","1","3","1","1","3","NA","2","NA","2","2","2","2","1","1","3","2","1","NA","NA","307.73","0","1","1",,"1",1,,,,,
"2011","EE",879,"2","2011","6",3322,3260,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,62,,"3","3","3","2","1","2","1","1","1","3","1","3","1000.03","3","NA","2","2","2","2","4","1","2","2","1","NA","NA","127.76","0","1","1",,"1",1,,,,,
"2011","EE",888,"1","2011","8",4953,4949,0,0,,,,,,,,,0,0,0,0,0,,2,,0,4,0,,0,,"3","3","3","2","1","2","1","1","1","1","1","2","400.02","1","NA","2","2","2","2","3","5","6","2","1","NA","NA","173.65","91.97","1","1",,"1",1,,,,,
"2011","EE",946,"1","2011","19",4894,4864,0,0,,,,,,,,,0,0,0,0,0,,1,,0,4,0,,26,,"3","3","3","1","1","1","1","3","1","1","1","3","1150.03","2","2","2","2","2","2","4","2","5","2","1","NA","NA","157.03","0","1","1",,"1",1,,,,,
"2011","EE",948,"1","2011","28",29120,29086,0,0,,,,,,,,,0,1987,0,0,0,,0,,0,34,0,,0,,"2","3","3","1","2","1","1","1","1","1","1","4","1000.03","1","NA","2","2","2","2","1","1","3","2","1","NA","NA","313.42","229.19","1","1",,"1",1,,,,,
"2011","EE",1004,"2","2011","21",3087,3587,0,0,,,,,,,,,0,0,0,0,336,,0,,0,48,0,,-548,,"NA","3","3","1","1","2","1","1","1","1","1","3","1917.35","2","NA","2","2","2","2","1","5","3","2","1","NA","NA","83.98","0","3","1",,"1",1,,,,,
"2011","EE",1055,"2","2011","13",4225,3238,0,0,,,,,,,,,0,0,0,0,0,,4,,0,0,0,,988,,"NA","3","NA","1","1","2","1","1","1","1","2","5","1200.01","1","1","2","2","2","1","4","2","6","2","1","NA","NA","68.13","0","1","1",,"1",1,,,,,
"2011","EE",1062,"2","2011","34",2794,2402,0,0,,,,,,,,,0,0,0,0,0,,0,,0,391,0,,0,,"NA","3","3","2","2","1","1","1","3","1","3","1","1000.03","2","3","2","2","2","2","4","1","2","2","1","NA","NA","163.74","0","1","1",,"1",1,,,,,
"2011","EE",1070,"1","2011","15",4368,4365,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,,"NA","3","NA","2","1","2","1","1","1","1","1","3","739.97","2","2","2","2","2","2","1","5","5","2","1","230.02","NA","51.58","0","1","1",,"1",1,,,,,
"2011","EE",1083,"1","2011","12",3712,3720,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,-8,,"NA","3","NA","1","1","1","1","1","1","1","3","6","1699.99","NA","NA","2","2","2","2","3","2","3","2","1","NA","NA","71.58","198.57","1","1",,"1",1,,,,,
"2011","EE",1121,"2","2011","11",9186,8341,0,0,,,,,,,,,0,0,0,0,0,,0,,0,30,0,,814,,"NA","3","3","1","1","2","1","1","2","1","1","4","NA","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","152.24","0","3","1",,"1",1,,,,,
"2011","EE",1131,"1","2011","20",5290,5286,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4,,"NA","3","NA","2","1","1","1","1","1","1","1","1","1000.03","2","NA","2","2","2","1","NA","3","3","2","1","NA","NA","76.95","0","1","1",,"1",1,,,,,
"2011","EE",1164,"1","2011","11",4204,4185,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,19,,"NA","3","NA","1","1","1","1","1","1","1","3","2","1000.03","1","NA","2","2","2","2","4","1","4","2","1","NA","NA","85.07","243.76","1","3",,"1",1,,,,,
"2011","EE",1167,"2","2011","22",3894,3883,0,0,,,,,,,,,0,0,0,0,0,,2,,0,0,0,,11,,"NA","2","NA","1","1","1","1","1","1","1","1","1","1999.99","1","1","2","2","2","2","4","1","2","2","1","NA","NA","182.15","0","1","1",,"1",1,,,,,
"2011","EE",1202,"1","2011","10",3009,2970,0,0,,,,,,,,,0,0,0,0,0,,0,,0,39,0,,0,,"NA","3","NA","1","1","1","1","1","3","1","1","4","600","1","2","2","2","2","2","2","5","4","1","1","NA","NA","95.36","0","1","1",,"1",1,,,,,
"2011","EE",1225,"1","2011","15",3429,3262,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,167,,"NA","3","NA","1","1","1","1","1","1","1","1","2","511.29","3","3","2","2","2","2","4","3","4","2","1","NA","NA","88.01","0","1","1",,"1",1,,,,,
"2011","EE",1226,"1","2011","21",3972,2633,0,0,,,,,,,,,0,0,0,1444,0,,0,,0,0,0,,1339,,"NA","1","NA","2","1","2","1","1","1","1","1","2","1000.03","1","NA","2","2","1","2","4","1","3","2","1","NA","NA","6.71","173.52","1","1",,"1",1,,,,,
"2011","EE",1232,"1","2011","21",5078,5068,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10,,"NA","3","3","2","1","2","1","1","1","1","1","4","638.99","1","1","1","2","2","2","1","1","3","2","1","NA","NA","629.02","0","1","1",,"1",1,,,,,
"2011","EE",1244,"2","2011","16",8516,8096,0,0,,,,,,,,,0,0,0,186,0,,0,,0,0,0,,420,,"3","3","NA","2","1","1","1","1","1","1","1","3","1999.99","3","NA","2","2","2","2","1","2","3","2","1","NA","NA","134.85","0","1","1",,"1",1,,,,,
"2011","EE",1278,"1","2011","14",5613,4708,0,0,,,,,,,,,0,0,0,0,0,,0,,0,8,154,,743,,"3","3","NA","2","1","2","1","1","1","1","1","2","1277.98","2","2","2","2","2","2","1","2","2","2","2","NA","NA","238.13","149.74","1","1",,"1",1,,,,,
"2011","EE",1310,"1","2011","13",5052,5023,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,29,,"NA","3","NA","2","1","1","1","1","3","1","1","2","499.98","2","NA","2","2","2","2","1","1","5","2","1","NA","NA","230.72","99.06","3","1",,"1",1,,,,,
"2011","EE",1311,"1","2011","18",3947,3942,0,0,,,,,,,,,0,0,0,0,0,,3,,0,6,0,,0,,"3","3","NA","2","1","2","1","1","1","1","1","3","1200.01","1","2","2","2","2","2","3","5","3","2","1","NA","NA","130.57","190.46","1","1",,"1",1,,,,,
"2011","EE",1329,"2","2011","21",2288,2280,0,0,,,,,,,,,0,0,0,0,0,,0,,0,7,0,,0,,"NA","2","3","2","1","1","1","1","1","1","1","4","700.02","2","1","2","1","2","2","4","2","4","2","1","NA","NA","146.93","0","1","1",,"1",1,,,,,
"2011","EE",1348,"2","2011","27",3054,3042,0,0,,,,,,,,,0,0,0,0,0,,6,,0,0,0,,12,,"3","3","NA","1","1","1","1","1","1","1","1","5","1500.01","3","3","2","1","2","1","3","2","3","2","1","NA","NA","243.38","479.21","1","1",,"1",1,,,,,
"2011","EE",1358,"1","2011","16",2141,2127,0,0,,,,,,,,,0,0,0,0,0,,7,,0,0,0,,14,,"NA","2","3","2","1","1","1","1","1","1","2","2","1000.03","2","1","2","2","2","2","1","2","5","2","1","NA","NA","98.94","0","1","1",,"1",1,,,,,
"2011","EE",1361,"2","2011","18",4576,1587,0,0,,,,,,,,,0,0,0,0,0,,1,,0,0,0,,2989,,"NA","3","3","1","1","2","1","1","1","1","1","3","1500.01","2","NA","2","2","2","2","2","1","4","2","1","NA","NA","103.92","0","1","1",,"1",1,,,,,
"2011","EE",1367,"1","2011","17",3758,3736,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,22,,"NA","3","3","1","1","2","1","1","1","3","1","3","1200.01","1","2","1","2","2","2","3","5","6","2","1","NA","NA","147.44","0","1","1",,"1",1,,,,,
"2011","EE",1394,"2","2011","9",1569,164,0,0,,,,,,,,,0,0,0,0,0,,0,,0,4,0,,1400,,"NA","3","3","2","1","1","1","1","3","1","3","4","900","3","NA","1","2","1","1","4","3","5","2","1","19.81","NA","211.23","0","1","1",,"1",1,,,,,
"2011","EE",1405,"2","2011","28",11201,8729,125,125,,,,,,,,,125,0,0,0,0,,0,,0,25,0,,2447,,"NA","3","3","1","1","1","1","1","1","1","1","3","1600.03","2","3","2","2","2","1","3","2","3","2","1","NA","NA","236.92","58.03","1","1",,"1",1,,,,,
"2011","EE",1407,"2","2011","26",15403,14513,0,0,,,,,,,,,0,0,0,0,0,,22,,0,24,0,,866,,"3","3","2","1","1","2","1","1","1","1","2","6","1597.79","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","52.98","110.44","1","1",,"1",1,,,,,
"2011","EE",1428,"2","2011","12",8505,8444,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,61,,"3","3","NA","2","1","1","1","1","1","1","1","3","1900.03","1","1","2","2","2","2","4","5","5","2","1","NA","NA","221.01","100.47","1","1",,"1",1,,,,,
"2011","EE",1435,"1","2011","32",2775,2739,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,36,,"NA","3","NA","1","2","1","1","1","1","3","1","3","900","3","2","2","1","2","2","3","1","5","2","2","41.54","NA","64.3","0","1","1",,"1",1,,,,,
"2011","EE",1481,"1","2011","12",3406,3379,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,27,,"3","1","NA","1","1","1","1","1","1","1","2","3","1500.01","1","NA","2","1","2","2","1","2","3","2","1","NA","NA","90.05","0","3","3",,"1",1,,,,,
"2011","EE",1502,"1","2011","15",3125,2298,0,0,,,,,,,,,0,0,0,0,0,,0,,0,828,0,,0,,"3","3","3","1","1","2","1","1","1","1","1","3","1278.23","2","NA","2","2","2","2","3","2","3","1","1","NA","NA","236.15","0","1","1",,"1",1,,,,,
"2011","EE",1543,"1","2011","20",3261,3222,0,0,,,,,,,,,0,0,0,0,0,,0,,0,26,0,,14,,"3","3","NA","1","1","2","1","1","1","1","2","4","600","1","3","2","2","2","2","4","5","3","2","1","NA","NA","260.7","0","1","1",,"1",1,,,,,
"2011","EE",1547,"2","2011","29",2320,397,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1923,0,,0,,"2","3","NA","1","1","1","1","1","1","1","1","4","1280.02","3","3","2","2","2","2","4","2","5","2","1","NA","NA","100.02","115.74","1","1",,"1",1,,,,,
"2011","EE",1582,"1","2011","24",0,-415,0,0,,,,,,,,,0,0,0,0,0,,0,,0,50,0,,365,,"NA","3","3","2","1","2","1","1","1","1","1","5","600","3","1","2","2","2","2","1","2","3","2","1","NA","NA","77.33","0","1","3",,"1",1,,,,,
"2011","EE",1609,"2","2011","22",16383,13969,0,0,,,,,,,,,0,0,0,0,0,,1,,0,0,0,,2414,,"NA","3","3","2","1","1","1","1","1","1","3","3","1999.99","1","3","2","2","2","2","4","1","3","2","1","NA","NA","210.97","0","1","1",,"1",1,,,,,
"2011","EE",1667,"1","2011","22",5660,4342,0,0,,,,,,,,,0,0,0,0,0,,0,,0,5,0,,1313,,"NA","3","NA","2","1","1","1","1","1","1","1","4","1699.99","1","3","2","2","2","2","4","3","2","2","1","NA","NA","65.51","0","1","1",,"1",1,,,,,
"2011","EE",1670,"1","2011","18",6594,6160,0,0,,,,,,,,,0,0,0,0,0,,1,,0,119,0,,316,,"3","3","NA","1","1","1","1","1","1","1","1","3","1200.01","3","3","2","2","2","2","4","1","3","2","1","NA","NA","147.44","0","3","1",,"1",1,,,,,
"2011","EE",1694,"1","2011","9",5384,5373,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,10,,"3","3","NA","2","1","1","1","1","3","1","2","4","511.29","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","88.13","0","1","1",,"1",1,,,,,
"2011","EE",1696,"1","2011","17",6125,6121,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4,,"NA","1","3","2","1","1","1","1","1","3","1","3","1399.98","2","NA","2","2","1","2","4","3","3","2","1","NA","NA","122.71","0","1","1",,"1",1,,,,,
"2011","EE",1709,"1","2011","14",3684,3595,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,89,,"3","3","NA","2","1","1","1","1","1","1","1","4","1300.03","3","NA","2","2","2","2","4","1","2","1","1","NA","NA","499.28","0","1","1",,"1",1,,,,,
"2011","EE",1713,"1","2011","12",3221,2851,0,0,,,,,,,,,0,0,0,0,0,,0,,0,44,0,,326,,"NA","3","NA","1","1","2","1","3","3","1","1","3","1000.03","2","NA","2","2","2","2","4","1","3","1","1","NA","NA","84.94","0","1","1",,"1",1,,,,,
"2011","EE",1722,"1","2011","15",4189,4164,0,0,,,,,,,,,0,0,0,0,0,,3,,0,0,0,,25,,"NA","3","3","2","1","2","1","1","1","1","3","1","300","2","NA","2","1","2","2","4","1","2","2","1","NA","NA","60.2","0","1","1",,"1",1,,,,,
"2011","EE",1723,"2","2011","15",11707,10515,0,0,,,,,,,,,0,0,0,0,0,,0,,0,498,0,,694,,"NA","3","1","1","1","1","1","1","2","1","3","4","1999.99","2","1","2","2","2","2","2","1","2","2","1","NA","NA","313.42","0","1","1",,"1",1,,,,,
"2011","EE",1772,"2","2011","31",6040,2893,0,0,,,,,,,,,0,0,0,0,0,,0,,0,297,0,,2850,,"NA","3","3","1","1","1","1","1","1","1","1","5","958.67","2","2","2","2","2","2","4","1","5","2","1","NA","NA","208.99","0","1","1",,"1",1,,,,,
"2011","EE",1794,"2","2011","35",3171,3151,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,19,,"3","3","NA","2","1","2","1","1","1","1","3","3","1500.01","3","NA","2","2","2","2","1","5","3","2","1","NA","NA","182.15","0","1","1",,"1",1,,,,,
"2011","EE",1796,"2","2011","19",0,-34,0,0,,,,,,,,,0,0,0,0,0,,0,,0,34,0,,0,,"NA","3","NA","2","1","2","1","1","1","1","1","2","600","1","NA","2","2","2","2","4","1","2","2","1","NA","NA","183.68","0","1","1",,"1",1,,,,,
