"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD010","PD020","PD030","PD040","PD050","PD060","PD070","PX030","PX040","PL031","pl070","pl070_f","pl072","pl072_f","PX020","PX050","PX010","PL110","PL111"
"2009","EE",2601,117.726082578046,"NA","2","2009","6","4",1939,"2","5","3","EE","2","NA","3","NA","NA","1","NA","NA","3","6","NA","NA","NA","NA","1","2","NA","NA","10","17","8","6","1","NA","6","6","6","1","2","8","1","6","2","1","2","2","NA","2","NA",0,0,0,320,0,0,2442,1,0,0,0,0,0,2791,0,0,0,0,1,"1","1","1","NA","1","1","2",260,"1","7",,,,,69,"7","1",,"NA"
"2009","EE",2641,117.726082578046,"NA","2","2009","17","3",1954,"1","3","1","Other","1","NA","3","NA","NA","1","2","2","3","8","40","NA","NA","NA","1","2","2","NA","NA","21","1","6","1","1","1","1","6","1","6","1","6","8","3","2","2","2","NA","2","NA",0,0,15,5456,0,0,1472,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","2","1","1","1",264,"1","1",,,,,54,"2","1",,"b-e"
"2009","EE",2681,117.726082578046,"NA","2","2009","32","1",1935,"2","4","1","EE","2","NA","3","NA","NA","NA","NA","NA","3","8","NA","NA","NA","NA","NA","2","2","NA","4","24","6","1","6","1","8","1","6","4","8","6","6","6","4","1","2","1","NA","2","NA",45,0,0,0,0,0,2001,1,0,0,114,0,0,3556,0,0,0,0,1,"1","1","1","3","2","3","1",268,"1","7",,,,,73,"2","1",,"NA"
"2009","EE",3001,117.726082578046,"NA","1","2009","2","2",1959,"1","1","3","EE","2","NA","3","NA","NA","1","NA","NA","3","7","NA","NA","NA","NA","1","2","2","1","1","NA","2","1","1","6","1","6","1","6","1","6","1","8","4","1","3","2","NA","2","NA",1007,78,45,0,0,0,0,1,0,5953,87,0,0,0,0,0,0,0,1,"1","1","1","1","1","1","1",300,"1","3",,,,,49,"7","1",,"f"
"2009","EE",3361,117.726082578046,"NA","2","2009","12","1",1964,"2","4","3","EE","2","NA","3","NA","NA","NA","NA","NA","3","4","NA","NA","NA","NA","NA","2","2","NA","NA","18","1","1","1","1","1","1","1","1","1","1","1","1","3","1","3","2","NA","2","NA",0,0,0,6539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","3","1","3","1",336,"1","1",,,,,44,"2","1",,"p"
"2009","EE",3381,117.726082578046,"NA","2","2009","10","1",1984,"1","1","2","EE","2","NA","4","NA","NA","NA","1","NA","3","2","NA","NA","NA","12","1","2","2","NA","NA","21","1","3","4","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","2",0,0,101,6986,2686,2462,746,1,0,0,0,0,0,0,0,0,0,0,1,"3","1","1","1","1","3","1",338,"1","1",,,,,24,"7","1",,"b-e"
"2009","EE",4011,117.726082578046,"NA","1","2009","16","1",1936,"2","2","1","EE","2","NA","3","NA","NA","1","NA","NA","3","2","40","NA","NA","13","1","2","2","NA","NA","21","1","6","1","6","1","6","6","6","6","6","1","1","2","2","2","2","NA","2","NA",0,0,0,0,0,0,2015,1,0,0,0,0,0,3981,0,0,0,0,1,"1","1","1","2","1","1","1",401,"1","7",,,,,72,"2","1",,"NA"
"2009","EE",4071,117.726082578046,"NA","1","2009","14","2",1968,"1","1","3","EE","2","NA","3","NA","NA","1","NA","NA","3","9","45","NA","NA","13","1","NA","2","NA","NA","21","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,173,37023,0,0,4518,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","3","5","1","1","3",407,"1","1",,,,,40,"2","1",,"l-n"
"2009","EE",4551,117.726082578046,"NA","NA","2009","26","3",1930,"1","1","1","EE","2","NA","3","NA","NA","1","2","NA","3","7","NA","NA","NA","NA","1","2","NA","NA","NA","20","6","6","8","6","6","6","6","5","8","1","6","6","2","1","3","2","NA","2","NA",0,0,0,0,0,0,0,1,0,0,0,0,0,2354,0,0,0,0,1,"1","1","1","3","1","1","1",455,"1","7",,,,,78,"2","1",,"NA"
"2009","EE",4611,117.726082578046,"NA","2","2009","9","1",1972,"1","3","3","EE","2","NA","3","NA","NA","NA","NA","NA","3","8","40","NA","NA","11","1","2","2","NA","NA","19","1","1","1","1","1","1","1","1","6","1","5","1","NA","1","3","2","NA","2","NA",0,0,0,7591,0,0,3792,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","2","1","1","1",461,"1","1",,,,,36,"7","1",,"b-e"
"2009","EE",4671,117.726082578046,"NA","1","2009","7","3",1974,"2","2","3","EE","1","NA","5","NA","NA","NA","NA","NA","3","2","48","NA","NA","13","1","2","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","1","1","2","1","3","2","NA","2","NA",362,0,0,6799,202,0,0,1,0,0,90,0,0,0,0,259,0,0,1,"1","1","1","2","3","NA","1",467,"1","1",,,,,34,"7","1",,"j"
"2009","EE",4731,117.726082578046,"NA","1","2009","3","1",1939,"2","1","1","EE","2","NA","5","NA","NA","NA","NA","NA","3","2","40","NA","NA","12","1","1","2","NA","NA","20","1","1","1","1","1","2","1","1","1","6","1","1","2","2","2","2","NA","2","NA",0,0,111,3212,0,0,0,1,0,0,124,0,0,3372,0,0,0,0,1,"1","1","1","3","1","1","1",473,"1","2",,,,,69,"2","1",,"p"
"2009","EE",4761,117.726082578046,"NA","1","2009","13","4",1936,"2","4","3","EE","2","NA","2","NA","NA","1","NA","1","2","9","NA","NA","NA","NA","1","2","NA","NA","NA","16","1","6","1","2","2","6","6","3","5","1","1","6","3","2","2","2","NA","2","NA",0,0,0,0,0,0,0,1,0,0,0,0,0,4833,0,0,0,0,1,"1","1","1","3","2","3","1",476,"1","7",,,,,72,"2","1",,"NA"
"2009","EE",4901,117.726082578046,"NA","1","2009","4","2",1945,"1","2","1","EE","2","NA","3","NA","NA","NA","NA","NA","3","9","35","NA","NA","13","1","1","1","NA","NA","18","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","NA","NA","2","NA",0,0,0,8894,0,0,0,1,0,0,39,0,0,3706,0,0,0,0,1,"3","1","1","1","1","1","2",490,"1","1",,,,,63,"2","1",,"b-e"
"2009","EE",5051,117.726082578046,"NA","1","2009","11","3",1945,"2","2","2","EE","2","NA","2","NA","NA","1","NA","NA","3","8","40","NA","NA","2","1","1","NA","NA","NA","18","1","1","1","1","1","2","1","3","1","6","3","1","3","1","3","2","NA","2","NA",0,0,0,0,0,0,4490,1,0,0,0,0,0,3715,0,0,0,0,1,"1","1","1","4","1","1","1",505,"1","7",,,,,63,"2","1",,"NA"
"2009","EE",5191,117.726082578046,"NA","2","2009","16","3",1928,"2","5","1","Other","2","NA","1","NA","NA","1","2","NA","3","9","NA","NA","NA","NA","1","2","NA","NA","NA","18","6","1","6","6","1","6","6","1","6","5","6","6","3","1","3","2","NA","2","NA",0,0,0,0,0,0,81,1,0,0,0,0,0,3023,0,0,0,0,1,"3","1","1","1","1","1","1",519,"1","7",,,,,80,"7","1",,"NA"
"2009","EE",5321,117.726082578046,"NA","1","2009","19","2",1967,"2","2","1","EE","2","NA","3","NA","NA","1","2","NA","3","7","NA","NA","NA","13","1","2","2","NA","NA","19","2","6","7","6","1","1","8","8","6","1","1","1","3","2","3","2","NA","2","NA",0,0,12,5357,0,0,2167,1,0,0,101,0,203,0,0,0,0,0,1,"3","1","1","3","1","1","1",532,"1","5",,,,,41,"7","1",,"NA"
"2009","EE",5411,117.726082578046,"NA","1","2009","8","4",1942,"1","2","3","EE","2","NA","2","NA","NA","NA","NA","NA","3","9","40","NA","NA","12","1","2","NA","NA","NA","22","1","1","1","1","3","1","1","1","1","1","1","1","NA","2","3","2","NA","2","NA",0,0,0,3674,99,0,9413,1,0,0,0,0,0,4008,0,0,0,0,1,"1","1","1","3","1","1","1",541,"1","2",,,,,66,"2","1",,"r-u"
"2009","EE",5711,117.726082578046,"NA","NA","2009","16","3",1982,"1","2","1","EE","2","NA","3","NA","NA","NA","1","NA","3","7","10","NA","NA","12","1","2","NA","NA","NA","20","1","1","1","1","1","1","1","2","1","1","1","1","3","2","3","2","NA","2","NA",1534,0,0,799,0,0,2167,1,0,4384,118,0,186,0,0,0,892,0,1,"1","1","1","3","1","1","1",571,"1","3",,,,,26,"6","1",,"f"
"2009","EE",5991,117.726082578046,"NA","1","2009","4","4",1932,"2","5","1","EE","2","NA","1","NA","NA","NA","NA","NA","3","9","40","NA","NA","13","1","2","NA","NA","NA","22","1","6","1","2","6","1","7","3","6","3","1","6","NA","1","2","2","NA","1","NA",1598,383,0,0,0,0,1203,1,0,0,131,0,0,4183,0,0,0,0,1,"1","1","1","3","1","1","1",599,"1","7",,,,,76,"6","1",,"NA"
"2009","EE",6231,117.726082578046,"NA","2","2009","10","4",1936,"2","4","1","Other","2","NA","3","NA","NA","1","2","NA","NA","9","40","NA","NA","12","1","NA","2","NA","NA","19","1","6","1","1","2","6","1","6","1","1","1","6","NA","1","2","2","NA","2","NA",0,0,0,0,0,0,2830,1,0,31,0,0,0,5216,0,0,0,0,1,"1","1","1","2","1","1","1",623,"1","7",,,,,72,"6","1",,"NA"
"2009","EE",6641,117.726082578046,"NA","2","2009","10","3",1928,"2","4","1","EE","2","NA","2","NA","NA","NA","2","NA","3","5","NA","NA","NA","NA","1","2","2","NA","NA","20","6","6","6","1","6","6","3","6","6","8","8","2","4","1","1","2","NA","2","NA",0,0,61,159,0,0,5050,1,0,0,167,0,0,2892,0,0,0,0,1,"1","1","1","3","1","1","1",664,"1","7",,,,,80,"6","1",,"NA"
"2009","EE",6701,117.726082578046,"NA","2","2009","5","3",1940,"2","4","1","Other","1","5","3","NA","NA","1","2","NA","NA","8","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","8","7","5","8","7","7","7","1","8","5","7","7","2","2","3","2","2","2","NA",1406,0,0,0,0,0,890,1,0,28,51,0,0,1707,0,0,0,0,1,"1","1","1","5","1","3","1",670,"1","7",,,,,68,"NA","1",,"NA"
"2009","EE",6771,117.726082578046,"NA","2","2009","9","2",1928,"2","2","1","EE","2","NA","2","NA","NA","1","2","NA","NA","7","NA","NA","NA","NA","1","2","NA","NA","NA","22","6","8","1","7","6","6","6","1","6","8","6","6","2","1","2","2","NA","2","NA",0,0,80,0,0,0,0,1,0,0,0,0,0,3509,0,0,0,0,1,"1","1","1","2","1","1","1",677,"1","7",,,,,80,"7","1",,"NA"
"2009","EE",6791,117.726082578046,"NA","1","2009","12","4",1946,"1","2","1","EE","2","NA","3","NA","NA","NA","NA","NA","3","7","40","NA","NA","1","NA","2","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",115,96,0,4005,0,0,3507,1,0,2207,0,0,0,0,0,0,0,0,1,"1","1","1","3","2","2","1",679,"1","3",,,,,62,"6","1",,"b-e"
"2009","EE",7041,117.726082578046,"NA","1","2009","5","4",1928,"2","2","1","EE","2","NA","1","NA","NA","1","2","NA","3","5","40","NA","NA","1","1","NA","2","NA","NA","20","6","6","6","6","1","1","1","1","1","6","1","2","2","2","3","2","NA","2","NA",0,0,84,2001,0,0,2830,1,0,0,271,0,0,2185,0,0,0,0,1,"1","1","1","5","1","1","1",704,"1","2",,,,,80,"6","1",,"q"
"2009","EE",7081,117.726082578046,"NA","2","2009","17","2",1947,"1","5","3","EE","2","5","5","NA","NA","1","NA","NA","3","0 - 1","50","NA","NA","NA","1","2","2","7","NA","18","1","1","1","6","6","1","1","1","6","1","8","1","2","1","3","2","NA","2","NA",0,0,0,0,0,0,0,1,0,0,91,0,0,5685,0,0,0,0,1,"1","1","1","1","1","1","1",708,"1","7",,,,,61,"2","1",,"NA"
"2009","EE",7101,117.726082578046,"NA","1","2009","14","2",1945,"1","2","1","EE","2","NA","3","NA","NA","NA","NA","NA","3","0 - 1","40","NA","NA","11","1","2","NA","NA","NA","25","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","2","NA","2","NA",0,0,25,5234,0,0,0,1,0,0,56,0,0,3714,0,338,0,0,1,"1","1","1","1","1","2","1",710,"1","1",,,,,63,"6","1",,"o"
"2009","EE",7121,117.726082578046,"NA","1","2009","4","1",1984,"1","1","2","EE","2","NA","3","NA","NA","NA","NA","1","3","7","40","NA","NA","NA","1","2","2","NA","NA","18","1","3","1","1","1","1","1","1","1","5","6","8","NA","1","3","2","NA","2","NA",0,0,60,8789,0,0,1171,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","3","1","1","1",712,"1","1",,,,,24,"2","1",,"b-e"
"2009","EE",7161,117.726082578046,"NA","1","2009","11","2",1928,"1","4","2","EE","1","NA","2","NA","NA","1","NA","NA","NA","6","NA","NA","NA","NA","1","NA","NA","NA","NA","16","7","8","7","8","7","8","8","5","7","5","8","7","3","1","1","2","NA","2","NA",0,0,162,0,0,0,3826,1,0,0,34,0,0,1713,0,0,0,0,1,"1","2","1","3","1","1","1",716,"1","7",,,,,80,"2","1",,"NA"
"2009","EE",7241,117.726082578046,"NA","1","2009","22","4",1935,"2","4","3","EE","2","NA","2","NA","NA","1","2","NA","3","8","NA","NA","NA","NA","1","2","NA","NA","NA","24","6","1","6","6","6","8","NA","2","6","1","6","6","3","2","2","2","NA","2","NA",0,0,94,0,0,0,2187,1,703,0,54,0,0,3114,0,0,0,0,1,"1","NA","1","3","2","1","1",724,"1","7",,,,,73,"2","1",,"NA"
"2009","EE",7281,117.726082578046,"NA","2","2009","14","4",1981,"1","1","1","EE","2","3","5","NA","NA","2","2","1","3","3","NA","NA","NA","NA","1","2","NA","NA","NA","NA","8","7","5","1","8","8","8","5","7","8","7","8","NA","1","2","2","NA","1","1",1342,0,125,1234,0,0,2096,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","5","1","1","1",728,"1","4",,,,,27,"2","1",,"l-n"
"2009","EE",7381,117.726082578046,"NA","2","2009","9","4",1928,"2","4","3","EE","2","NA","1","NA","NA","1","2","NA","3","9","NA","NA","NA","12","NA","2","NA","NA","NA","20","6","1","6","6","6","6","1","9","6","6","6","6","1","2","2","2","NA","2","NA",3093,383,104,0,0,0,1835,1,0,0,37,0,0,3112,0,0,0,0,1,"1","1","2","5","2","1","2",738,"1","7",,,,,80,"7","1",,"NA"
"2009","EE",7701,117.726082578046,"NA","1","2009","14","1",1973,"1","2","1","Other","1","NA","5","NA","NA","NA","NA","NA","3","3","40","NA","NA","6","1","2","2","NA","NA","21","1","NA","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,0,28023,0,0,7529,1,0,0,69,0,0,0,0,282,0,0,1,"1","2","1","5","1","1","1",770,"1","1",,,,,35,"NA","1",,"l-n"
"2009","EE",8191,117.726082578046,"NA","2","2009","12","1",1945,"2","2","3","EE","2","NA","5","NA","NA","NA","2","NA","3","2","NA","NA","NA","NA","1","2","NA","NA","NA","17","6","6","6","6","6","6","6","6","6","6","6","6","NA","1","1","2","NA","2","NA",0,0,8,0,0,0,0,1,0,0,154,0,0,3234,0,0,0,0,1,"1","2","1","2","1","1","1",819,"1","7",,,,,63,"2","1",,"NA"
"2009","EE",8541,117.726082578046,"NA","2","2009","18","1",1934,"1","4","3","EE","2","NA","2","NA","NA","1","2","NA","3","9","NA","NA","NA","NA","1","2","NA","NA","4","18","8","6","6","7","6","6","8","6","8","6","6","2","NA","2","3","2","NA","2","NA",0,0,0,0,0,0,1635,1,0,0,0,0,0,3006,0,0,0,0,1,"1","1","1","3","1","1","1",854,"1","7",,,,,74,"7","1",,"NA"
"2009","EE",8631,117.726082578046,"NA","1","2009","17","4",1928,"2","2","1","EE","2","NA","3","NA","NA","1","2","NA","3","7","NA","NA","NA","NA","1","1","2","NA","NA","20","1","6","6","6","8","6","6","6","6","6","6","2","NA","1","2","2","NA","2","NA",0,0,68,0,0,0,4384,1,0,0,238,0,0,3223,0,0,0,0,1,"3","1","1","3","1","3","1",863,"1","7",,,,,80,"2","1",,"NA"
"2009","EE",8781,117.726082578046,"NA","1","2009","60","4",1949,"2","2","3","EE","2","NA","3","NA","NA","NA","NA","NA","3","5","35","NA","NA","13","1","2","2","NA","NA","17","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","2","NA","2","NA",0,0,121,6395,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","1","1","3","1",878,"1","1",,,,,59,"2","1",,"q"
"2009","EE",8871,117.726082578046,"NA","1","2009","5","2",1928,"2","4","1","EE","2","NA","3","NA","NA","1","NA","NA","2","7","40","NA","NA","13","NA","2","NA","NA","NA","20","1","1","6","7","6","1","1","6","1","6","1","1","3","1","2","2","NA","2","NA",0,0,0,0,0,0,1835,1,0,2284,0,0,0,3395,0,0,0,0,1,"1","1","1","4","3","1","1",887,"1","7",,,,,80,"2","1",,"NA"
"2009","EE",9451,117.726082578046,"NA","1","2009","12","2",1933,"2","4","1","EE","2","NA","5","NA","NA","1","1","1","3","0 - 1","NA","NA","NA","NA","1","2","NA","NA","NA","18","6","6","2","6","6","6","6","6","6","1","6","6","NA","2","2","2","NA","2","NA",0,0,21,0,0,0,3090,1,0,542,8,0,0,2944,0,0,0,0,1,"1","1","1","4","1","3","1",945,"1","7",,,,,75,"NA","1",,"NA"
"2009","EE",9471,117.726082578046,"NA","1","2009","4","4",1936,"2","4","1","EE","2","NA","3","NA","NA","NA","2","NA","3","3","NA","NA","NA","NA","1","2","NA","NA","NA","25","6","6","7","8","6","8","6","6","8","6","1","6","4","1","1","2","NA","2","1",0,0,0,0,0,0,480,1,0,0,0,0,0,3166,0,0,0,0,1,"1","2","1","4","1","1","1",947,"1","7",,,,,72,"2","1",,"NA"
"2009","EE",10031,117.726082578046,"NA","2","2009","9","4",1956,"2","5","1","EE","2","NA","3","NA","NA","NA","NA","1","3","9","40","NA","NA","13","1","2","2","NA","NA","16","1","2","1","1","1","1","1","1","1","5","1","6","1","2","NA","2","NA","2","NA",0,0,50,7898,0,0,2167,1,0,0,157,0,0,0,0,0,0,0,1,"1","3","1","2","1","3","2",1003,"1","1",,,,,52,"6","1",,"o"
"2009","EE",10541,117.726082578046,"NA","2","2009","8","4",1981,"1","1","1","EE","2","NA","3","NA","NA","NA","NA","1","3","7","40","NA","NA","13","1","2","2","NA","NA","18","1","1","1","1","1","1","3","1","1","1","1","1","NA","2","3","2","NA","2","NA",0,0,86,12852,0,0,3162,1,0,0,0,0,0,0,0,0,0,0,1,"3","1","1","5","1","1","1",1054,"1","1",,,,,27,"7","1",,"f"
"2009","EE",10601,117.726082578046,"NA","2","2009","24","2",1945,"2","2","3","EU","2","NA","1","NA","NA","NA","NA","NA","3","8","NA","NA","NA","NA","1","2","2","NA","NA","15","2","1","1","1","8","1","1","6","6","6","5","1","2","2","1","2","NA","2","NA",0,0,0,0,0,0,1530,1,0,0,75,0,0,5872,0,0,0,0,1,"1","1","1","1","1","1","1",1060,"1","7",,,,,63,"2","1",,"NA"
"2009","EE",10681,117.726082578046,"NA","1","2009","17","1",1930,"2","4","1","EE","2","NA","3","NA","NA","NA","2","NA","3","2","NA","2","NA","NA","1","2","NA","NA","NA","16","8","8","1","2","5","6","2","6","1","8","6","8","3","1","1","1","NA","2","NA",0,0,0,0,0,0,5154,1,0,0,0,0,0,3065,0,0,0,0,1,"1","1","NA","3","1","1","1",1068,"1","7",,,,,78,"2","1",,"NA"
"2009","EE",10811,117.726082578046,"NA","2","2009","16","3",1938,"2","1","2","EE","2","NA","3","NA","NA","1","2","NA","3","2","NA","NA","NA","NA","1","2","NA","NA","NA","20","6","7","4","6","NA","6","6","1","6","3","6","6","3","2","3","2","NA","2","NA",0,0,108,0,0,0,0,1,704,0,0,0,0,3680,0,0,0,0,1,"1","1","1","2","1","1","1",1081,"1","7",,,,,70,"2","1",,"NA"
"2009","EE",11191,117.726082578046,"NA","2","2009","17","2",1928,"1","3","1","EE","2","NA","1","NA","NA","NA","1","NA","3","7","30","NA","NA","NA","1","2","NA","NA","NA","21","1","1","1","6","1","7","4","6","6","6","1","8","3","1","1","2","NA","2","NA",0,0,26,0,0,0,15908,1,0,0,0,0,0,3681,0,0,0,0,1,"1","1","1","3","3","1","1",1119,"1","7",,,,,80,"2","1",,"NA"
"2009","EE",11301,117.726082578046,"NA","2","2009","7","1",1933,"2","2","3","EE","2","NA","2","NA","NA","1","2","NA","3","3","NA","NA","NA","NA","1","2","NA","NA","NA","15","8","6","6","6","6","1","1","NA","6","6","1","6","NA","1","3","2","NA","2","NA",0,0,0,0,0,0,4822,1,0,0,0,0,0,3431,0,0,0,0,1,"1","1","1","3","1","1","1",1130,"1","7",,,,,75,"2","1",,"NA"
"2009","EE",11621,117.726082578046,"NA","1","2009","15","4",1970,"2","1","3","EE","2","NA","3","NA","NA","NA","NA","NA","3","3","40","NA","NA","13","NA","2","NA","NA","NA","21","1","1","3","1","1","1","1","6","1","1","1","1","2","2","3","2","NA","2","NA",0,0,0,7705,1688,1608,0,1,0,0,97,0,0,0,0,0,0,0,1,"1","1","1","3","1","1","1",1162,"1","1",,,,,38,"6","1",,"q"
"2009","EE",11661,117.726082578046,"NA","1","2009","15","3",1940,"2","4","3","EE","2","NA","3","NA","NA","1","NA","NA","3","3","NA","NA","NA","NA","1","NA","NA","NA","NA","19","6","6","6","6","6","6","6","6","3","6","6","6","NA","1","2","2","NA","2","NA",0,0,94,0,0,0,0,1,0,0,155,0,0,1616,0,0,1546,0,1,"1","1","1","3","2","1","1",1166,"1","7",,,,,68,"2","1",,"NA"
"2009","EE",12001,117.726082578046,"NA","1","NA","8","3",1957,"2","3","1","EE","2","NA","3","NA","NA","1","NA","NA","3","3","NA","NA","NA","NA","1","2","NA","NA","NA","18","2","1","6","6","2","1","6","1","1","6","1","2","2","1","2","2","NA","1","1",0,0,0,4207,0,0,0,1,0,0,65,0,0,0,0,0,0,0,1,"2","2","1","1","1","1","1",1200,"1","5",,,,,51,"7","1",,"NA"
